model,Category,Recall@1,Recall@5,Recall@10,MRR,Avg_Confidence_Gap,Std_Confidence_Gap,P95_Confidence_Gap,Queries
CLEWS,AI Plagiarism (MusicGen),1.0,1.0,1.0,1.0,0.0,0.0,0.0,13409
CLEWS,musicgen,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
CLEWS,musicgen_pitchD2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
CLEWS,musicgen_pitchD4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
CLEWS,musicgen_pitchD4_tempo090,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
CLEWS,musicgen_pitchU2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
CLEWS,musicgen_pitchU4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
CLEWS,musicgen_pitchU4_tempo110,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
CLEWS,musicgen_tempo090,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
CLEWS,musicgen_tempo095,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
CLEWS,musicgen_tempo105,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
CLEWS,musicgen_tempo110,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
CLEWS,Human Plagiarism (SMP),1.0,1.0,1.0,1.0,0.032635209912603554,0.06719385264375537,0.0923439562320709,616
CLEWS,OVERALL,1.0,1.0,1.0,1.0,0.0014333896118476853,0.01558944691176388,0.0,14025
WEALY,AI Plagiarism (MusicGen),1.0,1.0,1.0,1.0,0.0,0.0,0.0,13409
WEALY,musicgen,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
WEALY,musicgen_pitchD2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
WEALY,musicgen_pitchD4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
WEALY,musicgen_pitchD4_tempo090,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
WEALY,musicgen_pitchU2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
WEALY,musicgen_pitchU4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
WEALY,musicgen_pitchU4_tempo110,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
WEALY,musicgen_tempo090,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
WEALY,musicgen_tempo095,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
WEALY,musicgen_tempo105,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
WEALY,musicgen_tempo110,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
WEALY,Human Plagiarism (SMP),1.0,1.0,1.0,1.0,0.0679631010665522,0.09482619230773429,0.18715740740299225,616
WEALY,OVERALL,1.0,1.0,1.0,1.0,0.0029850460076289594,0.024267375739861537,0.0,14025
