label,n_queries,top1_accuracy,mean_rank,mrr,rank_1_count,rank_1_rate,rank_2_count,rank_2_rate,rank_3_count,rank_3_rate,rank_4_count,rank_4_rate
SMP_plag,242,0.5041,1.8058,0.7021,122,0.5041,50,0.2066,65,0.2686,5,0.0207
SMP_plag_doubt,111,0.2523,2.2342,0.5465,28,0.2523,31,0.2793,50,0.4505,2,0.018
SMP_remake,250,0.876,1.22,0.9233,219,0.876,11,0.044,16,0.064,4,0.016
audioldm2_none,1219,0.0008,3.3905,0.3022,1,0.0008,15,0.0123,710,0.5824,493,0.4044
audioldm2_pitchD2,1219,0.0008,3.4151,0.3005,1,0.0008,19,0.0156,672,0.5513,527,0.4323
audioldm2_pitchD4,1219,0.0025,3.3806,0.3042,3,0.0025,20,0.0164,706,0.5792,490,0.402
audioldm2_pitchD4_tempo090,1219,0.0016,3.3823,0.3032,2,0.0016,13,0.0107,721,0.5915,483,0.3962
audioldm2_pitchU2,1219,0.0025,3.3897,0.3032,3,0.0025,16,0.0131,703,0.5767,497,0.4077
audioldm2_pitchU4,1219,0.0025,3.4274,0.2998,3,0.0025,13,0.0107,663,0.5439,540,0.443
audioldm2_pitchU4_tempo110,1219,0.0008,3.4422,0.2979,1,0.0008,14,0.0115,649,0.5324,555,0.4553
audioldm2_tempo090,1219,0.0008,3.3954,0.3018,1,0.0008,14,0.0115,706,0.5792,498,0.4085
audioldm2_tempo095,1219,0.0016,3.3962,0.3019,2,0.0016,11,0.009,708,0.5808,498,0.4085
audioldm2_tempo105,1219,0.0008,3.397,0.3016,1,0.0008,14,0.0115,704,0.5775,500,0.4102
audioldm2_tempo110,1219,0.0016,3.3946,0.3023,2,0.0016,15,0.0123,702,0.5759,500,0.4102
mgeldm_bass_none,1011,0.6182,1.635,0.7693,625,0.6182,159,0.1573,198,0.1958,29,0.0287
mgeldm_bass_pitchD2,761,0.4625,1.8752,0.6787,352,0.4625,186,0.2444,189,0.2484,34,0.0447
mgeldm_bass_pitchD4,762,0.4528,1.8963,0.6706,345,0.4528,173,0.227,222,0.2913,22,0.0289
