query_key,pair_id,time,filename_ori,filename_mod,clean_mod_type,category_grouped,positive_rank,winner_tier,positive_distance,rank1_distance,rank1_tier
10|104|pair_10_comp_104s.wav|audioldm2_none,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2.wav,audioldm2_none,3. AI Generation (Base),4,global_nearest,1548.2501220703125,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_pitchD2,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_pitchD2.wav,audioldm2_pitchD2,4. AI + DSP,4,global_nearest,1540.6578369140625,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_pitchD4,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_pitchD4.wav,audioldm2_pitchD4,4. AI + DSP,4,global_nearest,1564.9285888671875,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_pitchD4_tempo090,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_pitchD4_tempo090.wav,audioldm2_pitchD4_tempo090,4. AI + DSP,4,global_nearest,1488.1715087890625,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_pitchU2,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_pitchU2.wav,audioldm2_pitchU2,4. AI + DSP,4,global_nearest,1506.8026123046875,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_pitchU4,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_pitchU4.wav,audioldm2_pitchU4,4. AI + DSP,4,global_nearest,1532.4090576171875,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_pitchU4_tempo110,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_pitchU4_tempo110.wav,audioldm2_pitchU4_tempo110,4. AI + DSP,4,global_nearest,1531.6234130859375,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_tempo090,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_tempo090.wav,audioldm2_tempo090,4. AI + DSP,4,global_nearest,1546.8907470703125,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_tempo095,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_tempo095.wav,audioldm2_tempo095,4. AI + DSP,4,global_nearest,1546.3797607421875,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_tempo105,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_tempo105.wav,audioldm2_tempo105,4. AI + DSP,4,global_nearest,1547.2662353515625,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_tempo110,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_tempo110.wav,audioldm2_tempo110,4. AI + DSP,4,global_nearest,1578.87841796875,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|mgeldm_bass_none,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_mgeldm_bass.wav,mgeldm_bass_none,3. AI Generation (Base),1,correct,1151.83837890625,1151.83837890625,N/A
10|104|pair_10_comp_104s.wav|mgeldm_bass_pitchD2,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_mgeldm_bass_pitchD2.wav,mgeldm_bass_pitchD2,4. AI + DSP,3,global_nearest,1308.62548828125,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|mgeldm_bass_pitchD4,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_mgeldm_bass_pitchD4.wav,mgeldm_bass_pitchD4,4. AI + DSP,2,global_nearest,1281.7696533203125,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|mgeldm_bass_pitchD4_tempo090,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_mgeldm_bass_pitchD4_tempo090.wav,mgeldm_bass_pitchD4_tempo090,4. AI + DSP,2,global_nearest,1275.5452880859375,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|mgeldm_bass_pitchU2,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_mgeldm_bass_pitchU2.wav,mgeldm_bass_pitchU2,4. AI + DSP,1,correct,1188.8258056640625,1188.8258056640625,N/A
10|104|pair_10_comp_104s.wav|mgeldm_bass_pitchU4,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_mgeldm_bass_pitchU4.wav,mgeldm_bass_pitchU4,4. AI + DSP,1,correct,1212.9210205078125,1212.9210205078125,N/A
10|104|pair_10_comp_104s.wav|mgeldm_bass_pitchU4_tempo110,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_mgeldm_bass_pitchU4_tempo110.wav,mgeldm_bass_pitchU4_tempo110,4. AI + DSP,1,correct,1182.7979736328125,1182.7979736328125,N/A
10|104|pair_10_comp_104s.wav|mgeldm_bass_tempo090,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_mgeldm_bass_tempo090.wav,mgeldm_bass_tempo090,4. AI + DSP,1,correct,1109.6217041015625,1109.6217041015625,N/A
10|104|pair_10_comp_104s.wav|mgeldm_bass_tempo095,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_mgeldm_bass_tempo095.wav,mgeldm_bass_tempo095,4. AI + DSP,1,correct,1159.164306640625,1159.164306640625,N/A
10|104|pair_10_comp_104s.wav|mgeldm_bass_tempo105,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_mgeldm_bass_tempo105.wav,mgeldm_bass_tempo105,4. AI + DSP,1,correct,1132.224609375,1132.224609375,N/A
10|104|pair_10_comp_104s.wav|mgeldm_bass_tempo110,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_mgeldm_bass_tempo110.wav,mgeldm_bass_tempo110,4. AI + DSP,1,correct,1149.6240234375,1149.6240234375,N/A
10|104|pair_10_comp_104s.wav|mgeldm_drums_none,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_mgeldm_drums.wav,mgeldm_drums_none,3. AI Generation (Base),4,global_nearest,1417.0072021484375,1261.256103515625,global_nearest
10|104|pair_10_comp_104s.wav|mgeldm_drums_pitchD2,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_mgeldm_drums_pitchD2.wav,mgeldm_drums_pitchD2,4. AI + DSP,4,global_nearest,1453.895263671875,1261.256103515625,global_nearest
