label,n_queries,top1_accuracy,mean_rank,mrr,rank_1_count,rank_1_rate,rank_2_count,rank_2_rate,rank_3_count,rank_3_rate,rank_4_count,rank_4_rate
SMP_plag,242,0.4959,1.8264,0.6956,120,0.4959,48,0.1983,70,0.2893,4,0.0165
SMP_plag_doubt,111,0.1982,2.1982,0.5338,22,0.1982,46,0.4144,42,0.3784,1,0.009
SMP_remake,248,0.875,1.2379,0.92,217,0.875,7,0.0282,20,0.0806,4,0.0161
audioldm2_none,1217,0.0008,3.3796,0.3029,1,0.0008,11,0.009,730,0.5998,475,0.3903
audioldm2_pitchD2,1217,0.0008,3.3846,0.3023,1,0.0008,9,0.0074,728,0.5982,479,0.3936
audioldm2_pitchD4,1217,0.0016,3.3763,0.3033,2,0.0016,8,0.0066,737,0.6056,470,0.3862
audioldm2_pitchD4_tempo090,1217,0.0016,3.4076,0.3005,2,0.0016,4,0.0033,707,0.5809,504,0.4141
audioldm2_pitchU2,1217,0.0025,3.3698,0.3045,3,0.0025,11,0.009,736,0.6048,467,0.3837
audioldm2_pitchU4,1217,0.0016,3.4059,0.3007,2,0.0016,6,0.0049,705,0.5793,504,0.4141
audioldm2_pitchU4_tempo110,1217,0.0008,3.401,0.301,1,0.0008,10,0.0082,706,0.5801,500,0.4108
audioldm2_tempo090,1217,0.0008,3.3772,0.3028,1,0.0008,7,0.0058,741,0.6089,468,0.3846
audioldm2_tempo095,1217,0.0016,3.3722,0.3035,2,0.0016,5,0.0041,748,0.6146,462,0.3796
audioldm2_tempo105,1217,0.0,3.3566,0.3041,0,0.0,7,0.0058,769,0.6319,441,0.3624
audioldm2_tempo110,1217,0.0008,3.378,0.3027,1,0.0008,7,0.0058,740,0.6081,469,0.3854
mgeldm_bass_none,1009,0.5828,1.6848,0.7486,588,0.5828,173,0.1715,226,0.224,22,0.0218
mgeldm_bass_pitchD2,1008,0.4563,1.8968,0.6726,460,0.4563,232,0.2302,276,0.2738,40,0.0397
mgeldm_bass_pitchD4,1009,0.4212,1.9643,0.6489,425,0.4212,226,0.224,327,0.3241,31,0.0307
