label,n_queries,top1_accuracy,mean_rank,mrr,rank_1_count,rank_1_rate,rank_2_count,rank_2_rate,rank_3_count,rank_3_rate,rank_4_count,rank_4_rate
SMP_plag,242,0.2686,2.4215,0.5368,65,0.2686,61,0.2521,65,0.2686,51,0.2107
SMP_plag_doubt,111,0.2793,2.5315,0.5293,31,0.2793,23,0.2072,24,0.2162,33,0.2973
SMP_remake,250,0.42,2.04,0.6427,105,0.42,58,0.232,59,0.236,28,0.112
audioldm2_none,1219,0.3093,2.3002,0.5699,377,0.3093,345,0.283,251,0.2059,246,0.2018
audioldm2_pitchD2,1219,0.2535,2.388,0.5362,309,0.2535,367,0.3011,304,0.2494,239,0.1961
audioldm2_pitchD4,1219,0.2707,2.4077,0.5397,330,0.2707,317,0.26,317,0.26,255,0.2092
audioldm2_pitchD4_tempo090,1219,0.26,2.4274,0.5333,317,0.26,325,0.2666,316,0.2592,261,0.2141
audioldm2_pitchU2,1219,0.2781,2.3568,0.5479,339,0.2781,321,0.2633,344,0.2822,215,0.1764
audioldm2_pitchU4,1219,0.265,2.3765,0.5415,323,0.265,347,0.2847,316,0.2592,233,0.1911
audioldm2_pitchU4_tempo110,1219,0.2387,2.4742,0.519,291,0.2387,329,0.2699,329,0.2699,270,0.2215
audioldm2_tempo090,1219,0.274,2.3782,0.545,334,0.274,334,0.274,307,0.2518,244,0.2002
audioldm2_tempo095,1219,0.2642,2.4143,0.5355,322,0.2642,312,0.2559,343,0.2814,242,0.1985
audioldm2_tempo105,1219,0.2838,2.3724,0.5506,346,0.2838,337,0.2765,272,0.2231,264,0.2166
audioldm2_tempo110,1219,0.2797,2.3634,0.5493,341,0.2797,337,0.2765,298,0.2445,243,0.1993
mgeldm_bass_none,1011,0.6172,1.64,0.7719,624,0.6172,202,0.1998,110,0.1088,75,0.0742
mgeldm_bass_pitchD2,761,0.4875,1.9356,0.6836,371,0.4875,163,0.2142,132,0.1735,95,0.1248
