category_grouped,winner_tier,count
1a. Human Plagiarism (Base),global_nearest,179
1a. Human Plagiarism (Base),intra_category_nearest,113
1a. Human Plagiarism (Base),random,107
1b. Human Plagiarism + DSP,global_nearest,1685
1b. Human Plagiarism + DSP,random,1298
1b. Human Plagiarism + DSP,intra_category_nearest,1126
2. Original + DSP,intra_category_nearest,1023
2. Original + DSP,global_nearest,1004
2. Original + DSP,random,746
3. AI Generation (Base),global_nearest,1014
3. AI Generation (Base),intra_category_nearest,881
3. AI Generation (Base),random,816
4. AI + DSP,global_nearest,13931
4. AI + DSP,intra_category_nearest,10403
4. AI + DSP,random,9195
