Model,Metric,Category,Total_Queries,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN,Applied_Threshold
CLEWS,manhattan_distance,1a. Human Plagiarism (Base),3757,0.3328505214368482,0.30582911897790793,0.31876820640865583,0.32707087959009395,1149,2303,2608,234661,986.3671997070312
CLEWS,manhattan_distance,1b. Human Plagiarism + DSP,37570,0.8170189098998888,0.2737024221453287,0.4100406730999282,0.5848329048843187,10283,2303,27287,234661,986.3671997070312
CLEWS,manhattan_distance,2. Original + DSP,12190,0.8344118492953696,0.9520098441345365,0.8893401793240862,0.8555483471439945,11605,2303,585,234661,986.3671997070312
CLEWS,manhattan_distance,3. AI Generation (Base),5472,0.2623318385650224,0.14967105263157895,0.19059809169187805,0.22800668151447662,819,2303,4653,234661,986.3671997070312
CLEWS,manhattan_distance,4. AI + DSP,54701,0.7106420404573439,0.10339847534779986,0.18052984360038302,0.32679663034309026,5656,2303,49045,234661,986.3671997070312
CLEWS,manhattan_distance,OVERALL,113690,0.9276127612761276,0.25958307678775616,0.40564929040239167,0.612409213529778,29512,2303,84178,234661,986.3671997070312
WEALY,cosine_distance,1a. Human Plagiarism (Base),3757,0.01923647806210295,0.25871706148522755,0.03581033784032715,0.023606786708310463,972,49557,2785,187255,0.7492922067642211
WEALY,cosine_distance,1b. Human Plagiarism + DSP,37570,0.15822462291072156,0.2479371839233431,0.19317309885734432,0.17056815768078576,9315,49557,28255,187255,0.7492922067642211
WEALY,cosine_distance,2. Original + DSP,12190,0.16465233881163086,0.801312551271534,0.27317346011326293,0.1957593490721071,9768,49557,2422,187255,0.7492922067642211
WEALY,cosine_distance,3. AI Generation (Base),5471,0.0537862298086837,0.5148967282032535,0.09739821937937591,0.06552168472370178,2817,49557,2654,187255,0.7492922067642211
WEALY,cosine_distance,4. AI + DSP,54701,0.274464160224877,0.34271768340615344,0.30481687736270885,0.2858497729608407,18747,49557,35954,187255,0.7492922067642211
WEALY,cosine_distance,OVERALL,113689,0.4564688075809423,0.3660776328404683,0.4063065921460474,0.4349875520753857,41619,49557,72070,187255,0.7492922067642211
FUSION,pearson_distance+cosine_distance,1a. Human Plagiarism (Base),3757,0.27225130890052357,0.31833910034602075,0.2934969325153374,0.2803694500445403,1196,3197,2561,233615,0.2721214550924404
FUSION,pearson_distance+cosine_distance,1b. Human Plagiarism + DSP,37570,0.7697846907179376,0.2845355336704818,0.4154925471753114,0.574002878068687,10690,3197,26880,233615,0.2721214550924404
FUSION,pearson_distance+cosine_distance,2. Original + DSP,12190,0.7810723823871807,0.9356849876948319,0.851416414735192,0.8077674853403586,11406,3197,784,233615,0.2721214550924404
FUSION,pearson_distance+cosine_distance,3. AI Generation (Base),5471,0.21159062885326757,0.15682690550173642,0.18013856812933027,0.1977778802268222,858,3197,4613,233615,0.2721214550924404
FUSION,pearson_distance+cosine_distance,4. AI + DSP,54701,0.6510206309354873,0.10902908539149193,0.1867777395007986,0.3264546499534731,5964,3197,48737,233615,0.2721214550924404
FUSION,pearson_distance+cosine_distance,OVERALL,113689,0.9040256972171354,0.26488050734899593,0.4097142857142857,0.6097605423333455,30114,3197,83575,233615,0.2721214550924404
