Modification_Type,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
SMP_plag,0.24114021571648692,0.2089452603471295,0.22389127324749641,0.23393124065769805,313,985,1185,135938
SMP_plag_doubt,0.05651340996168582,0.07091346153846154,0.0628997867803838,0.05890575079872205,59,985,773,135938
SMP_remake,0.4409761634506243,0.5444989488437281,0.4873000940733772,0.4584070796460177,777,985,650,135938
audioldm2_none,0.0,0.0,0.0,0.0,0,985,1219,135938
audioldm2_pitchD2,0.0,0.0,0.0,0.0,0,985,1219,135938
audioldm2_pitchD4,0.0,0.0,0.0,0.0,0,985,1219,135938
audioldm2_pitchD4_tempo090,0.0,0.0,0.0,0.0,0,985,1219,135938
audioldm2_pitchU2,0.0,0.0,0.0,0.0,0,985,1219,135938
audioldm2_pitchU4,0.0,0.0,0.0,0.0,0,985,1219,135938
audioldm2_pitchU4_tempo110,0.0,0.0,0.0,0.0,0,985,1219,135938
audioldm2_tempo090,0.0,0.0,0.0,0.0,0,985,1219,135938
audioldm2_tempo095,0.0,0.0,0.0,0.0,0,985,1219,135938
audioldm2_tempo105,0.0,0.0,0.0,0.0,0,985,1219,135938
audioldm2_tempo110,0.0,0.0,0.0,0.0,0,985,1219,135938
musicgen_none,0.012036108324974924,0.009844134536505332,0.010830324909747292,0.011522949875168043,12,985,1207,135938
musicgen_pitchD2,0.005050505050505051,0.004101722723543888,0.004526935264825713,0.0048271867155821584,5,985,1214,135938
musicgen_pitchD4,0.004044489383215369,0.003281378178835111,0.0036231884057971015,0.003864734299516908,4,985,1215,135938
musicgen_pitchD4_tempo090,0.004044489383215369,0.003281378178835111,0.0036231884057971015,0.003864734299516908,4,985,1215,135938
musicgen_pitchU2,0.006054490413723511,0.004922067268252666,0.005429864253393665,0.005788153579008296,6,985,1213,135938
musicgen_pitchU4,0.004044489383215369,0.003281378178835111,0.0036231884057971015,0.003864734299516908,4,985,1215,135938
musicgen_pitchU4_tempo110,0.002026342451874367,0.0016406890894175555,0.001813236627379873,0.0019353590090961873,2,985,1217,135938
musicgen_tempo090,0.010050251256281407,0.008203445447087777,0.009033423667570008,0.009617234083477592,10,985,1209,135938
musicgen_tempo095,0.013026052104208416,0.01066447908121411,0.011727559765448805,0.01247361350988294,13,985,1206,135938
musicgen_tempo105,0.009054325955734407,0.007383100902378999,0.008133755083596927,0.008662175168431183,9,985,1210,135938
musicgen_tempo110,0.010050251256281407,0.008203445447087777,0.009033423667570008,0.009617234083477592,10,985,1209,135938
none_pitchD2,0.5416472778036296,0.9548810500410172,0.6912114014251781,0.5929699439633215,1164,985,55,135938
none_pitchD4,0.5327324478178368,0.9212469237079574,0.675082657048392,0.5818049943011087,1123,985,96,135938
none_pitchD4_tempo090,0.5192776964372865,0.8728465955701394,0.6511627906976745,0.5650557620817844,1064,985,155,135938
none_pitchU2,0.5450346420323325,0.9680065627563577,0.6973995271867612,0.5972264399230691,1180,985,39,135938
none_pitchU4,0.5366886171213546,0.9360131255127153,0.6822122571001494,0.5867530597552196,1141,985,78,135938
none_pitchU4_tempo110,0.5206812652068127,0.8777686628383922,0.6536346976175932,0.5667973302256595,1070,985,149,135938
none_tempo090,0.5518653321201092,0.9950779327317474,0.7099795141937372,0.6058335830586355,1213,985,6,135938
none_tempo095,0.5524761472058155,0.9975389663658737,0.7111111111111111,0.6066048089394392,1216,985,3,135938
none_tempo105,0.5528824330458466,0.9991796554552912,0.711864406779661,0.6071179344033496,1218,985,1,135938
none_tempo110,0.5524761472058155,0.9975389663658737,0.7111111111111111,0.6066048089394392,1216,985,3,135938
smp_pitchD2,0.51165096678235,0.2746872504657972,0.3574644960166263,0.43636363636363634,1032,985,2725,135938
smp_pitchD4,0.502776375567895,0.2651051370774554,0.34715928895085396,0.42633336186970294,996,985,2761,135938
smp_pitchD4_tempo090,0.48402304871660556,0.2459409103007719,0.3261560183551006,0.4055121565873782,924,985,2833,135938
smp_pitchU2,0.5097063215530114,0.2725578919350546,0.35518557058619493,0.43415585516832017,1024,985,2733,135938
smp_pitchU4,0.49590583418628453,0.2579185520361991,0.33934512344598144,0.4186468504277197,969,985,2788,135938
smp_pitchU4_tempo110,0.4869791666666667,0.248868778280543,0.32939933063237625,0.4087610387339337,935,985,2822,135938
smp_tempo090,0.5220766618146531,0.28639872238488157,0.36988655895496736,0.44829597533538873,1076,985,2681,135938
smp_tempo095,0.5293836598184424,0.294916156507852,0.3788034188034188,0.4567565339269519,1108,985,2649,135938
smp_tempo105,0.5305052430886559,0.2962470055895661,0.38018787361229717,0.458062391966417,1113,985,2644,135938
smp_tempo110,0.5287081339712919,0.29411764705882354,0.3779716093723277,0.455970949905092,1105,985,2652,135938
