Modification_Type,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
SMP_plag,0.09740259740259741,0.23030707610146864,0.13690476190476192,0.11011106855610878,345,3197,1153,233615
SMP_plag_doubt,0.015701970443349755,0.06129807692307692,0.025,0.018446180555555556,51,3197,781,233615
SMP_remake,0.20015011258443832,0.5606166783461808,0.2949852507374631,0.22968705139247775,800,3197,627,233615
audioldm2_none,0.0,0.0,0.0,0.0,0,3197,1219,233615
audioldm2_pitchD2,0.0,0.0,0.0,0.0,0,3197,1219,233615
audioldm2_pitchD4,0.0,0.0,0.0,0.0,0,3197,1219,233615
audioldm2_pitchD4_tempo090,0.0,0.0,0.0,0.0,0,3197,1219,233615
audioldm2_pitchU2,0.00031269543464665416,0.0008203445447087777,0.0004527960153950645,0.00035686246520590966,1,3197,1218,233615
audioldm2_pitchU4,0.0,0.0,0.0,0.0,0,3197,1219,233615
audioldm2_pitchU4_tempo110,0.0,0.0,0.0,0.0,0,3197,1219,233615
audioldm2_tempo090,0.0,0.0,0.0,0.0,0,3197,1219,233615
audioldm2_tempo095,0.0,0.0,0.0,0.0,0,3197,1219,233615
audioldm2_tempo105,0.0,0.0,0.0,0.0,0,3197,1219,233615
audioldm2_tempo110,0.0,0.0,0.0,0.0,0,3197,1219,233615
mgeldm_bass_none,0.0953593661573288,0.3333333333333333,0.14829482948294828,0.11124315045883673,337,3197,674,233615
mgeldm_bass_pitchD2,0.06793002915451896,0.2306930693069307,0.10495495495495495,0.07909029192124915,233,3197,777,233615
mgeldm_bass_pitchD4,0.058043606364172065,0.19485657764589515,0.08944381384790011,0.06752587920751354,197,3197,814,233615
mgeldm_bass_pitchD4_tempo090,0.046241050119331745,0.15346534653465346,0.07106831728564879,0.05375225412678596,155,3197,855,233615
mgeldm_bass_pitchU2,0.06465769455822118,0.2188118811881188,0.0998193315266486,0.07526222585478817,221,3197,789,233615
mgeldm_bass_pitchU4,0.060810810810810814,0.20495049504950494,0.09379247847757137,0.0707643921783126,207,3197,803,233615
mgeldm_bass_pitchU4_tempo110,0.049643281807372173,0.16534653465346535,0.07636031092821216,0.05772155398866307,167,3197,843,233615
mgeldm_bass_tempo090,0.08500286204922725,0.29405940594059404,0.13188277087033748,0.09909248632056586,297,3197,713,233615
mgeldm_bass_tempo095,0.08500286204922725,0.29405940594059404,0.13188277087033748,0.09909248632056586,297,3197,713,233615
mgeldm_bass_tempo105,0.07920506912442396,0.2722772277227723,0.12271307452030343,0.09229426768693784,275,3197,735,233615
mgeldm_bass_tempo110,0.07761107905366417,0.26633663366336635,0.12019660411081323,0.09042624714266505,269,3197,741,233615
mgeldm_drums_none,0.02500762427569381,0.08110781404549951,0.03822843822843823,0.02902243930063,82,3197,929,233615
mgeldm_drums_pitchD2,0.01932515337423313,0.06231454005934718,0.02950128775462421,0.022418333214717815,63,3197,948,233615
mgeldm_drums_pitchD4,0.014488286066584463,0.04648862512363996,0.02209165687426557,0.016801315507256737,47,3197,964,233615
mgeldm_drums_pitchD4_tempo090,0.007759155803848541,0.024727992087042534,0.011811953697141508,0.008993452766386072,25,3197,986,233615
mgeldm_drums_pitchU2,0.01600492459218221,0.051434223541048464,0.024413145539906103,0.018562147497679732,52,3197,959,233615
mgeldm_drums_pitchU4,0.016610273761919408,0.05341246290801187,0.025340215861098078,0.019265073135925792,54,3197,957,233615
mgeldm_drums_pitchU4_tempo110,0.007759155803848541,0.024727992087042534,0.011811953697141508,0.008993452766386072,25,3197,986,233615
mgeldm_drums_tempo090,0.015095502156500308,0.04846686449060336,0.023020906741836974,0.017506252232940337,49,3197,962,233615
