Modification_Type,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
SMP_plag,0.010822291898452513,1.0,0.021412847708625175,0.013491363005926113,1498,136920,0,3
SMP_plag_doubt,0.006039839711946106,1.0,0.012007158113490735,0.007538416932444187,832,136920,0,3
SMP_remake,0.01031464361352252,1.0,0.02041867586246369,0.012860142570045871,1427,136920,0,3
audioldm2_none,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
audioldm2_pitchD2,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
audioldm2_pitchD4,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
audioldm2_pitchD4_tempo090,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
audioldm2_pitchU2,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
audioldm2_pitchU4,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
audioldm2_pitchU4_tempo110,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
audioldm2_tempo090,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
audioldm2_tempo095,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
audioldm2_tempo105,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
audioldm2_tempo110,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
musicgen_none,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
musicgen_pitchD2,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
musicgen_pitchD4,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
musicgen_pitchD4_tempo090,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
musicgen_pitchU2,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
musicgen_pitchU4,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
musicgen_pitchU4_tempo110,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
musicgen_tempo090,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
musicgen_tempo095,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
musicgen_tempo105,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
musicgen_tempo110,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
none_pitchD2,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
none_pitchD4,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
none_pitchD4_tempo090,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
none_pitchU2,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
none_pitchU4,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
none_pitchU4_tempo110,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
none_tempo090,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
none_tempo095,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
none_tempo105,0.008817269686834904,0.9991796554552912,0.017480284449292106,0.010997325609322265,1218,136920,1,3
none_tempo110,0.008824444943136986,1.0,0.017494510541196055,0.011006275111733105,1219,136920,0,3
smp_pitchD2,0.026706568948726514,1.0,0.052023761718155,0.03316180170001677,3757,136920,0,3
smp_pitchD4,0.026706568948726514,1.0,0.052023761718155,0.03316180170001677,3757,136920,0,3
smp_pitchD4_tempo090,0.026706568948726514,1.0,0.052023761718155,0.03316180170001677,3757,136920,0,3
smp_pitchU2,0.026706568948726514,1.0,0.052023761718155,0.03316180170001677,3757,136920,0,3
smp_pitchU4,0.026706568948726514,1.0,0.052023761718155,0.03316180170001677,3757,136920,0,3
smp_pitchU4_tempo110,0.026706568948726514,1.0,0.052023761718155,0.03316180170001677,3757,136920,0,3
smp_tempo090,0.026706568948726514,1.0,0.052023761718155,0.03316180170001677,3757,136920,0,3
smp_tempo095,0.026706568948726514,1.0,0.052023761718155,0.03316180170001677,3757,136920,0,3
smp_tempo105,0.026706568948726514,1.0,0.052023761718155,0.03316180170001677,3757,136920,0,3
smp_tempo110,0.026706568948726514,1.0,0.052023761718155,0.03316180170001677,3757,136920,0,3
