Modification_Type,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
SMP_plag,0.11726703210649961,0.7997329773030708,0.2045415741847362,0.1414003116000189,1198,9018,300,227946
SMP_plag_doubt,0.07317574511819117,0.8557692307692307,0.13482295019882598,0.08955524250352183,712,9018,120,227946
SMP_remake,0.1267551079694006,0.9173090399439383,0.2227326867449379,0.15315315315315314,1309,9018,118,227946
audioldm2_none,0.03674428540910062,0.28219852337981954,0.0650222096210188,0.04448237515193835,344,9018,875,227946
audioldm2_pitchD2,0.043994487437718645,0.34044298605414275,0.07791963950431843,0.053272059767400064,415,9018,804,227946
audioldm2_pitchD4,0.03643551661502297,0.2797374897456932,0.06447343543202874,0.04410813607554003,341,9018,878,227946
audioldm2_pitchD4_tempo090,0.03756670224119531,0.2887612797374898,0.06648408726036453,0.045479211349130466,352,9018,867,227946
audioldm2_pitchU2,0.03633254969010472,0.27891714520098443,0.06429044152406165,0.0439833380766345,340,9018,879,227946
audioldm2_pitchU4,0.04002554822226954,0.3084495488105004,0.07085649674926976,0.04845985307384972,376,9018,843,227946
audioldm2_pitchU4_tempo110,0.03808,0.29286300246103364,0.0673966396073249,0.04610139724682972,357,9018,862,227946
audioldm2_tempo090,0.03736122971818958,0.2871205906480722,0.06611882497402474,0.04523015688402988,350,9018,869,227946
audioldm2_tempo095,0.036229560756652776,0.2780968006562756,0.06410741301059002,0.04385851424431392,339,9018,880,227946
audioldm2_tempo105,0.03612654980761009,0.27727645611156687,0.0639243498817967,0.043733664570556115,338,9018,881,227946
audioldm2_tempo110,0.038490244162490674,0.29614438063986875,0.06812606152104171,0.04659868336130115,361,9018,858,227946
mgeldm_bass_none,0.07753682487725042,0.7497527200791295,0.14053953833317884,0.09447837467281565,758,9018,253,227946
mgeldm_bass_pitchD2,0.06461985271237423,0.6168316831683168,0.11698432072105905,0.07871329660888463,623,9018,387,227946
mgeldm_bass_pitchD4,0.060722841370690554,0.5766567754698319,0.10987561251413494,0.07395661550171255,583,9018,428,227946
mgeldm_bass_pitchD4_tempo090,0.055113160100586756,0.5207920792079208,0.09967784726170173,0.0671158066656459,526,9018,484,227946
mgeldm_bass_pitchU2,0.06616961789375582,0.6326732673267327,0.11980875597637573,0.08060447045764166,639,9018,371,227946
mgeldm_bass_pitchU4,0.06520161708303099,0.6227722772277228,0.11804447780801351,0.0794232031920804,629,9018,381,227946
mgeldm_bass_pitchU4_tempo110,0.05639845139688187,0.5336633663366337,0.10201570928361882,0.06868341913451247,539,9018,471,227946
mgeldm_bass_tempo090,0.07021342406433653,0.6742574257425743,0.12718274348678682,0.08553986836155353,681,9018,329,227946
mgeldm_bass_tempo095,0.07279457125231338,0.700990099009901,0.13189269746646795,0.08869068497269128,708,9018,302,227946
mgeldm_bass_tempo105,0.07241308372762806,0.697029702970297,0.13119642191576594,0.08822497368289137,704,9018,306,227946
mgeldm_bass_tempo110,0.0695418902187371,0.6673267326732674,0.12595776490375632,0.08472019709387098,674,9018,336,227946
mgeldm_drums_none,0.060331353547983746,0.5727002967359051,0.10916289592760181,0.07347902231021092,579,9018,432,227946
mgeldm_drums_pitchD2,0.05043698009897862,0.47378832838773494,0.09116863342215455,0.061411831072591606,479,9018,532,227946
mgeldm_drums_pitchD4,0.046823802980657435,0.4381800197823937,0.08460656990068754,0.05700682022905675,443,9018,568,227946
mgeldm_drums_pitchD4_tempo090,0.04328453214513049,0.4035608308605341,0.07818338603046852,0.0526927547462224,408,9018,603,227946
mgeldm_drums_pitchU2,0.05113636363636364,0.4807121661721068,0.09243937232524964,0.062264586055807515,486,9018,525,227946
mgeldm_drums_pitchU4,0.048834511127518195,0.4579624134520277,0.08825772016774686,0.05945807114421472,463,9018,548,227946
mgeldm_drums_pitchU4_tempo110,0.048131728942368585,0.45103857566765576,0.08698140200286122,0.05860127997532578,456,9018,555,227946
mgeldm_drums_tempo090,0.053923625681913556,0.5084075173095944,0.09750545385563882,0.06566340478806305,514,9018,497,227946
mgeldm_drums_tempo095,0.0524324892297993,0.49357072205736896,0.09479483282674772,0.06384503185854296,499,9018,512,227946
mgeldm_drums_tempo105,0.053228346456692915,0.5014836795252225,0.09624145785876993,0.06481552504410523,507,9018,504,227946
mgeldm_drums_tempo110,0.0535264483627204,0.5044510385756676,0.09678337603188158,0.06517905068629706,510,9018,501,227946
mgeldm_none,0.00011087703736556159,1.0,0.00022172949002217295,0.00013859245502674834,1,9018,0,227946
mgeldm_other_none,0.07412731006160164,0.7148514851485148,0.13432558139534884,0.0903177383037278,722,9018,288,227946
mgeldm_other_pitchD2,0.06277281230513407,0.598019801980198,0.11361926260346125,0.07645956757304168,604,9018,406,227946
mgeldm_other_pitchD4,0.059154929577464786,0.5613861386138614,0.10703161868806041,0.07204574332909784,567,9018,443,227946
mgeldm_other_pitchD4_tempo090,0.052133697708639896,0.4910891089108911,0.09426073736221968,0.06348231198484616,496,9018,514,227946
mgeldm_other_pitchU2,0.06179775280898876,0.5881188118811881,0.11184334400301262,0.07526990724314461,594,9018,416,227946
mgeldm_other_pitchU4,0.06091846298031865,0.5792079207920792,0.11024215584660323,0.07419714880016234,585,9018,425,227946
mgeldm_other_pitchU4_tempo110,0.05362577395319551,0.505940594059406,0.09697314735743429,0.06530184532024741,511,9018,499,227946
mgeldm_other_tempo090,0.06645962732919254,0.6356435643564357,0.12033739456419869,0.08095838587641867,642,9018,368,227946
mgeldm_other_tempo095,0.06742502585315409,0.6455445544554456,0.12209737827715356,0.08213655832703452,652,9018,358,227946
mgeldm_other_tempo105,0.0669425763062597,0.6405940594059406,0.12121779859484777,0.08154776909503403,647,9018,363,227946
