experiment_name,classifier,n_features,n_seeds,f05,f05_std,f05_ci95,f1,f1_ci95,precision,precision_ci95,recall,recall_ci95,accuracy,mean_threshold,mean_train_time_sec,mean_infer_time_ms
1. CLEWS Distance (Winning),XGBoost,1,10,0.6072,0.0024,0.0015,0.4059,0.0008,0.9084,0.0054,0.2615,0.0009,0.7519,0.7029,1.206,0.0006
2. WEALY Distance (Winning),XGBoost,1,10,0.4282,0.0023,0.0014,0.4049,0.0014,0.4455,0.0021,0.3715,0.0023,0.6461,0.5352,1.251,0.0006
3. Both Distances (Winning),XGBoost,2,10,0.6194,0.0039,0.0024,0.4445,0.0028,0.8423,0.0116,0.3028,0.004,0.7551,0.68,1.243,0.0006
4. CLEWS Delta Summaries,XGBoost,11,10,0.5814,0.005,0.0031,0.4818,0.0018,0.6747,0.0049,0.3749,0.0013,0.7385,0.6672,1.477,0.0005
5. WEALY Delta Summaries,XGBoost,11,10,0.3983,0.0027,0.0016,0.4084,0.0015,0.392,0.0021,0.4268,0.0033,0.5993,0.5464,1.524,0.0006
6. All Delta Summaries,XGBoost,22,10,0.6057,0.0035,0.0022,0.5116,0.0015,0.6906,0.0034,0.4067,0.0017,0.7483,0.6804,2.014,0.0006
7. All Engineered (No Vocal),XGBoost,24,10,0.6166,0.0038,0.0024,0.5271,0.0016,0.6955,0.004,0.4247,0.002,0.753,0.6844,2.027,0.0005
8. All Engineered (Vocal),XGBoost,29,10,0.8526,0.0028,0.0017,0.8197,0.0019,0.8762,0.0021,0.7704,0.003,0.8902,0.7243,2.284,0.0005
9. Vocal Only,XGBoost,5,10,0.836,0.0016,0.001,0.7605,0.0032,0.8959,0.0039,0.662,0.0069,0.8651,0.7775,1.132,0.0005
10. CLEWS Full Δ (1024D),XGBoost,1024,10,0.8115,0.0026,0.0016,0.7527,0.001,0.8561,0.0023,0.6719,0.0011,0.8569,0.6355,118.933,0.0011
11. WEALY Full Δ (512D),XGBoost,512,10,0.4918,0.0034,0.0021,0.4481,0.0015,0.5262,0.0034,0.3905,0.0026,0.6882,0.6316,53.028,0.0008
