classifier,fold,threshold,f05,f1,precision,recall,accuracy,n_train,n_test,n_pos_test,n_neg_test
LR,1,0.6732,0.6036,0.442,0.798,0.3057,0.75,280229,70425,22812,47613
LR,2,0.6814,0.6163,0.4324,0.8603,0.2888,0.754,281619,69035,22399,46636
LR,3,0.6784,0.6025,0.422,0.8428,0.2815,0.7511,280065,70589,22787,47802
LR,4,0.6617,0.6222,0.4601,0.8133,0.3208,0.7516,280221,70433,23243,47190
LR,5,0.6834,0.6137,0.4353,0.8444,0.2932,0.7566,280482,70172,22449,47723
MLP,1,0.7068,0.843,0.8222,0.8574,0.7899,0.8894,280229,70425,22812,47613
MLP,2,0.6663,0.8587,0.8331,0.8767,0.7937,0.8968,281619,69035,22399,46636
MLP,3,0.6762,0.8279,0.8022,0.8459,0.7628,0.8786,280065,70589,22787,47802
MLP,4,0.6931,0.8658,0.8354,0.8874,0.7891,0.8973,280221,70433,23243,47190
MLP,5,0.7277,0.8594,0.8342,0.8771,0.7953,0.8989,280482,70172,22449,47723
