Modification_Type,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
SMP_plag,0.03379512008053305,0.4706275033377837,0.06306185428686435,0.04149890513526877,705,20156,793,216808
SMP_plag_doubt,0.012202891448174467,0.29927884615384615,0.02344963977962989,0.015099694367632076,249,20156,583,216808
SMP_remake,0.05241878614075502,0.7813594954449895,0.09824654154551062,0.06444267203014646,1115,20156,312,216808
audioldm2_none,0.008119679149648147,0.13535684987694832,0.01532033426183844,0.009999636376859024,165,20156,1054,216808
audioldm2_pitchD2,0.005771222808661767,0.09598031173092698,0.010887772194304857,0.007107191019426322,117,20156,1102,216808
audioldm2_pitchD4,0.00626140117339644,0.10418375717801477,0.011812854618175054,0.007710896042549574,127,20156,1092,216808
audioldm2_pitchD4_tempo090,0.006016372423315909,0.10008203445447088,0.011350420988975206,0.007409116857562765,122,20156,1097,216808
audioldm2_pitchU2,0.007777887171408881,0.12961443806398687,0.01467514977012028,0.009578660200060624,158,20156,1061,216808
audioldm2_pitchU4,0.007093596059113301,0.11812961443806398,0.013383521539104977,0.008735849743384413,144,20156,1075,216808
audioldm2_pitchU4_tempo110,0.00611439842209073,0.10172272354388844,0.01153542025210475,0.007529846123950983,124,20156,1095,216808
audioldm2_tempo090,0.006408360445627526,0.1066447908121411,0.012090211578702627,0.007891893204472882,130,20156,1089,216808
audioldm2_tempo095,0.006408360445627526,0.1066447908121411,0.012090211578702627,0.007891893204472882,130,20156,1089,216808
audioldm2_tempo105,0.006555276258070876,0.10910582444626743,0.012367491166077738,0.008072837632776934,133,20156,1086,216808
audioldm2_tempo110,0.007777887171408881,0.12961443806398687,0.01467514977012028,0.009578660200060624,158,20156,1061,216808
mgeldm_bass_none,0.031334102268358324,0.6449060336300693,0.05976442550071039,0.038697577246774216,652,20156,359,216808
mgeldm_bass_pitchD2,0.023354976257389283,0.4772277227722772,0.04453067257945307,0.02884086067829875,482,20156,528,216808
mgeldm_bass_pitchD4,0.022265340771283046,0.4540059347181009,0.04244890409692038,0.027494578955565407,459,20156,552,216808
mgeldm_bass_pitchD4_tempo090,0.01883853380713625,0.3831683168316832,0.03591147404073679,0.023262244235531724,387,20156,623,216808
mgeldm_bass_pitchU2,0.02552697737381551,0.5227722772277228,0.048677053563197195,0.03152389367850405,528,20156,482,216808
mgeldm_bass_pitchU4,0.02359153223853122,0.48217821782178216,0.044982219553872445,0.029133066928285996,487,20156,523,216808
mgeldm_bass_pitchU4_tempo110,0.01945903872348706,0.39603960396039606,0.03709542798850042,0.024028642141432587,400,20156,610,216808
mgeldm_bass_tempo090,0.026515334460275295,0.5435643564356436,0.050564126180059864,0.032744840749135154,549,20156,461,216808
mgeldm_bass_tempo095,0.028720123361603702,0.5900990099009901,0.05477437735502252,0.0354685900640339,596,20156,414,216808
mgeldm_bass_tempo105,0.02736090334411041,0.5613861386138614,0.05217871439746009,0.03378942099115635,567,20156,443,216808
mgeldm_bass_tempo110,0.026703365686416534,0.5475247524752476,0.05092315484138312,0.032977124728669226,553,20156,457,216808
mgeldm_drums_none,0.02221791015814495,0.4530168150346192,0.042358381502890174,0.027435992667760912,458,20156,553,216808
mgeldm_drums_pitchD2,0.015195192260712366,0.3076162215628091,0.02895986590930254,0.018762292016071623,311,20156,700,216808
mgeldm_drums_pitchD4,0.013025168935461757,0.26310583580613256,0.02482153688237764,0.016082419376292338,266,20156,745,216808
mgeldm_drums_pitchD4_tempo090,0.012590016166168618,0.2542037586547972,0.02399178491411501,0.015545044336643964,257,20156,754,216808
mgeldm_drums_pitchU2,0.01706817516824344,0.34619188921859545,0.03253241622902821,0.02107545011139881,350,20156,661,216808
mgeldm_drums_pitchU4,0.016252623358875493,0.3293768545994065,0.030976744186046512,0.020068219894656913,333,20156,678,216808
mgeldm_drums_pitchU4_tempo110,0.013170134638922889,0.26607319485657766,0.025097966038440007,0.016261440437184898,269,20156,742,216808
mgeldm_drums_tempo090,0.017403597718519962,0.35311572700296734,0.03317227281174503,0.021489712627764467,357,20156,654,216808
mgeldm_drums_tempo095,0.016924352533775545,0.34322453016815035,0.03225806451612903,0.02089782349469424,347,20156,664,216808
mgeldm_drums_tempo105,0.016492631989850688,0.334322453016815,0.031434550104626834,0.020364635424825576,338,20156,673,216808
mgeldm_drums_tempo110,0.01610856194474275,0.3264094955489614,0.030701958412801787,0.019890301970948106,330,20156,681,216808
mgeldm_none,4.961055712655653e-05,1.0,9.921619208254787e-05,6.201242729042901e-05,1,20156,0,216808
mgeldm_other_none,0.031473739849118255,0.6485148514851485,0.060033912286329684,0.038870558074394095,655,20156,355,216808
mgeldm_other_pitchD2,0.026844341444573195,0.5504950495049505,0.0511923395635761,0.03315127954399103,556,20156,454,216808
mgeldm_other_pitchD4,0.024300513118404494,0.497029702970297,0.04633561011630054,0.030008847229860598,502,20156,508,216808
mgeldm_other_pitchD4_tempo090,0.02055493464211089,0.4188118811881188,0.039186622817175415,0.025382233636560017,423,20156,587,216808
mgeldm_other_pitchU2,0.026233151359969082,0.5376237623762377,0.050025335114468654,0.032396248478629215,543,20156,467,216808
mgeldm_other_pitchU4,0.02590373091049681,0.5306930693069307,0.04939636899824901,0.031989305068156317,536,20156,474,216808
mgeldm_other_pitchU4_tempo110,0.021933229813664596,0.44752475247524753,0.041817004348228326,0.027084681575225904,452,20156,558,216808
mgeldm_other_tempo090,0.02754860809572056,0.5653465346534653,0.05253714864056678,0.03402130651350128,571,20156,439,216808
mgeldm_other_tempo095,0.02848604617535065,0.5851485148514851,0.054327342924116374,0.035179409033548416,591,20156,419,216808
mgeldm_other_tempo105,0.02848604617535065,0.5851485148514851,0.054327342924116374,0.035179409033548416,591,20156,419,216808
mgeldm_other_tempo110,0.02848604617535065,0.5851485148514851,0.054327342924116374,0.035179409033548416,591,20156,419,216808
mgeldm_pitchD2,0.0,0.0,0.0,0.0,0,20156,1,216808
mgeldm_pitchD4,0.0,0.0,0.0,0.0,0,20156,1,216808
mgeldm_pitchD4_tempo090,0.0,0.0,0.0,0.0,0,20156,1,216808
mgeldm_pitchU2,0.0,0.0,0.0,0.0,0,20156,1,216808
mgeldm_pitchU4,4.961055712655653e-05,1.0,9.921619208254787e-05,6.201242729042901e-05,1,20156,0,216808
mgeldm_pitchU4_tempo110,4.961055712655653e-05,1.0,9.921619208254787e-05,6.201242729042901e-05,1,20156,0,216808
mgeldm_tempo090,0.0,0.0,0.0,0.0,0,20156,1,216808
mgeldm_tempo095,4.961055712655653e-05,1.0,9.921619208254787e-05,6.201242729042901e-05,1,20156,0,216808
mgeldm_tempo105,4.961055712655653e-05,1.0,9.921619208254787e-05,6.201242729042901e-05,1,20156,0,216808
mgeldm_tempo110,4.961055712655653e-05,1.0,9.921619208254787e-05,6.201242729042901e-05,1,20156,0,216808
mgeldm_vocals,0.0,0.0,0.0,0.0,0,20156,1,216808
musicgen_none,0.016588602654176426,0.27891714520098443,0.03131475938291504,0.020431955578524813,340,20156,879,216808
musicgen_pitchD2,0.013266754785333137,0.22231337161607875,0.025039268225076225,0.016339672241851268,271,20156,948,216808
musicgen_pitchD4,0.011767013139831339,0.19688269073010664,0.02220680083275503,0.014492228542444115,240,20156,979,216808
musicgen_pitchD4_tempo090,0.01094263702831346,0.18293683347005743,0.020650060190758403,0.013476763159485103,223,20156,996,216808
musicgen_pitchU2,0.01399080324821446,0.2346185397867104,0.026406906421679515,0.017231614590237025,286,20156,933,216808
musicgen_pitchU4,0.011912348644541399,0.19934372436423298,0.022481265611990008,0.014671255207389966,243,20156,976,216808
musicgen_pitchU4_tempo110,0.01050564555719195,0.17555373256767842,0.01982491083422113,0.012938487768896842,214,20156,1005,216808
musicgen_tempo090,0.015147073194566598,0.25430680885972107,0.028591192068249942,0.018656042752428294,310,20156,909,216808
musicgen_tempo095,0.013653046244188892,0.22887612797374898,0.025768911055694097,0.01681553538494919,279,20156,940,216808
musicgen_tempo105,0.014087262766581883,0.23625922887612796,0.02658911508101371,0.0173504427977589,288,20156,931,216808
musicgen_tempo110,0.013315057763853534,0.22313371616078753,0.02513050307201922,0.016399175217952273,272,20156,947,216808
none_pitchD2,0.05680861020121666,0.9958982772764561,0.10748594448625437,0.07001234154949884,1214,20156,5,216808
none_pitchD4,0.05592505854800937,0.9794913863822805,0.10580885285125614,0.06892252277214006,1194,20156,25,216808
none_pitchD4_tempo090,0.053797765468031174,0.9401148482362592,0.10177167976555215,0.06629872609254052,1146,20156,73,216808
none_pitchU2,0.05685274437321604,0.9967186218211649,0.10756972111553785,0.07006677969620428,1215,20156,4,216808
none_pitchU4,0.05654371840479311,0.9909762100082035,0.10698312890227162,0.06968560715315834,1208,20156,11,216808
none_pitchU4_tempo110,0.05464096430749027,0.955701394585726,0.1033717834960071,0.06733870501601101,1165,20156,54,216808
none_tempo090,0.05694100032751603,0.9983593109105825,0.1077372521246459,0.07017564092214368,1217,20156,2,216808
none_tempo095,0.05698512211097595,0.9991796554552912,0.10782100650644005,0.07023006400276768,1218,20156,1,216808
none_tempo105,0.057029239766081874,1.0,0.10790475347437373,0.07028448206275441,1219,20156,0,216808
none_tempo110,0.05698512211097595,0.9991796554552912,0.10782100650644005,0.07023006400276768,1218,20156,1,216808
smp_pitchD2,0.09325655675019119,0.5517700292786798,0.15954744862618334,0.11184487391149525,2073,20156,1684,216808
smp_pitchD4,0.09239913544668588,0.5461804631354804,0.1580589254766031,0.11081229951722127,2052,20156,1705,216808
smp_pitchD4_tempo090,0.08833506716721697,0.5198296513175406,0.15100904662491302,0.1059191044873255,1953,20156,1804,216808
smp_pitchU2,0.08639289275677636,0.5073196699494278,0.1476432084898718,0.10358132710178794,1906,20156,1851,216808
smp_pitchU4,0.08907669363221404,0.5246207080117115,0.15229485396383866,0.10681190050398309,1971,20156,1786,216808
smp_pitchU4_tempo110,0.08730302481434522,0.5131754059089699,0.14922023141519292,0.10467679411030155,1928,20156,1829,216808
smp_tempo090,0.0910894660894661,0.53766302901251,0.15578606408822734,0.1092352451303793,2020,20156,1737,216808
smp_tempo095,0.09022793951703904,0.5320734628693106,0.15429144797777092,0.10819792805568486,1999,20156,1758,216808
smp_tempo105,0.09305255579553635,0.5504391801969657,0.15919325661060005,0.1115991926866912,2068,20156,1689,216808
smp_tempo110,0.09264427838300171,0.5477774820335374,0.15848446343999076,0.11110751190437627,2058,20156,1699,216808
