feature,importance_mean,importance_std,family
clews_cosine_distance,0.09106191745196743,0.0012958803944275372,CLEWS Distances
clews_pearson_distance,0.08163114918410957,0.0013065341002080819,CLEWS Distances
clews_delta_std,0.05509004947069209,0.0016251566795526934,CLEWS Delta Summaries
clews_volatile_shell_mean_delta,0.045323607565362065,0.0021226355112112538,CLEWS Delta Summaries
clews_delta_p95,0.039220728566713284,0.0014322200457094023,CLEWS Delta Summaries
clews_delta_p90,0.03759929328867193,0.001771718338812237,CLEWS Delta Summaries
wealy_cosine_distance,0.035461559619590785,0.0027601335270751788,WEALY Distances
clews_euclidean_distance,0.03542801554231425,0.002369485999502637,CLEWS Distances
clews_stable_core_mean_delta,0.03207608917084903,0.0014572801344022617,CLEWS Delta Summaries
clews_active_dims_q75_global,0.03207090679443565,0.0007934970433473039,CLEWS Delta Summaries
wealy_pearson_distance,0.026587144416860897,0.0015475317011267465,WEALY Distances
clews_delta_max,0.025722024605782635,0.00110763047994464,CLEWS Delta Summaries
clews_delta_median,0.022938627747920347,0.0021798085362533014,CLEWS Delta Summaries
wealy_delta_std,0.02240819548057076,0.0011214384684436918,WEALY Delta Summaries
wealy_delta_p90,0.019330184132296167,0.0018284469320132722,WEALY Delta Summaries
wealy_volatile_shell_mean_delta,0.011339030490100743,0.0013488476572863738,WEALY Delta Summaries
clews_stable_to_volatile_ratio,0.01126523848975638,0.0010535751512743864,CLEWS Delta Summaries
clews_manhattan_distance,0.010475895887131959,0.0017947508420565828,CLEWS Distances
clews_delta_mean,0.010153156210591364,0.0017869147598336347,CLEWS Delta Summaries
wealy_stable_core_mean_delta,0.009760053764543808,0.0017792419103325329,WEALY Delta Summaries
wealy_euclidean_distance,0.009394104581298014,0.001132144761964021,WEALY Distances
wealy_delta_median,0.0073608746782354295,0.0011813824195460103,WEALY Delta Summaries
wealy_manhattan_distance,0.00545828960485426,0.0003047831264864821,WEALY Distances
wealy_delta_max,0.0028977398493191587,0.0011252566192160645,WEALY Delta Summaries
wealy_delta_p95,0.00234718377510128,0.0005891545258208787,WEALY Delta Summaries
wealy_stable_to_volatile_ratio,0.000649825426523476,0.0010853486896583249,WEALY Delta Summaries
clews_delta_l2,0.00033362110143679845,0.0007779480133935556,CLEWS Delta Summaries
wealy_delta_mean,-9.298998884230692e-05,0.0003260250916753368,WEALY Delta Summaries
wealy_active_dims_q75_global,-0.0004938360138909692,0.00032760998081588877,WEALY Delta Summaries
wealy_delta_l2,-0.0007915807176095635,0.0003397460624120677,WEALY Delta Summaries
