Modification_Type,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
SMP_plag,0.06738981892722924,0.5267022696929239,0.11949114039073148,0.08162631905648665,789,10919,709,226045
SMP_plag_doubt,0.024653863331844574,0.3317307692307692,0.04589673235220753,0.030255196001052354,276,10919,556,226045
SMP_remake,0.09318162943277136,0.7862648913805186,0.1666171666171666,0.1131253654897058,1122,10919,305,226045
audioldm2_none,0.09265414658467674,0.9146841673502871,0.16826378933071756,0.11295714719886536,1115,10919,104,226045
audioldm2_pitchD2,0.09295564047183917,0.9179655455291222,0.168816474315456,0.11332563650726135,1119,10919,100,226045
audioldm2_pitchD4,0.09303098263975414,0.918785890073831,0.1689545934530095,0.11341772151898734,1120,10919,99,226045
audioldm2_pitchD4_tempo090,0.09272953884503532,0.9155045118949959,0.16840199185151652,0.11304929192244575,1116,10919,103,226045
audioldm2_pitchU2,0.09355802756101611,0.9245283018867925,0.16992084432717677,0.11406189907495497,1127,10919,92,226045
audioldm2_pitchU4,0.09363326969369967,0.9253486464315013,0.17005879692446857,0.11415386483696642,1128,10919,91,226045
audioldm2_pitchU4_tempo110,0.09378371649099511,0.9269893355209188,0.17033463973470003,0.1143377516948295,1130,10919,89,226045
audioldm2_tempo090,0.09212604972146005,0.9089417555373257,0.16729578740751924,0.11231171569323088,1108,10919,111,226045
audioldm2_tempo095,0.09295564047183917,0.9179655455291222,0.168816474315456,0.11332563650726135,1119,10919,100,226045
audioldm2_tempo105,0.09189953426480373,0.9064807219031994,0.1668806161745828,0.11203487782621921,1105,10919,114,226045
audioldm2_tempo110,0.09212604972146005,0.9089417555373257,0.16729578740751924,0.11231171569323088,1108,10919,111,226045
mgeldm_bass_none,0.07910938686008265,0.9277942631058358,0.14578800124339447,0.09682280806787918,938,10919,73,226045
mgeldm_bass_pitchD2,0.07395471122042235,0.8633663366336634,0.13623935630028905,0.09050525179557438,872,10919,138,226045
mgeldm_bass_pitchD4,0.07340461642905635,0.8555885262116716,0.13520906604142244,0.08982906515463061,865,10919,146,226045
mgeldm_bass_pitchD4_tempo090,0.07072340425531914,0.8227722772277227,0.13025078369905957,0.08654446990210372,831,10919,179,226045
mgeldm_bass_pitchU2,0.07567933632438839,0.8851485148514852,0.13943694923184902,0.0926194521569765,894,10919,116,226045
mgeldm_bass_pitchU4,0.07513128917499577,0.8782178217821782,0.1384207240948814,0.09194758883774931,887,10919,123,226045
mgeldm_bass_pitchU4_tempo110,0.07175040380855224,0.8356435643564356,0.13215376184138417,0.08780325413008198,844,10919,166,226045
mgeldm_bass_tempo090,0.07583580194667795,0.8871287128712871,0.1397270955165692,0.09281126993992128,896,10919,114,226045
mgeldm_bass_tempo095,0.07638301471832178,0.8940594059405941,0.14074189526184538,0.0934821317652905,903,10919,107,226045
mgeldm_bass_tempo105,0.07653924221921515,0.8960396039603961,0.14103163472027427,0.09367366372707324,905,10919,105,226045
mgeldm_bass_tempo110,0.07536624608349564,0.8811881188118812,0.1388563850534363,0.09223562575135763,890,10919,120,226045
mgeldm_drums_none,0.07895402783635597,0.9258160237388724,0.14549976682729676,0.09663232227292437,936,10919,75,226045
mgeldm_drums_pitchD2,0.07434723635130552,0.8674579624134521,0.13695635199500272,0.09098454196493412,877,10919,134,226045
mgeldm_drums_pitchD4,0.07458259174506314,0.8704253214638972,0.13739266198282593,0.0912730516315058,880,10919,131,226045
mgeldm_drums_pitchD4_tempo090,0.0730899830220713,0.8516320474777448,0.13462590884215464,0.08944339407034967,861,10919,150,226045
mgeldm_drums_pitchU2,0.07716362407031778,0.9030662710187932,0.1421786187027953,0.09443720391402387,913,10919,98,226045
mgeldm_drums_pitchU4,0.07560108364375212,0.8832838773491593,0.13928097948997895,0.09252160218819287,893,10919,118,226045
mgeldm_drums_pitchU4_tempo110,0.07395471122042235,0.8625123639960435,0.13622871426339633,0.09050337311883758,872,10919,139,226045
mgeldm_drums_tempo090,0.07575757575757576,0.8852621167161226,0.13957115009746587,0.09271344811154619,895,10919,116,226045
mgeldm_drums_tempo095,0.0761485743294695,0.8902077151335311,0.1402961808261886,0.09319278480750512,900,10919,111,226045
mgeldm_drums_tempo105,0.07591401489505754,0.887240356083086,0.13986123021750993,0.09290523045054376,897,10919,114,226045
mgeldm_drums_tempo110,0.0761485743294695,0.8902077151335311,0.1402961808261886,0.09319278480750512,900,10919,111,226045
mgeldm_none,9.157509157509158e-05,1.0,0.0001831334126911455,0.00011446624390467251,1,10919,0,226045
mgeldm_other_none,0.07755343414716567,0.9089108910891089,0.14291274227446096,0.09491707680218371,918,10919,92,226045
mgeldm_other_pitchD2,0.0752879403794038,0.8801980198019802,0.13871118739272897,0.09213962936859997,889,10919,121,226045
mgeldm_other_pitchD4,0.07387616624257845,0.8623762376237624,0.13609375,0.09040896823749221,871,10919,139,226045
mgeldm_other_pitchD4_tempo090,0.07111867290514674,0.8277227722772277,0.1309831570701136,0.08702894024567978,836,10919,174,226045
mgeldm_other_pitchU2,0.07411176121427966,0.8653465346534653,0.1365305006639069,0.09069777095180773,874,10919,136,226045
mgeldm_other_pitchU4,0.07395471122042235,0.8633663366336634,0.13623935630028905,0.09050525179557438,872,10919,138,226045
mgeldm_other_pitchU4_tempo110,0.07072340425531914,0.8227722772277227,0.13025078369905957,0.08654446990210372,831,10919,179,226045
mgeldm_other_tempo090,0.075992214606076,0.8891089108910891,0.14001715132143136,0.09300302415178756,898,10919,112,226045
mgeldm_other_tempo095,0.07567933632438839,0.8851485148514852,0.13943694923184902,0.0926194521569765,894,10919,116,226045
mgeldm_other_tempo105,0.07513128917499577,0.8782178217821782,0.1384207240948814,0.09194758883774931,887,10919,123,226045
mgeldm_other_tempo110,0.07489621282724732,0.8752475247524752,0.13798485912744868,0.09165940856870308,884,10919,126,226045
mgeldm_pitchD2,9.157509157509158e-05,1.0,0.0001831334126911455,0.00011446624390467251,1,10919,0,226045
mgeldm_pitchD4,9.157509157509158e-05,1.0,0.0001831334126911455,0.00011446624390467251,1,10919,0,226045
mgeldm_pitchD4_tempo090,9.157509157509158e-05,1.0,0.0001831334126911455,0.00011446624390467251,1,10919,0,226045
mgeldm_pitchU2,9.157509157509158e-05,1.0,0.0001831334126911455,0.00011446624390467251,1,10919,0,226045
mgeldm_pitchU4,9.157509157509158e-05,1.0,0.0001831334126911455,0.00011446624390467251,1,10919,0,226045
mgeldm_pitchU4_tempo110,9.157509157509158e-05,1.0,0.0001831334126911455,0.00011446624390467251,1,10919,0,226045
mgeldm_tempo090,9.157509157509158e-05,1.0,0.0001831334126911455,0.00011446624390467251,1,10919,0,226045
mgeldm_tempo095,9.157509157509158e-05,1.0,0.0001831334126911455,0.00011446624390467251,1,10919,0,226045
mgeldm_tempo105,9.157509157509158e-05,1.0,0.0001831334126911455,0.00011446624390467251,1,10919,0,226045
mgeldm_tempo110,9.157509157509158e-05,1.0,0.0001831334126911455,0.00011446624390467251,1,10919,0,226045
mgeldm_vocals,9.157509157509158e-05,1.0,0.0001831334126911455,0.00011446624390467251,1,10919,0,226045
musicgen_none,0.09121930919683728,0.8990976210008204,0.16563397309959196,0.11120355526694942,1096,10919,123,226045
musicgen_pitchD2,0.09091665972858214,0.8958162428219852,0.16507936507936508,0.11083368856951464,1092,10919,127,226045
musicgen_pitchD4,0.09061380861164321,0.8925348646431501,0.16452442159383032,0.11046358153796171,1088,10919,131,226045
musicgen_pitchD4_tempo090,0.08947631754503002,0.8802296964725185,0.16244039058360457,0.10907353569032469,1073,10919,146,226045
musicgen_pitchU2,0.09000750062505208,0.8859721082854799,0.1634135270086246,0.1097226455348979,1080,10919,139,226045
musicgen_pitchU4,0.09008333333333333,0.8867924528301887,0.16355246236477797,0.10981531522379569,1081,10919,138,226045
musicgen_pitchU4_tempo110,0.09000750062505208,0.8859721082854799,0.1634135270086246,0.1097226455348979,1080,10919,139,226045
musicgen_tempo090,0.0889445139758031,0.874487284659557,0.16146622235686156,0.10842368640533778,1066,10919,153,226045
musicgen_tempo095,0.089855797282654,0.8843314191960624,0.163135593220339,0.10953726095880667,1078,10919,141,226045
musicgen_tempo105,0.089855797282654,0.8843314191960624,0.163135593220339,0.10953726095880667,1078,10919,141,226045
musicgen_tempo110,0.09038653782072642,0.8900738310090238,0.1641079936474325,0.11018584340408247,1085,10919,134,226045
none_pitchD2,0.10035428853917772,0.9991796554552912,0.18238993710691823,0.12237024534329978,1218,10919,1,226045
none_pitchD4,0.09990932322149863,0.9942575881870386,0.18157303370786518,0.12182618659911948,1212,10919,7,226045
none_pitchD4_tempo090,0.09924104933179344,0.9868744872846595,0.18034630087699574,0.12100911340455067,1203,10919,16,226045
none_pitchU2,0.10035428853917772,0.9991796554552912,0.18238993710691823,0.12237024534329978,1218,10919,1,226045
none_pitchU4,0.10035428853917772,0.9991796554552912,0.18238993710691823,0.12237024534329978,1218,10919,1,226045
none_pitchU4_tempo110,0.09976090361942452,0.992616899097621,0.18130056937368894,0.12164471700010053,1210,10919,9,226045
none_tempo090,0.10042840665678036,1.0,0.18252601632103016,0.12246087078821,1219,10919,0,226045
none_tempo095,0.10042840665678036,1.0,0.18252601632103016,0.12246087078821,1219,10919,0,226045
none_tempo105,0.10042840665678036,1.0,0.18252601632103016,0.12246087078821,1219,10919,0,226045
none_tempo110,0.10042840665678036,1.0,0.18252601632103016,0.12246087078821,1219,10919,0,226045
smp_pitchD2,0.16406369621803704,0.5704019164226777,0.2548308460669481,0.19132220337469868,2143,10919,1614,226045
smp_pitchD4,0.16367953431372548,0.5688048975246207,0.2542080532920954,0.19086833032636072,2137,10919,1620,226045
smp_pitchD4_tempo090,0.15494156799009365,0.532871972318339,0.2400767478114882,0.1805522988402085,2002,10919,1755,226045
smp_pitchU2,0.15546445974166603,0.5350013308490817,0.2409205321826681,0.18116921745714132,2010,10919,1747,226045
smp_pitchU4,0.15402494770279693,0.5291455948895395,0.23859817570811329,0.17947097589600072,1988,10919,1769,226045
smp_pitchU4_tempo110,0.14974303068057934,0.5118445568272558,0.23170070486173866,0.174421768707483,1923,10919,1834,226045
smp_tempo090,0.1617534162444342,0.5608198030343359,0.25108740987904427,0.1885931150534362,2107,10919,1650,226045
smp_tempo095,0.16316676885346412,0.5666755389938781,0.25337697113954183,0.19026256054621174,2129,10919,1628,226045
smp_tempo105,0.1654054880379118,0.5759914825658771,0.2570071258907363,0.19290770026208348,2164,10919,1593,226045
smp_tempo110,0.163615472998851,0.5685387277082778,0.2541042112776588,0.19079264698000964,2136,10919,1621,226045
