feature,importance_mean,importance_std,family
vocal_ratio_mod,0.2357354661631433,0.004419757997289002,Vocal Metadata
vocal_ratio_ori,0.2010979283578827,0.0028850368954663193,Vocal Metadata
clews_delta_p95,0.02985733020166479,0.0017779353507045646,CLEWS Delta Summaries
clews_volatile_shell_mean_delta,0.021644006814594174,0.0008857614011539462,CLEWS Delta Summaries
clews_pearson_distance,0.0159836636993137,0.002069937424533181,CLEWS Distances
clews_delta_std,0.015982382191213774,0.0016517514504146226,CLEWS Delta Summaries
clews_cosine_distance,0.01473016094179953,0.0027268120254229037,CLEWS Distances
wealy_cosine_distance,0.014721293759871435,0.0017374935734112628,WEALY Distances
clews_delta_p90,0.01430276243283286,0.0007873313587910258,CLEWS Delta Summaries
wealy_delta_std,0.01423586013824234,0.0010118781583232878,WEALY Delta Summaries
clews_manhattan_distance,0.012135781733266016,0.0019659859849580816,CLEWS Distances
wealy_pearson_distance,0.011462090624139942,0.0016833447531918256,WEALY Distances
clews_stable_core_mean_delta,0.010020258896556555,0.0016911460166554179,CLEWS Delta Summaries
pair_vocal_valid,0.009576385909982754,0.000704759871061056,Vocal Metadata
clews_delta_max,0.006292391862695324,0.000907454949195307,CLEWS Delta Summaries
clews_active_dims_q75_global,0.005305402387239133,0.000253121475727233,CLEWS Delta Summaries
wealy_delta_p90,0.0038921235856846483,0.001018796608297197,WEALY Delta Summaries
vocal_valid_ori,0.0030947104982628646,0.00018438750370528505,Vocal Metadata
wealy_volatile_shell_mean_delta,0.0021617290988542592,0.0009365191368701653,WEALY Delta Summaries
wealy_delta_mean,0.0005702644216211805,0.0002750541305122277,WEALY Delta Summaries
wealy_stable_core_mean_delta,0.00045656894049326267,0.0007747007560875015,WEALY Delta Summaries
wealy_delta_max,0.00028952811281297565,0.0007003058512722581,WEALY Delta Summaries
clews_delta_mean,-3.516645018322162e-05,0.0007329338766436568,CLEWS Delta Summaries
clews_stable_to_volatile_ratio,-0.00040761060750538203,0.00010126793315635785,CLEWS Delta Summaries
wealy_delta_l2,-0.000439783136644456,0.00024625551607729984,WEALY Delta Summaries
clews_euclidean_distance,-0.0019173020106538318,0.0012084705198557846,CLEWS Distances
clews_delta_l2,-0.002096568300175172,0.0004292104221859405,CLEWS Delta Summaries
vocal_valid_mod,-0.0030505982039357614,0.0003504907288454019,Vocal Metadata
wealy_delta_median,-0.0033813052138730983,0.0005403053904559263,WEALY Delta Summaries
clews_delta_median,-0.0035138686749871086,0.000660740140998695,CLEWS Delta Summaries
wealy_manhattan_distance,-0.003706162762315257,0.0007306084414078872,WEALY Distances
wealy_euclidean_distance,-0.0037717249648355987,0.0006793545868686957,WEALY Distances
wealy_delta_p95,-0.0045062282901941805,0.00035315559431538994,WEALY Delta Summaries
wealy_stable_to_volatile_ratio,-0.004586348859819034,0.0016131668248039832,WEALY Delta Summaries
wealy_active_dims_q75_global,-0.004733920246654089,0.0003104163020063138,WEALY Delta Summaries
