Modification_Type,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
SMP_plag,0.08410955095231475,0.807743658210948,0.1523545706371191,0.10246942854239355,1210,13176,288,223788
SMP_plag_doubt,0.050173010380622836,0.8365384615384616,0.09466811751904244,0.06178977272727273,696,13176,136,223788
SMP_remake,0.09168619881428375,0.9320252277505255,0.16694909935354296,0.11185682326621924,1330,13176,97,223788
audioldm2_none,0.03564370928785772,0.39950779327317476,0.06544819244725171,0.043582538347264235,487,13176,732,223788
audioldm2_pitchD2,0.03817796919483174,0.42904019688269074,0.07011663761898378,0.046683923948942246,523,13176,696,223788
audioldm2_pitchD4,0.035502525437376475,0.3978671041837572,0.06518817204301075,0.04340977033098831,485,13176,734,223788
audioldm2_pitchD4_tempo090,0.035008056247253554,0.3921246923707957,0.06427754992267867,0.04280469239724188,478,13176,741,223788
audioldm2_pitchU2,0.03691250639573131,0.4142739950779327,0.06778523489932886,0.045135226927408255,505,13176,714,223788
audioldm2_pitchU4,0.03782678545348328,0.4249384741591468,0.0694695902903507,0.0462541298330208,518,13176,701,223788
audioldm2_pitchU4_tempo110,0.03845873166459899,0.43232157506152585,0.0706339632757003,0.047027538326997555,527,13176,692,223788
audioldm2_tempo090,0.03564370928785772,0.39950779327317476,0.06544819244725171,0.043582538347264235,487,13176,732,223788
audioldm2_tempo095,0.036982897237246015,0.41509433962264153,0.06791490503993021,0.04522137022539189,506,13176,713,223788
audioldm2_tempo105,0.03458382180539273,0.38720262510254305,0.06349633416291114,0.042285570944795826,472,13176,747,223788
audioldm2_tempo110,0.035784851811196484,0.40114848236259226,0.06570814297231926,0.04375525689436103,489,13176,730,223788
mgeldm_bass_none,0.056160458452722065,0.7754698318496538,0.10473582259034132,0.06895217322474538,784,13176,227,223788
mgeldm_bass_pitchD2,0.04818319728382576,0.6603960396039604,0.08981350568908637,0.05915008335993757,667,13176,343,223788
mgeldm_bass_pitchD4,0.04639212564232467,0.6340257171117705,0.08645805233342325,0.05694841770465005,641,13176,370,223788
