final_mod_type,negative_tier,cosine_distance,euclidean_distance,manhattan_distance,pearson_distance
Negative_SMP_plag,global_nearest,0.4996,46.4205,1176.0444,0.4996
Negative_SMP_plag,intra_category_nearest,0.6474,53.807,1359.8899,0.6474
Negative_SMP_plag,random,0.9079,63.0537,1592.6424,0.908
Negative_SMP_plag_doubt,global_nearest,0.4958,45.3717,1150.07,0.4958
Negative_SMP_plag_doubt,intra_category_nearest,0.687,52.6269,1334.8961,0.6867
Negative_SMP_plag_doubt,random,0.8686,59.9643,1520.2269,0.8685
Negative_SMP_remake,global_nearest,0.4755,46.0701,1166.4156,0.4755
Negative_SMP_remake,intra_category_nearest,0.6015,52.0608,1317.6223,0.6014
Negative_SMP_remake,random,0.8388,61.5685,1554.2666,0.8386
Negative_audioldm2_none,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_audioldm2_none,intra_category_nearest,0.6569,53.3021,1350.2765,0.6569
Negative_audioldm2_none,random,0.9551,63.8999,1616.4015,0.955
Negative_audioldm2_pitchD2,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_audioldm2_pitchD2,intra_category_nearest,0.6664,53.724,1362.7319,0.6663
Negative_audioldm2_pitchD2,random,0.9684,63.8313,1615.4612,0.9684
Negative_audioldm2_pitchD4,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_audioldm2_pitchD4,intra_category_nearest,0.6651,53.3027,1350.9881,0.665
Negative_audioldm2_pitchD4,random,0.9677,64.0668,1617.2117,0.9676
Negative_audioldm2_pitchD4_tempo090,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_audioldm2_pitchD4_tempo090,intra_category_nearest,0.6724,53.3894,1354.0815,0.6723
Negative_audioldm2_pitchD4_tempo090,random,0.9626,63.7957,1614.0258,0.9626
Negative_audioldm2_pitchU2,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_audioldm2_pitchU2,intra_category_nearest,0.6594,53.4102,1353.6605,0.6594
Negative_audioldm2_pitchU2,random,0.9598,63.3966,1605.1737,0.9596
Negative_audioldm2_pitchU4,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_audioldm2_pitchU4,intra_category_nearest,0.656,53.3058,1351.0387,0.6559
Negative_audioldm2_pitchU4,random,0.9456,63.4206,1603.0458,0.9456
Negative_audioldm2_pitchU4_tempo110,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_audioldm2_pitchU4_tempo110,intra_category_nearest,0.6619,53.3637,1353.9041,0.6618
Negative_audioldm2_pitchU4_tempo110,random,0.9459,63.3255,1603.1684,0.9459
