final_mod_type,negative_tier,cosine_distance,euclidean_distance,manhattan_distance,pearson_distance
Negative_SMP_plag,global_nearest,0.8375,25.4246,459.4968,0.8373
Negative_SMP_plag,intra_category_nearest,0.907,27.2532,491.9686,0.9069
Negative_SMP_plag,random,0.8886,27.2521,491.222,0.8886
Negative_SMP_plag_doubt,global_nearest,0.8272,26.4426,478.3947,0.8269
Negative_SMP_plag_doubt,intra_category_nearest,0.7969,26.9469,487.2601,0.7965
Negative_SMP_plag_doubt,random,0.8349,27.976,505.9921,0.8347
Negative_SMP_remake,global_nearest,0.8474,26.1729,473.2112,0.8474
Negative_SMP_remake,intra_category_nearest,0.8499,26.3659,475.7181,0.8498
Negative_SMP_remake,random,0.8558,26.1912,472.9182,0.8556
Negative_audioldm2_none,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_audioldm2_none,intra_category_nearest,0.8335,25.569,462.0242,0.8333
Negative_audioldm2_none,random,0.855,25.6485,463.7513,0.8548
Negative_audioldm2_pitchD2,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_audioldm2_pitchD2,intra_category_nearest,0.8376,25.4546,459.7247,0.8374
Negative_audioldm2_pitchD2,random,0.8403,25.4569,460.0477,0.8403
Negative_audioldm2_pitchD4,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_audioldm2_pitchD4,intra_category_nearest,0.8373,25.5466,461.834,0.8373
Negative_audioldm2_pitchD4,random,0.8385,25.3813,458.5272,0.8384
Negative_audioldm2_pitchD4_tempo090,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_audioldm2_pitchD4_tempo090,intra_category_nearest,0.8567,25.5929,462.2329,0.8566
Negative_audioldm2_pitchD4_tempo090,random,0.8569,25.4107,459.2909,0.8568
Negative_audioldm2_pitchU2,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_audioldm2_pitchU2,intra_category_nearest,0.8278,25.2008,455.2312,0.8276
Negative_audioldm2_pitchU2,random,0.8372,25.3521,458.1511,0.8371
Negative_audioldm2_pitchU4,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_audioldm2_pitchU4,intra_category_nearest,0.8238,25.1635,454.9507,0.8236
Negative_audioldm2_pitchU4,random,0.8138,24.7194,446.5738,0.8136
Negative_audioldm2_pitchU4_tempo110,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_audioldm2_pitchU4_tempo110,intra_category_nearest,0.8327,25.0965,453.2478,0.8325
Negative_audioldm2_pitchU4_tempo110,random,0.8541,25.0981,453.6133,0.8539
Negative_audioldm2_tempo090,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_audioldm2_tempo090,intra_category_nearest,0.8641,26.3634,476.4957,0.8639
Negative_audioldm2_tempo090,random,0.8585,26.2397,473.977,0.8583
Negative_audioldm2_tempo095,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_audioldm2_tempo095,intra_category_nearest,0.8538,26.1596,472.7807,0.8537
Negative_audioldm2_tempo095,random,0.8644,26.2313,474.4448,0.8643
Negative_audioldm2_tempo105,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_audioldm2_tempo105,intra_category_nearest,0.8537,26.0296,470.4552,0.8536
Negative_audioldm2_tempo105,random,0.8753,26.8001,484.4633,0.8751
Negative_audioldm2_tempo110,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_audioldm2_tempo110,intra_category_nearest,0.8416,25.6627,463.6066,0.8415
Negative_audioldm2_tempo110,random,0.8656,26.2855,475.089,0.8655
Negative_mgeldm_bass_none,global_nearest,0.8189,25.628,463.0941,0.8187
Negative_mgeldm_bass_none,intra_category_nearest,0.8043,25.5353,461.2261,0.8041
Negative_mgeldm_bass_none,random,0.8123,25.851,467.2896,0.8122
Negative_mgeldm_bass_pitchD2,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_bass_pitchD2,intra_category_nearest,0.8117,25.337,457.326,0.8116
Negative_mgeldm_bass_pitchD2,random,0.8349,25.654,463.2261,0.8348
Negative_mgeldm_bass_pitchD4,global_nearest,0.8202,25.6648,463.7542,0.8201
Negative_mgeldm_bass_pitchD4,intra_category_nearest,0.8437,26.0596,470.6723,0.8436
Negative_mgeldm_bass_pitchD4,random,0.8651,26.2352,474.1026,0.8649
Negative_mgeldm_bass_pitchD4_tempo090,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_bass_pitchD4_tempo090,intra_category_nearest,0.8573,26.1502,472.4654,0.8571
Negative_mgeldm_bass_pitchD4_tempo090,random,0.8963,27.1471,490.7925,0.8962
Negative_mgeldm_bass_pitchU2,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_bass_pitchU2,intra_category_nearest,0.7972,25.1831,454.9002,0.797
Negative_mgeldm_bass_pitchU2,random,0.8334,26.0781,471.9072,0.8334
Negative_mgeldm_bass_pitchU4,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_bass_pitchU4,intra_category_nearest,0.8049,25.3474,457.9593,0.8048
Negative_mgeldm_bass_pitchU4,random,0.8631,26.7075,482.5111,0.8629
Negative_mgeldm_bass_pitchU4_tempo110,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_bass_pitchU4_tempo110,intra_category_nearest,0.8277,25.3421,457.9357,0.8275
Negative_mgeldm_bass_pitchU4_tempo110,random,0.857,26.2155,474.057,0.8568
Negative_mgeldm_bass_tempo090,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_bass_tempo090,intra_category_nearest,0.821,25.9324,468.2227,0.8208
Negative_mgeldm_bass_tempo090,random,0.8408,26.5363,480.0922,0.8406
Negative_mgeldm_bass_tempo095,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_bass_tempo095,intra_category_nearest,0.8158,25.5097,460.2188,0.8156
Negative_mgeldm_bass_tempo095,random,0.8266,25.9384,469.0251,0.8263
Negative_mgeldm_bass_tempo105,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_bass_tempo105,intra_category_nearest,0.8108,25.3388,457.2294,0.8106
Negative_mgeldm_bass_tempo105,random,0.8466,26.3686,476.1973,0.8465
Negative_mgeldm_bass_tempo110,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_bass_tempo110,intra_category_nearest,0.7942,25.1129,453.4424,0.794
Negative_mgeldm_bass_tempo110,random,0.8476,26.4624,477.8801,0.8475
Negative_mgeldm_drums_none,global_nearest,0.8189,25.628,463.0941,0.8187
Negative_mgeldm_drums_none,intra_category_nearest,0.8118,25.7873,466.1654,0.8116
Negative_mgeldm_drums_none,random,0.8341,26.7051,482.7986,0.834
