dimension,mean_abs_corr_others,max_abs_corr,n_partners_above_0.8,redundancy_rank
861,0.155623,0.551908,0,1
938,0.149515,0.636357,0,2
639,0.148482,0.513183,0,3
794,0.146139,0.496338,0,4
993,0.145237,0.560245,0,5
713,0.144867,0.463632,0,6
848,0.144364,0.487861,0,7
940,0.144353,0.527909,0,8
313,0.143081,0.512418,0,9
612,0.141207,0.636357,0,10
890,0.140949,0.549946,0,11
834,0.140777,0.552414,0,12
997,0.139939,0.552414,0,13
440,0.139805,0.515910,0,14
691,0.139098,0.538912,0,15
951,0.139003,0.580148,0,16
9,0.139000,0.555585,0,17
770,0.138712,0.511763,0,18
739,0.138483,0.488909,0,19
135,0.138301,0.507793,0,20
100,0.138094,0.473553,0,21
195,0.137663,0.469392,0,22
211,0.137587,0.549946,0,23
85,0.136805,0.507793,0,24
749,0.136432,0.580148,0,25
991,0.135739,0.484972,0,26
554,0.134631,0.499725,0,27
174,0.134607,0.464548,0,28
48,0.134595,0.438554,0,29
8,0.134348,0.471135,0,30
145,0.134229,0.525856,0,31
1006,0.134054,0.509763,0,32
708,0.133815,0.481449,0,33
345,0.133555,0.473948,0,34
57,0.133489,0.517553,0,35
329,0.133230,0.484440,0,36
378,0.132994,0.517553,0,37
944,0.132867,0.535426,0,38
185,0.132830,0.511747,0,39
797,0.132727,0.496338,0,40
268,0.132590,0.474357,0,41
441,0.132546,0.510988,0,42
355,0.132332,0.530573,0,43
557,0.132241,0.481476,0,44
240,0.132200,0.490589,0,45
885,0.132178,0.520901,0,46
530,0.131693,0.515069,0,47
668,0.131689,0.555585,0,48
368,0.130668,0.522073,0,49
219,0.130645,0.512252,0,50
259,0.130614,0.509243,0,51
654,0.130610,0.495335,0,52
879,0.130341,0.511196,0,53
376,0.130145,0.453257,0,54
551,0.129921,0.509243,0,55
817,0.129724,0.525895,0,56
30,0.129324,0.474357,0,57
99,0.129193,0.520901,0,58
505,0.129157,0.481855,0,59
733,0.129119,0.444760,0,60
422,0.129024,0.530573,0,61
906,0.128523,0.453606,0,62
411,0.128513,0.487979,0,63
816,0.128478,0.538912,0,64
47,0.128397,0.476765,0,65
616,0.128361,0.527133,0,66
896,0.128216,0.511763,0,67
475,0.128166,0.501468,0,68
247,0.128145,0.554758,0,69
488,0.128028,0.522073,0,70
716,0.127969,0.468854,0,71
979,0.127866,0.476077,0,72
899,0.127859,0.486254,0,73
831,0.127804,0.445115,0,74
565,0.127776,0.526548,0,75
493,0.127214,0.475399,0,76
302,0.127153,0.470999,0,77
924,0.127095,0.493313,0,78
134,0.127005,0.455027,0,79
473,0.126986,0.463632,0,80
851,0.126819,0.437991,0,81
359,0.126681,0.506771,0,82
886,0.126593,0.460470,0,83
692,0.126548,0.436754,0,84
