dimension,ori_mean,ori_std,mod_mean_Human_Plagiarism_(Base),mod_std_Human_Plagiarism_(Base),shift_mean_Human_Plagiarism_(Base),shift_std_Human_Plagiarism_(Base),mod_mean_Human_Plagiarism_+_DSP,mod_std_Human_Plagiarism_+_DSP,shift_mean_Human_Plagiarism_+_DSP,shift_std_Human_Plagiarism_+_DSP,mod_mean_Original_+_DSP,mod_std_Original_+_DSP,shift_mean_Original_+_DSP,shift_std_Original_+_DSP,mod_mean_AI_Generation_(Base),mod_std_AI_Generation_(Base),shift_mean_AI_Generation_(Base),shift_std_AI_Generation_(Base),mod_mean_AI_+_DSP,mod_std_AI_+_DSP,shift_mean_AI_+_DSP,shift_std_AI_+_DSP
0,-0.069849,1.377165,0.001444,1.395797,0.156098,1.419832,-0.062530,1.333552,0.102470,1.424490,-0.036340,1.289279,-0.053941,0.628084,-0.474815,1.407885,-0.495138,1.879560,-0.386091,1.384276,-0.405412,1.894343
1,0.555704,1.478577,0.517022,1.516441,-0.084372,1.506827,0.571619,1.503544,-0.025991,1.546430,0.570528,1.527722,0.056450,0.700538,-0.005489,1.419872,-0.523537,1.953771,-0.114180,1.427825,-0.630112,2.008474
2,0.458942,1.160926,0.629522,1.216513,0.177124,1.174732,0.639263,1.172340,0.175933,1.181218,0.425328,1.126071,-0.032338,0.596037,-0.255642,1.149423,-0.710113,1.540576,-0.278332,1.186907,-0.733949,1.590656
3,0.137552,1.495907,0.056955,1.444457,-0.140726,1.647295,0.061908,1.464846,-0.130266,1.719979,0.051500,1.506637,-0.034522,0.754820,0.365111,1.370206,0.281907,1.907182,0.359803,1.363749,0.274632,1.941418
4,-0.568616,2.624034,-0.972807,2.530845,-0.466770,2.420484,-0.846315,2.465995,-0.340050,2.454378,-0.540339,2.551635,0.083748,0.888788,0.319303,2.037633,0.948431,3.044926,0.494943,1.991292,1.123816,3.044075
5,-0.468583,1.310148,-0.238469,1.186665,0.354653,1.495611,-0.289011,1.244107,0.298115,1.595704,-0.365185,1.241740,-0.009733,0.638564,-0.016655,1.360313,0.339123,1.784495,-0.068980,1.314299,0.286870,1.776117
6,0.228579,1.489425,0.371943,1.511977,0.074862,1.546685,0.396035,1.526117,0.099241,1.644146,0.185757,1.475863,0.021205,0.648023,-0.020711,1.314468,-0.184313,1.892754,-0.014941,1.275277,-0.178813,1.876342
7,-0.687199,1.139957,-0.661494,1.062889,0.072872,1.149845,-0.677829,1.111203,0.065723,1.253306,-0.636513,1.145356,-0.000590,0.642885,-0.545529,1.304404,0.087143,1.649862,-0.447477,1.259152,0.187347,1.638692
8,0.240539,1.377661,0.214976,1.076436,-0.038009,1.296979,0.151196,1.111127,-0.095762,1.477408,0.209171,1.313894,-0.025317,0.608323,-0.326576,1.347010,-0.560962,1.785809,-0.340942,1.312717,-0.574336,1.779402
9,-0.006850,1.677609,-0.118509,1.563409,-0.004453,1.298580,-0.169808,1.499021,-0.056168,1.379568,0.015525,1.539835,-0.076914,0.573744,-0.820261,1.207692,-0.915331,1.912156,-0.835962,1.180166,-0.930793,1.902342
10,0.746731,1.306111,0.504756,1.364594,-0.221042,1.376049,0.587925,1.389549,-0.130071,1.423365,0.773133,1.310097,0.003465,0.592905,-0.149260,1.173541,-0.924267,1.652908,-0.239819,1.253454,-1.013990,1.739061
11,-0.006622,1.214340,0.062151,1.199351,0.106452,1.374842,0.114346,1.172664,0.159870,1.385656,0.070198,1.207113,0.036771,0.622562,-0.104484,1.320503,-0.131916,1.655858,-0.165126,1.270154,-0.194070,1.659243
12,-0.189856,1.441118,-0.266016,1.458202,-0.083310,1.497075,-0.180245,1.427549,0.006236,1.439611,-0.108902,1.399891,0.086610,0.619178,0.374928,1.285934,0.563519,1.852920,0.437450,1.264705,0.630675,1.839100
13,0.148861,1.259171,0.242358,1.449534,0.045008,1.553398,0.151411,1.345691,-0.046190,1.452715,0.069086,1.224713,-0.034088,0.664565,-0.006533,1.250180,-0.105570,1.681085,-0.003916,1.226194,-0.106983,1.720043
14,-0.291076,1.361803,-0.267882,1.424573,0.082652,1.334386,-0.344271,1.344869,0.011774,1.361435,-0.255017,1.385360,-0.023165,0.631435,-0.819667,1.395422,-0.591123,1.878490,-0.817772,1.380789,-0.587955,1.887020
15,-0.668759,1.326291,-0.653159,1.469718,0.029218,1.392711,-0.625615,1.331894,0.056102,1.301322,-0.591381,1.262766,0.065489,0.633453,-0.235971,1.348782,0.420142,1.760245,-0.363071,1.354193,0.293213,1.795992
16,0.408651,1.313972,0.473336,1.235672,0.072427,1.363213,0.378653,1.253875,-0.030568,1.400141,0.358573,1.318365,-0.050355,0.612683,-0.140633,1.406605,-0.551139,1.810524,-0.209082,1.418166,-0.618027,1.828966
17,-0.227446,1.113573,-0.005267,1.115385,0.304889,1.174875,0.021445,1.160251,0.334794,1.220777,-0.092435,1.148599,0.053080,0.579222,0.012352,1.285538,0.157657,1.651607,0.003936,1.227443,0.151096,1.612564
18,-0.343559,1.184129,-0.551624,1.177577,-0.183787,1.196512,-0.461839,1.192709,-0.084604,1.259213,-0.288745,1.201339,0.024082,0.591994,0.165993,1.216700,0.479231,1.644567,0.189713,1.227336,0.502428,1.673028
19,0.408148,1.248878,0.500884,1.274971,0.231424,1.418261,0.431139,1.277585,0.167249,1.415178,0.497945,1.278356,-0.044932,0.598218,0.229579,1.231412,-0.317073,1.637038,0.164568,1.213948,-0.379495,1.651907
20,0.153414,1.347177,0.212023,1.257912,0.004216,1.445715,0.222364,1.186297,0.016794,1.449432,0.123423,1.256143,0.018432,0.576352,0.152603,1.244201,0.049779,1.694614,0.170611,1.250566,0.067137,1.725503
21,0.300886,1.343852,0.151397,1.324003,-0.194102,1.193247,0.214657,1.366626,-0.129302,1.277154,0.304953,1.380417,0.045726,0.550590,0.092742,1.201079,-0.164764,1.651340,0.139788,1.173526,-0.120741,1.670009
22,-0.291382,1.219021,-0.033978,1.226186,0.354687,1.207034,-0.105625,1.224200,0.277225,1.346040,-0.241571,1.175680,-0.037708,0.652303,-0.242064,1.140076,-0.036525,1.587436,-0.191355,1.176085,0.012828,1.648993
23,-0.378769,1.188999,-0.595389,1.312492,-0.270779,1.440188,-0.603441,1.258418,-0.276209,1.394747,-0.482826,1.223658,-0.054054,0.613250,-0.120861,1.257539,0.303824,1.659838,-0.133975,1.270135,0.293808,1.698921
24,-0.026795,1.456597,0.029759,1.419011,0.146120,1.403746,0.095520,1.355732,0.225434,1.432156,0.134622,1.367933,0.064625,0.713462,0.270842,1.218439,0.200517,1.859211,0.289378,1.258191,0.220703,1.907110
25,0.317569,1.327698,0.250592,1.262034,-0.040357,1.290716,0.309193,1.318266,0.018972,1.382579,0.364411,1.312572,0.019573,0.635508,-0.033866,1.427756,-0.375232,1.847087,-0.033003,1.354130,-0.375995,1.808969
26,-0.150708,1.421193,-0.213744,1.502596,-0.068158,1.405488,-0.242060,1.509356,-0.093271,1.411095,-0.199815,1.445052,-0.044499,0.602611,-0.246546,1.248224,-0.093337,1.826984,-0.322788,1.236377,-0.170942,1.834219
27,0.006012,1.219883,0.243666,1.208091,0.338341,1.218382,0.225855,1.203581,0.321500,1.237071,0.131259,1.231614,0.029502,0.622170,0.205225,1.306768,0.102764,1.736187,0.304910,1.264273,0.202786,1.727733
28,1.090460,1.422260,1.013258,1.512639,-0.055095,1.371026,0.994458,1.507373,-0.072110,1.354728,1.052754,1.481521,-0.060048,0.612141,0.440964,1.232772,-0.673307,1.813872,0.514294,1.245895,-0.598410,1.836638
29,0.741584,1.307238,0.700306,1.367545,-0.134074,1.586613,0.814446,1.394782,-0.011284,1.623173,0.706166,1.312539,0.044219,0.619818,0.676848,1.320422,0.018915,1.759791,0.780602,1.281874,0.119700,1.761233
30,0.418596,1.562641,0.574477,1.591675,0.217128,1.373773,0.557747,1.512953,0.204012,1.371886,0.477479,1.516234,-0.000450,0.568276,-0.256997,1.369358,-0.738944,1.897603,-0.312324,1.333865,-0.792209,1.923729
31,-0.032276,1.144092,0.028417,1.010783,0.078349,1.383820,0.165746,1.131411,0.219228,1.436797,0.120101,1.189612,0.131856,0.624762,0.039639,1.191007,0.053452,1.553971,0.244705,1.218011,0.257562,1.582665
32,0.591230,1.760233,0.494138,1.663557,-0.073199,1.814579,0.369525,1.651733,-0.191579,1.882804,0.506554,1.763255,-0.108889,0.732546,0.316818,1.687349,-0.304643,2.278723,0.071924,1.644550,-0.548230,2.300028
33,-0.282067,1.145630,-0.352044,1.049465,-0.085869,1.086322,-0.394084,1.108130,-0.133282,1.171483,-0.304538,1.205155,-0.002161,0.592598,-0.306397,1.150515,-0.004648,1.593466,-0.289231,1.138474,0.011951,1.584824
34,-0.499621,1.367379,-0.676182,1.473418,-0.257192,1.367393,-0.779721,1.373434,-0.366220,1.312237,-0.659796,1.368161,-0.077919,0.651926,-0.596407,1.458979,-0.013719,1.902782,-0.704260,1.390509,-0.124655,1.898806
35,-0.146066,1.389869,0.031647,1.463486,0.122912,1.492702,0.003374,1.447775,0.091683,1.521190,-0.198041,1.423208,0.002512,0.613941,0.196519,1.272851,0.396968,1.824489,0.248467,1.262739,0.448729,1.842126
36,-0.031205,1.159873,-0.067474,0.986858,-0.067156,1.232945,-0.093379,1.069582,-0.089308,1.285172,-0.067550,1.130961,-0.008375,0.600477,-0.247296,1.166376,-0.191231,1.538170,-0.209782,1.168279,-0.153087,1.544294
37,-0.088524,1.039289,0.187790,1.080080,0.287056,1.087129,0.148177,1.130274,0.247585,1.186843,-0.048643,1.111199,0.027315,0.524293,0.021802,1.199515,0.102816,1.561930,-0.038704,1.163628,0.040156,1.545445
38,0.276007,1.408408,0.140296,1.504106,-0.128026,1.409217,0.112135,1.522563,-0.146672,1.453300,0.265505,1.475823,-0.024301,0.658185,0.029701,1.572042,-0.263259,2.076314,-0.081668,1.516494,-0.373200,2.053093
39,0.217034,1.265372,0.054529,1.302567,-0.241830,1.465373,0.077182,1.263660,-0.216404,1.449468,0.167835,1.235592,0.024596,0.598751,0.327043,1.213856,0.182102,1.604241,0.345622,1.186002,0.200974,1.621336
40,-0.486455,1.306450,-0.435589,1.208747,0.078742,1.264704,-0.452453,1.227628,0.054028,1.303195,-0.518882,1.242991,-0.054463,0.609715,-0.652263,1.235779,-0.182729,1.624112,-0.702801,1.244378,-0.235646,1.678505
41,-0.074810,1.431542,-0.005015,1.309135,0.197646,1.385029,-0.152454,1.331252,0.062137,1.411586,-0.019532,1.444122,-0.074033,0.652448,-0.649125,1.262909,-0.706758,1.778534,-0.653126,1.252881,-0.709567,1.802434
42,0.348660,1.275457,0.433640,1.382630,0.025502,1.324132,0.279642,1.327293,-0.122861,1.334903,0.209410,1.268875,-0.087110,0.627083,0.177785,1.407879,-0.122037,1.869856,-0.084438,1.393189,-0.381416,1.873829
43,0.026576,1.335698,0.020445,1.353572,-0.038298,1.252213,0.102510,1.355676,0.044865,1.291176,0.029751,1.373375,0.032424,0.644486,-0.033193,1.200483,-0.029366,1.700339,-0.062220,1.210147,-0.059276,1.742008
44,0.147329,1.236623,0.316507,1.166345,0.209243,1.150501,0.334650,1.205545,0.228671,1.199042,0.220486,1.264871,0.034597,0.563807,-0.001650,1.165554,-0.190814,1.601818,0.097535,1.170189,-0.088588,1.623491
