dimension,global_mean_delta,global_std_delta,global_median_delta,global_max_delta,cross_category_std,cross_category_mean,mean_delta_Human Plagiarism (Base),mean_delta_Human Plagiarism + DSP,mean_delta_Original + DSP,mean_delta_AI Generation (Base),mean_delta_AI + DSP,stability_rank
1023,0.872515,0.755288,0.662474,6.554445,0.286077,0.853560,0.782314,0.791103,0.385458,1.151441,1.157485,1
767,0.879488,0.758767,0.680019,5.775313,0.269902,0.855534,0.810077,0.825481,0.391282,1.119743,1.131086,2
456,0.899498,0.785737,0.679240,5.998792,0.286016,0.874758,0.807815,0.853290,0.387053,1.174533,1.151098,3
660,0.905488,0.796066,0.685288,6.481767,0.293112,0.878468,0.859771,0.869686,0.352903,1.154917,1.155061,4
884,0.905636,0.787837,0.685720,5.734037,0.284638,0.877973,0.829826,0.850314,0.386926,1.150913,1.171888,5
155,0.909993,0.793436,0.687878,6.669345,0.282803,0.878430,0.853142,0.863867,0.376860,1.127976,1.170303,6
715,0.912420,0.796392,0.691440,5.672719,0.299669,0.905160,0.862144,0.837103,0.402363,1.237616,1.186573,7
373,0.913715,0.802809,0.696697,6.558292,0.302918,0.882877,0.791231,0.846087,0.381989,1.189461,1.205617,8
213,0.917717,0.806643,0.686650,6.415720,0.296183,0.884427,0.811426,0.859849,0.382099,1.170039,1.198722,9
588,0.919057,0.818819,0.678525,6.767452,0.286813,0.885512,0.822548,0.869484,0.392482,1.157269,1.185774,10
274,0.919701,0.793736,0.692306,5.089061,0.267871,0.893460,0.904368,0.911098,0.395412,1.134398,1.122025,11
434,0.925474,0.798472,0.707300,10.741641,0.292860,0.906913,0.862516,0.850061,0.411399,1.201181,1.209407,12
788,0.931919,0.800526,0.717774,5.955767,0.315715,0.902128,0.824061,0.863388,0.371771,1.218775,1.232645,13
857,0.933093,0.811457,0.703961,5.608389,0.307444,0.907409,0.810836,0.858947,0.405655,1.232953,1.228656,14
315,0.933303,0.797390,0.729424,5.625836,0.277874,0.896676,0.879653,0.898195,0.395873,1.125800,1.183862,15
1008,0.935258,0.812070,0.719252,6.381555,0.315600,0.898286,0.781354,0.870036,0.383135,1.219915,1.236989,16
122,0.937016,0.822073,0.708238,6.384818,0.306046,0.909334,0.846265,0.883091,0.384741,1.218965,1.213611,17
764,0.937607,0.824764,0.709500,6.946592,0.287688,0.900837,0.835132,0.890856,0.405297,1.167796,1.205103,18
182,0.941805,0.809376,0.719385,5.662430,0.264798,0.901352,0.928148,0.962612,0.393632,1.099332,1.123037,19
964,0.942114,0.850578,0.697926,6.291585,0.281328,0.907906,0.915188,0.933995,0.383947,1.145404,1.160996,20
987,0.942873,0.827280,0.707149,5.680361,0.290826,0.913130,0.877022,0.890662,0.403838,1.181670,1.212458,21
805,0.942909,0.794500,0.735891,6.141509,0.295981,0.910504,0.869749,0.904525,0.387252,1.188661,1.202334,22
577,0.943002,0.844256,0.700476,6.417782,0.285537,0.904948,0.863993,0.901057,0.401052,1.152006,1.206634,23
164,0.943956,0.842036,0.701229,7.821932,0.323327,0.918245,0.866865,0.857365,0.371779,1.227996,1.267219,24
386,0.944100,0.825714,0.723567,7.768871,0.306266,0.914924,0.848301,0.898594,0.387669,1.227580,1.212476,25
895,0.944820,0.847249,0.712427,7.619720,0.316530,0.916985,0.797676,0.860763,0.413780,1.255130,1.257576,26
285,0.946909,0.817533,0.727972,6.352065,0.273958,0.915202,0.889414,0.930823,0.419047,1.170058,1.166667,27
462,0.947499,0.827837,0.721702,10.192830,0.305807,0.922592,0.849778,0.880780,0.409347,1.238357,1.234699,28
292,0.949892,0.811406,0.732103,5.659143,0.287345,0.916873,0.834694,0.887436,0.437377,1.195207,1.229648,29
110,0.952759,0.826630,0.724246,6.645943,0.311139,0.923034,0.848113,0.878469,0.402347,1.228773,1.257470,30
526,0.954198,0.818627,0.736970,7.827284,0.318202,0.917288,0.808838,0.892249,0.391511,1.239289,1.254552,31
768,0.954719,0.816044,0.736416,5.616250,0.288090,0.915856,0.897068,0.942386,0.388141,1.164591,1.187095,32
541,0.955091,0.829653,0.726507,6.789148,0.279480,0.922102,0.935060,0.950213,0.399177,1.158310,1.167750,33
96,0.955253,0.826339,0.726720,6.082783,0.291057,0.924320,0.890539,0.911693,0.409834,1.193114,1.216423,34
71,0.955535,0.829659,0.729113,6.571307,0.319736,0.923773,0.814982,0.902836,0.393784,1.267407,1.239859,35
900,0.956144,0.852103,0.711529,7.607591,0.308038,0.929887,0.931425,0.904959,0.376003,1.204289,1.232757,36
98,0.958649,0.825212,0.732956,7.497655,0.306694,0.929691,0.933465,0.930191,0.368343,1.205494,1.210961,37
247,0.959594,0.830321,0.728721,6.341112,0.314585,0.919923,0.838023,0.913096,0.380772,1.222368,1.245355,38
147,0.961193,0.843943,0.730362,6.547037,0.302981,0.937584,0.862286,0.886188,0.434950,1.250038,1.254455,39
381,0.961639,0.862798,0.709290,6.489767,0.290099,0.919253,0.901243,0.967133,0.381515,1.168525,1.177850,40
312,0.962114,0.817482,0.746842,5.837337,0.310741,0.929930,0.911483,0.931284,0.368566,1.215850,1.222466,41
209,0.962802,0.822858,0.741442,6.671980,0.279758,0.930432,0.956767,0.953828,0.404618,1.156823,1.180126,42
500,0.962844,0.857130,0.719296,7.447185,0.339955,0.941796,0.870404,0.875555,0.375564,1.297436,1.290023,43
62,0.963555,0.835289,0.733059,6.846186,0.300791,0.926886,0.884701,0.934754,0.390580,1.204973,1.219422,44
37,0.963631,0.844698,0.723074,5.610425,0.318727,0.929295,0.844953,0.922229,0.383660,1.256172,1.239460,45
579,0.964555,0.824816,0.748052,6.628652,0.321793,0.936304,0.859787,0.883161,0.400367,1.256150,1.282057,46
