dimension,dsp_type,r2_linear
0,tempo,0.014492
1,tempo,0.025142
2,tempo,0.028861
3,tempo,0.006718
4,tempo,0.016099
5,tempo,0.005364
6,tempo,0.010431
7,tempo,0.014498
8,tempo,0.018119
9,tempo,0.020199
10,tempo,0.037297
11,tempo,0.012217
12,tempo,0.015709
13,tempo,0.012202
14,tempo,0.027521
15,tempo,0.021203
16,tempo,0.026767
17,tempo,0.014650
18,tempo,0.024905
19,tempo,0.011116
20,tempo,0.013059
21,tempo,0.016123
22,tempo,0.008387
23,tempo,0.009345
24,tempo,0.010464
25,tempo,0.013972
26,tempo,0.017525
27,tempo,0.017081
28,tempo,0.024116
29,tempo,0.009729
30,tempo,0.026098
31,tempo,0.006581
32,tempo,0.017032
33,tempo,0.014589
34,tempo,0.020333
35,tempo,0.008579
36,tempo,0.007970
37,tempo,0.013834
38,tempo,0.018068
39,tempo,0.009642
40,tempo,0.016628
41,tempo,0.014483
42,tempo,0.025178
43,tempo,0.019370
44,tempo,0.016125
45,tempo,0.003254
46,tempo,0.020847
47,tempo,0.013879
48,tempo,0.017272
49,tempo,0.011934
50,tempo,0.016685
51,tempo,0.013984
52,tempo,0.015755
53,tempo,0.015898
54,tempo,0.012541
55,tempo,0.038443
56,tempo,0.014801
57,tempo,0.013614
58,tempo,0.016765
59,tempo,0.022755
60,tempo,0.018172
61,tempo,0.012550
62,tempo,0.014010
63,tempo,0.024287
64,tempo,0.016962
65,tempo,0.019588
66,tempo,0.015934
67,tempo,0.005449
68,tempo,0.016345
69,tempo,0.020366
70,tempo,0.010500
71,tempo,0.019137
72,tempo,0.023693
73,tempo,0.011654
74,tempo,0.019243
75,tempo,0.012980
76,tempo,0.007281
77,tempo,0.011138
78,tempo,0.016020
79,tempo,0.012953
80,tempo,0.019011
81,tempo,0.015675
82,tempo,0.012523
83,tempo,0.011551
84,tempo,0.007888
85,tempo,0.016197
86,tempo,0.012677
87,tempo,0.003432
88,tempo,0.020752
89,tempo,0.011747
90,tempo,0.013617
91,tempo,0.018848
92,tempo,0.014327
93,tempo,0.009088
94,tempo,0.010524
95,tempo,0.022597
96,tempo,0.014649
97,tempo,0.007060
98,tempo,0.016449
99,tempo,0.010355
100,tempo,0.019831
101,tempo,0.010820
102,tempo,0.011884
103,tempo,0.011695
104,tempo,0.011865
105,tempo,0.012720
106,tempo,0.016822
107,tempo,0.005059
108,tempo,0.011570
109,tempo,0.014031
110,tempo,0.013930
111,tempo,0.024029
112,tempo,0.008795
113,tempo,0.013795
114,tempo,0.012647
115,tempo,0.010407
116,tempo,0.014392
117,tempo,0.009453
118,tempo,0.010807
119,tempo,0.020035
120,tempo,0.014709
121,tempo,0.017210
122,tempo,0.012872
123,tempo,0.015923
124,tempo,0.014426
125,tempo,0.015999
126,tempo,0.008868
127,tempo,0.005594
128,tempo,0.010536
129,tempo,0.020657
130,tempo,0.018144
131,tempo,0.019045
132,tempo,0.021504
133,tempo,0.017923
134,tempo,0.008758
135,tempo,0.016539
136,tempo,0.015327
137,tempo,0.022050
138,tempo,0.009473
139,tempo,0.015464
140,tempo,0.010971
141,tempo,0.010332
142,tempo,0.011196
143,tempo,0.014524
144,tempo,0.016633
145,tempo,0.019460
146,tempo,0.008765
147,tempo,0.023216
148,tempo,0.015589
149,tempo,0.010068
150,tempo,0.007947
151,tempo,0.013805
152,tempo,0.017177
153,tempo,0.011714
154,tempo,0.030420
155,tempo,0.010175
156,tempo,0.025578
157,tempo,0.021332
158,tempo,0.009174
159,tempo,0.015184
160,tempo,0.021474
161,tempo,0.018919
162,tempo,0.009473
163,tempo,0.020252
164,tempo,0.016728
165,tempo,0.017334
166,tempo,0.011271
167,tempo,0.011910
168,tempo,0.022136
169,tempo,0.006113
170,tempo,0.009604
171,tempo,0.029647
172,tempo,0.025919
173,tempo,0.011627
174,tempo,0.029474
175,tempo,0.016921
176,tempo,0.009335
177,tempo,0.014691
178,tempo,0.018090
179,tempo,0.012567
180,tempo,0.016110
181,tempo,0.010525
182,tempo,0.008526
183,tempo,0.010634
184,tempo,0.018741
185,tempo,0.018235
186,tempo,0.006240
187,tempo,0.018415
188,tempo,0.015708
189,tempo,0.025793
190,tempo,0.015782
191,tempo,0.018600
192,tempo,0.009577
193,tempo,0.013862
194,tempo,0.011265
195,tempo,0.006172
196,tempo,0.007760
197,tempo,0.016700
198,tempo,0.020783
199,tempo,0.010309
200,tempo,0.022256
201,tempo,0.020597
202,tempo,0.021316
203,tempo,0.016293
204,tempo,0.015771
205,tempo,0.019707
206,tempo,0.011986
207,tempo,0.015462
208,tempo,0.008795
209,tempo,0.004002
210,tempo,0.018748
211,tempo,0.007943
212,tempo,0.012607
213,tempo,0.012229
214,tempo,0.013040
215,tempo,0.018132
216,tempo,0.011667
217,tempo,0.012257
218,tempo,0.021599
219,tempo,0.019123
220,tempo,0.019645
221,tempo,0.009802
222,tempo,0.013611
223,tempo,0.013690
224,tempo,0.010254
225,tempo,0.008951
226,tempo,0.008350
227,tempo,0.011651
228,tempo,0.014485
229,tempo,0.013103
230,tempo,0.009147
231,tempo,0.010409
232,tempo,0.011658
233,tempo,0.025243
234,tempo,0.014702
235,tempo,0.014337
236,tempo,0.011368
237,tempo,0.014472
238,tempo,0.021415
239,tempo,0.014199
240,tempo,0.022139
241,tempo,0.024344
242,tempo,0.026669
243,tempo,0.014252
244,tempo,0.014608
245,tempo,0.014149
246,tempo,0.014564
247,tempo,0.017259
248,tempo,0.016656
249,tempo,0.017599
250,tempo,0.020100
251,tempo,0.016131
252,tempo,0.016059
253,tempo,0.025031
254,tempo,0.014735
255,tempo,0.011754
256,tempo,0.006821
257,tempo,0.010389
258,tempo,0.014989
259,tempo,0.008779
260,tempo,0.011360
261,tempo,0.010864
262,tempo,0.008775
263,tempo,0.012537
264,tempo,0.029242
265,tempo,0.004407
266,tempo,0.015374
267,tempo,0.017869
268,tempo,0.021254
269,tempo,0.016953
270,tempo,0.019957
271,tempo,0.007981
272,tempo,0.023397
273,tempo,0.029977
274,tempo,0.016957
275,tempo,0.028919
276,tempo,0.007798
277,tempo,0.041873
278,tempo,0.014072
279,tempo,0.018357
280,tempo,0.014245
281,tempo,0.017329
282,tempo,0.007191
283,tempo,0.011427
284,tempo,0.016578
285,tempo,0.012523
286,tempo,0.007296
287,tempo,0.013495
288,tempo,0.015755
289,tempo,0.015921
290,tempo,0.031214
291,tempo,0.005694
292,tempo,0.016515
293,tempo,0.008430
294,tempo,0.019087
295,tempo,0.019271
296,tempo,0.013013
297,tempo,0.014319
298,tempo,0.012502
299,tempo,0.014113
300,tempo,0.019150
301,tempo,0.018915
302,tempo,0.019173
303,tempo,0.006590
304,tempo,0.015606
305,tempo,0.020860
306,tempo,0.013932
307,tempo,0.012734
308,tempo,0.010483
309,tempo,0.015227
310,tempo,0.016224
311,tempo,0.013022
312,tempo,0.019379
313,tempo,0.015484
314,tempo,0.012423
315,tempo,0.011988
316,tempo,0.009569
317,tempo,0.003852
318,tempo,0.013765
319,tempo,0.027652
320,tempo,0.013704
321,tempo,0.012962
322,tempo,0.050184
323,tempo,0.027293
324,tempo,0.011689
325,tempo,0.025518
326,tempo,0.010867
327,tempo,0.013248
328,tempo,0.009361
329,tempo,0.027694
330,tempo,0.028412
331,tempo,0.003006
332,tempo,0.004041
333,tempo,0.025994
334,tempo,0.014725
335,tempo,0.031226
336,tempo,0.018694
337,tempo,0.017014
338,tempo,0.009265
339,tempo,0.014725
340,tempo,0.005477
341,tempo,0.008047
342,tempo,0.016439
343,tempo,0.026351
344,tempo,0.010040
345,tempo,0.016229
346,tempo,0.012463
347,tempo,0.010520
348,tempo,0.018040
349,tempo,0.010623
