pair_id,time,final_mod_type,clean_mod_type,broad_category,filename_ori,filename_mod,delta_mean,delta_std,delta_median,delta_max,delta_l2,delta_p90,delta_p95,active_dims_q75_global,stable_core_mean_delta,volatile_shell_mean_delta,stable_to_volatile_ratio
1,73,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_73s.wav,pair_1_comp_86s.wav,1.356576,1.034909,1.124378,6.311725,54.600445,2.813824,3.258336,470,1.098369,1.871265,0.586966
1,73,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_73s.wav,pair_1_comp_101s.wav,1.491704,1.156255,1.271589,7.081038,60.395329,3.037669,3.596666,518,1.250556,2.092314,0.597690
1,73,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_73s.wav,pair_1_comp_204s.wav,1.370165,1.045052,1.147264,6.444131,55.143028,2.870636,3.327818,477,1.093940,1.801446,0.607257
1,73,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_73s.wav,pair_1_comp_219s.wav,1.418517,1.107816,1.200517,7.116621,57.595074,2.909745,3.513241,499,1.195005,2.028785,0.589025
1,81,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_81s.wav,pair_1_comp_86s.wav,1.436200,1.079264,1.219833,6.216704,57.488625,2.927336,3.615383,503,1.062734,1.642732,0.646931
1,81,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_81s.wav,pair_1_comp_101s.wav,1.468736,1.094544,1.252465,5.916117,58.615150,3.018301,3.646425,514,1.096059,1.785217,0.613964
1,81,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_81s.wav,pair_1_comp_204s.wav,1.465967,1.107441,1.257993,6.333640,58.791973,2.989029,3.660065,516,1.098030,1.620064,0.677769
1,81,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_81s.wav,pair_1_comp_219s.wav,1.394424,1.054247,1.167604,6.054603,55.939217,2.919374,3.366453,483,1.051649,1.734765,0.606220
1,145,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_145s.wav,pair_1_comp_86s.wav,1.343759,1.029373,1.093118,6.256010,54.167000,2.760645,3.337392,459,1.040031,1.895049,0.548815
1,145,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_145s.wav,pair_1_comp_101s.wav,1.473370,1.151416,1.255223,7.002042,59.837238,3.016891,3.667749,514,1.204277,2.086845,0.577080
1,145,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_145s.wav,pair_1_comp_204s.wav,1.362939,1.032654,1.126078,6.122781,54.718857,2.774057,3.296776,475,1.040504,1.819689,0.571804
1,145,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_145s.wav,pair_1_comp_219s.wav,1.406570,1.100174,1.202794,6.974307,57.143284,2.824083,3.460229,497,1.147007,2.036121,0.563329
1,153,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_153s.wav,pair_1_comp_86s.wav,1.422215,1.080556,1.199247,6.185477,57.156494,2.925548,3.610852,498,1.021620,1.697839,0.601718
1,153,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_153s.wav,pair_1_comp_101s.wav,1.438564,1.092043,1.233090,5.696453,57.795448,3.100349,3.667594,505,1.028713,1.809899,0.568381
1,153,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_153s.wav,pair_1_comp_204s.wav,1.447626,1.108129,1.225236,6.302413,58.338108,3.016377,3.696088,500,1.042983,1.666241,0.625950
1,153,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_1_ori_153s.wav,pair_1_comp_219s.wav,1.360660,1.045705,1.156126,5.816957,54.914223,2.863961,3.377016,481,0.970736,1.772258,0.547740
3,3,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_3s.wav,pair_3_comp_176s.wav,1.284748,0.966974,1.051909,5.526617,51.455536,2.595335,3.127040,443,0.950553,1.485343,0.639956
3,3,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_3s.wav,pair_3_comp_179s.wav,1.327579,0.983079,1.116812,5.374909,52.862144,2.744449,3.249919,463,0.999205,1.637064,0.610364
3,3,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_3s.wav,pair_3_comp_183s.wav,1.335179,0.986487,1.157504,5.674003,53.122501,2.708080,3.135096,475,1.024312,1.598268,0.640889
3,3,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_3s.wav,pair_3_comp_188s.wav,1.343003,1.015499,1.106121,5.958465,53.878853,2.786990,3.345582,466,1.039619,1.591594,0.653193
3,3,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_3s.wav,pair_3_comp_234s.wav,1.368030,0.999018,1.177291,6.120754,54.207130,2.815949,3.330627,490,1.188775,1.767467,0.672587
3,3,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_3s.wav,pair_3_comp_238s.wav,1.350633,0.982249,1.164991,6.337226,53.441177,2.714735,3.202291,479,1.174734,1.741900,0.674398
