dimension,smp_mean_delta,ai_base_mean_delta,difference,cohens_d
689,1.012779,2.023781,1.011002,0.832725
1010,0.979211,1.783524,0.804313,0.748612
55,0.870835,1.623757,0.752923,0.710728
277,0.867646,1.553834,0.686188,0.708294
985,0.967405,1.717503,0.750098,0.705588
618,0.962279,1.665068,0.702789,0.683942
967,1.052988,1.809678,0.756690,0.663682
156,0.841797,1.449353,0.607557,0.653408
9,0.987139,1.686510,0.699371,0.643586
322,1.002945,1.723553,0.720608,0.643016
290,1.419563,2.358623,0.939061,0.642577
86,0.962771,1.594153,0.631382,0.628098
981,0.985008,1.651445,0.666437,0.627352
914,0.886295,1.460902,0.574607,0.624834
650,0.826798,1.367939,0.541141,0.623813
790,0.993876,1.634469,0.640593,0.620996
693,0.842860,1.408806,0.565946,0.620278
420,0.950201,1.591616,0.641415,0.619900
319,0.984639,1.650564,0.665925,0.616793
770,1.017723,1.688015,0.670292,0.615001
375,1.165332,1.925952,0.760620,0.612211
710,1.153341,1.895477,0.742136,0.610721
907,0.914311,1.473703,0.559392,0.609078
418,0.912986,1.487602,0.574616,0.608333
509,0.961822,1.580960,0.619138,0.602419
853,1.151945,1.863864,0.711919,0.601030
662,0.913512,1.511936,0.598424,0.599033
717,1.002344,1.649395,0.647051,0.598929
295,0.816280,1.345702,0.529423,0.598517
684,0.887641,1.434930,0.547289,0.597893
721,0.804636,1.327747,0.523110,0.593786
659,0.939279,1.518310,0.579031,0.592269
752,0.999420,1.618715,0.619295,0.590234
123,0.811893,1.323491,0.511598,0.589375
960,0.939778,1.516076,0.576298,0.587158
330,0.887469,1.438655,0.551186,0.587154
865,1.064627,1.686557,0.621929,0.586851
88,0.939794,1.510524,0.570730,0.586027
488,0.954114,1.564283,0.610169,0.585652
524,0.860393,1.384867,0.524474,0.582910
455,0.949358,1.539748,0.590391,0.582232
642,1.106091,1.772626,0.666536,0.581577
983,0.914780,1.492918,0.578138,0.581260
608,0.878614,1.416202,0.537587,0.578805
200,0.920417,1.452787,0.532370,0.575011
551,1.519535,2.386078,0.866543,0.572177
148,0.979076,1.570610,0.591533,0.569691
543,0.940572,1.505624,0.565053,0.569371
154,0.993936,1.562385,0.568449,0.569275
742,0.961765,1.532505,0.570740,0.567447
343,0.922982,1.471256,0.548273,0.565761
210,1.170317,1.834610,0.664293,0.565748
711,0.907552,1.430157,0.522606,0.565459
1011,0.973102,1.538569,0.565467,0.564641
739,1.167489,1.842926,0.675437,0.564586
53,0.859423,1.352010,0.492587,0.563853
163,0.874544,1.389456,0.514912,0.563845
90,0.971781,1.521940,0.550159,0.562448
713,1.201650,1.901791,0.700141,0.561477
69,0.843234,1.337335,0.494101,0.559597
249,0.962012,1.504166,0.542153,0.558828
680,1.039458,1.626648,0.587190,0.556425
905,0.972135,1.523358,0.551223,0.556159
578,0.837218,1.322013,0.484794,0.555533
516,1.058634,1.661929,0.603295,0.554739
72,0.920178,1.427893,0.507715,0.553989
238,1.333959,2.107164,0.773205,0.553972
359,0.962215,1.498774,0.536559,0.553857
623,0.960805,1.513833,0.553029,0.551790
71,0.814982,1.267407,0.452425,0.547981
932,0.993616,1.540059,0.546443,0.547908
859,1.196556,1.861896,0.665340,0.547830
529,0.877908,1.352690,0.474781,0.547786
279,0.912926,1.418900,0.505974,0.545979
851,1.117059,1.731140,0.614081,0.545910
1008,0.781354,1.219915,0.438561,0.543990
997,1.038999,1.649760,0.610761,0.543973
470,1.329735,2.070189,0.740454,0.543646
490,0.938863,1.425445,0.486583,0.542667
1018,0.844454,1.301125,0.456671,0.540794
432,0.981898,1.556313,0.574415,0.539107
410,0.982193,1.513209,0.531016,0.538529
617,0.932689,1.447342,0.514653,0.537358
656,0.981165,1.518828,0.537663,0.537261
758,1.060393,1.637499,0.577106,0.537072
563,1.227717,1.919988,0.692271,0.536396
895,0.797676,1.255130,0.457455,0.534049
25,0.983998,1.512433,0.528435,0.533203
388,0.883987,1.350765,0.466779,0.532081
526,0.808838,1.239289,0.430451,0.531982
161,1.087266,1.645865,0.558598,0.531422
129,0.999881,1.510838,0.510957,0.531238
631,1.269882,1.939125,0.669243,0.530573
687,1.085718,1.668674,0.582956,0.530489
402,1.186772,1.811566,0.624794,0.530335
482,0.897113,1.388528,0.491415,0.529913
266,1.023752,1.551275,0.527523,0.528311
799,1.100864,1.679836,0.578973,0.527668
486,0.997177,1.528253,0.531076,0.527493
333,1.018546,1.582413,0.563867,0.525854
38,1.096133,1.670627,0.574494,0.525517
791,1.003172,1.530199,0.527027,0.524894
690,1.006660,1.516521,0.509861,0.524189
582,1.107447,1.665864,0.558417,0.523152
1005,1.032949,1.575016,0.542067,0.520019
437,1.003141,1.521428,0.518288,0.519807
850,1.091603,1.665886,0.574283,0.519635
460,0.867237,1.339615,0.472378,0.517597
264,1.006139,1.518134,0.511995,0.516583
930,1.070560,1.615774,0.545213,0.516522
426,0.897727,1.342832,0.445105,0.516486
223,1.118472,1.673946,0.555473,0.516345
961,0.945006,1.436827,0.491821,0.515826
652,1.271986,1.910177,0.638191,0.515777
467,0.970613,1.444623,0.474010,0.515368
564,0.929902,1.399246,0.469344,0.514183
329,1.037158,1.590049,0.552891,0.513597
42,1.000381,1.510348,0.509967,0.512106
866,0.962163,1.464354,0.502191,0.511630
809,0.916365,1.400933,0.484568,0.510386
975,1.228297,1.843909,0.615612,0.509861
857,0.810836,1.232953,0.422118,0.509614
58,0.906690,1.384298,0.477608,0.509238
691,1.219190,1.843294,0.624104,0.507904
938,1.136572,1.701679,0.565106,0.506885
839,0.966034,1.488180,0.522146,0.506831
14,1.040239,1.564003,0.523764,0.506653
1016,1.204626,1.821062,0.616436,0.504201
751,0.932385,1.412716,0.480331,0.504017
992,0.926508,1.403650,0.477142,0.503808
299,0.984588,1.491962,0.507375,0.503786
461,0.916422,1.346577,0.430155,0.503451
820,0.956419,1.424961,0.468542,0.503329
171,1.288016,1.926703,0.638687,0.503281
48,1.052443,1.577177,0.524734,0.503054
936,0.969126,1.443928,0.474802,0.502906
1007,0.923320,1.392888,0.469568,0.502835
493,0.991175,1.463525,0.472350,0.502765
716,1.218159,1.832843,0.614684,0.501022
643,0.996547,1.491491,0.494944,0.500635
808,0.972639,1.477556,0.504917,0.500618
2,0.902757,1.355500,0.452743,0.500481
627,1.002978,1.496730,0.493753,0.500421
67,1.214891,1.796206,0.581314,0.499888
301,0.911776,1.365177,0.453400,0.499833
830,0.838063,1.272698,0.434634,0.499656
552,1.135022,1.706821,0.571799,0.499417
810,1.082429,1.642705,0.560276,0.499403
