dimension,smp_mean_delta,smp_std_delta,ai_base_mean_delta,ai_base_std_delta,difference_ai_minus_smp,abs_difference,cohens_d,discrimination_rank
689,1.012779,0.859357,2.023781,1.486448,1.011002,1.011002,0.832725,1
290,1.419563,1.172795,2.358623,1.701741,0.939061,0.939061,0.642577,2
551,1.519535,1.286038,2.386078,1.712697,0.866543,0.866543,0.572177,3
400,1.650638,1.421180,2.498181,1.940705,0.847543,0.847543,0.498292,4
1010,0.979211,0.853011,1.783524,1.257405,0.804313,0.804313,0.748612,5
238,1.333959,1.123092,2.107164,1.623236,0.773205,0.773205,0.553972,6
375,1.165332,0.971696,1.925952,1.463898,0.760620,0.760620,0.612211,7
967,1.052988,0.950864,1.809678,1.302187,0.756690,0.756690,0.663682,8
55,0.870835,0.738517,1.623757,1.303503,0.752923,0.752923,0.710728,9
985,0.967405,0.789283,1.717503,1.279577,0.750098,0.750098,0.705588,10
834,1.690794,1.476156,2.436129,1.813406,0.745335,0.745335,0.450789,11
710,1.153341,0.949602,1.895477,1.432336,0.742136,0.742136,0.610721,12
470,1.329735,1.116351,2.070189,1.569688,0.740454,0.740454,0.543646,13
322,1.002945,0.840629,1.723553,1.343556,0.720608,0.720608,0.643016,14
853,1.151945,0.973430,1.863864,1.363270,0.711919,0.711919,0.601030,15
618,0.962279,0.774357,1.665068,1.229682,0.702789,0.702789,0.683942,16
713,1.201650,1.019745,1.901791,1.438734,0.700141,0.700141,0.561477,17
9,0.987139,0.843733,1.686510,1.284469,0.699371,0.699371,0.643586,18
563,1.227717,1.118154,1.919988,1.442570,0.692271,0.692271,0.536396,19
4,1.859599,1.618181,2.547747,1.918352,0.688148,0.688148,0.387771,20
277,0.867646,0.741295,1.553834,1.152210,0.686188,0.686188,0.708294,21
739,1.167489,0.938392,1.842926,1.407792,0.675437,0.675437,0.564586,22
770,1.017723,0.864055,1.688015,1.276397,0.670292,0.670292,0.615001,23
631,1.269882,1.078734,1.939125,1.420696,0.669243,0.669243,0.530573,24
355,1.545368,1.245925,2.213987,1.652058,0.668620,0.668620,0.456972,25
642,1.106091,0.928170,1.772626,1.328729,0.666536,0.666536,0.581577,26
981,0.985008,0.837863,1.651445,1.246978,0.666437,0.666437,0.627352,27
319,0.984639,0.861269,1.650564,1.260768,0.665925,0.665925,0.616793,28
859,1.196556,0.955944,1.861896,1.426952,0.665340,0.665340,0.547830,29
210,1.170317,0.954956,1.834610,1.358484,0.664293,0.664293,0.565748,30
994,1.476918,1.312621,2.124692,1.596732,0.647774,0.647774,0.443196,31
717,1.002344,0.854178,1.649395,1.266756,0.647051,0.647051,0.598929,32
420,0.950201,0.763477,1.591616,1.248335,0.641415,0.641415,0.619900,33
963,1.859268,1.478727,2.500460,1.929948,0.641192,0.641192,0.372958,34
790,0.993876,0.817148,1.634469,1.208509,0.640593,0.640593,0.620996,35
171,1.288016,1.076959,1.926703,1.435657,0.638687,0.638687,0.503281,36
652,1.271986,1.047193,1.910177,1.401927,0.638191,0.638191,0.515777,37
57,1.275210,1.076896,1.911535,1.449012,0.636325,0.636325,0.498458,38
86,0.962771,0.778584,1.594153,1.189442,0.631382,0.631382,0.628098,39
562,1.355496,1.082505,1.983636,1.494381,0.628140,0.628140,0.481408,40
402,1.186772,0.998160,1.811566,1.334008,0.624794,0.624794,0.530335,41
691,1.219190,1.004683,1.843294,1.417895,0.624104,0.624104,0.507904,42
865,1.064627,0.876458,1.686557,1.215755,0.621929,0.621929,0.586851,43
752,0.999420,0.887837,1.618715,1.188922,0.619295,0.619295,0.590234,44
509,0.961822,0.833847,1.580960,1.190485,0.619138,0.619138,0.602419,45
1016,1.204626,1.030688,1.821062,1.388231,0.616436,0.616436,0.504201,46
975,1.228297,0.965371,1.843909,1.408452,0.615612,0.615612,0.509861,47
716,1.218159,1.013377,1.832843,1.408348,0.614684,0.614684,0.501022,48
851,1.117059,0.897860,1.731140,1.313216,0.614081,0.614081,0.545910,49
145,1.533367,1.424839,2.146647,1.676019,0.613280,0.613280,0.394264,50
305,1.252892,1.106431,1.863797,1.438931,0.610905,0.610905,0.475970,51
997,1.038999,0.919056,1.649760,1.294836,0.610761,0.610761,0.543973,52
488,0.954114,0.817821,1.564283,1.225612,0.610169,0.610169,0.585652,53
1001,1.563411,1.298947,2.171985,1.615135,0.608573,0.608573,0.415240,54
156,0.841797,0.715004,1.449353,1.103598,0.607557,0.607557,0.653408,55
362,1.226161,1.036126,1.831084,1.383139,0.604924,0.604924,0.495022,56
516,1.058634,0.889900,1.661929,1.254398,0.603295,0.603295,0.554739,57
