category,rank,dimension,mean_delta,std_delta
1a. Human Plagiarism (Base),1,880,2.014229,1.610200
1a. Human Plagiarism (Base),2,629,1.993820,1.699609
1a. Human Plagiarism (Base),3,70,1.876479,1.591661
1a. Human Plagiarism (Base),4,4,1.859599,1.618181
1a. Human Plagiarism (Base),5,963,1.859268,1.478727
1a. Human Plagiarism (Base),6,757,1.778164,1.437420
1a. Human Plagiarism (Base),7,45,1.732825,1.341329
1a. Human Plagiarism (Base),8,941,1.709391,1.480741
1a. Human Plagiarism (Base),9,834,1.690794,1.476156
1a. Human Plagiarism (Base),10,611,1.685435,1.301885
1a. Human Plagiarism (Base),11,419,1.684264,1.409874
1a. Human Plagiarism (Base),12,995,1.680480,1.326963
1a. Human Plagiarism (Base),13,698,1.679443,1.483818
1a. Human Plagiarism (Base),14,47,1.669973,1.386381
1a. Human Plagiarism (Base),15,427,1.662506,1.323409
1a. Human Plagiarism (Base),16,612,1.653132,1.445113
1a. Human Plagiarism (Base),17,400,1.650638,1.421180
1a. Human Plagiarism (Base),18,211,1.613453,1.545472
1a. Human Plagiarism (Base),19,673,1.568175,1.495961
1a. Human Plagiarism (Base),20,1006,1.568160,1.372028
1a. Human Plagiarism (Base),21,861,1.564460,1.426677
1a. Human Plagiarism (Base),22,1001,1.563411,1.298947
1a. Human Plagiarism (Base),23,443,1.563390,1.194687
1a. Human Plagiarism (Base),24,822,1.561686,1.318042
1a. Human Plagiarism (Base),25,749,1.553344,1.180577
1a. Human Plagiarism (Base),26,355,1.545368,1.245925
1a. Human Plagiarism (Base),27,640,1.539147,1.349780
1a. Human Plagiarism (Base),28,145,1.533367,1.424839
1a. Human Plagiarism (Base),29,999,1.520393,1.202059
1a. Human Plagiarism (Base),30,551,1.519535,1.286038
1b. Human Plagiarism + DSP,1,880,2.006032,1.611577
1b. Human Plagiarism + DSP,2,629,1.980609,1.704193
1b. Human Plagiarism + DSP,3,70,1.930339,1.646857
1b. Human Plagiarism + DSP,4,963,1.909104,1.492500
1b. Human Plagiarism + DSP,5,4,1.857248,1.640188
1b. Human Plagiarism + DSP,6,757,1.835589,1.485293
1b. Human Plagiarism + DSP,7,941,1.822854,1.454293
1b. Human Plagiarism + DSP,8,698,1.792595,1.509025
1b. Human Plagiarism + DSP,9,45,1.776594,1.361551
1b. Human Plagiarism + DSP,10,47,1.732219,1.420863
1b. Human Plagiarism + DSP,11,834,1.706008,1.492333
1b. Human Plagiarism + DSP,12,427,1.700648,1.342710
1b. Human Plagiarism + DSP,13,995,1.688226,1.333987
1b. Human Plagiarism + DSP,14,611,1.666730,1.273642
1b. Human Plagiarism + DSP,15,1006,1.662708,1.436267
1b. Human Plagiarism + DSP,16,612,1.658977,1.445630
1b. Human Plagiarism + DSP,17,355,1.654281,1.288154
1b. Human Plagiarism + DSP,18,419,1.621714,1.324301
1b. Human Plagiarism + DSP,19,673,1.619708,1.514216
1b. Human Plagiarism + DSP,20,951,1.616372,1.352340
1b. Human Plagiarism + DSP,21,640,1.612153,1.368643
1b. Human Plagiarism + DSP,22,145,1.602535,1.439154
1b. Human Plagiarism + DSP,23,400,1.602326,1.320463
1b. Human Plagiarism + DSP,24,211,1.602189,1.406721
1b. Human Plagiarism + DSP,25,999,1.588505,1.247926
