category,rank,dimension,mean_delta,std_delta
combined,1,963,2.779163,2.079616
combined,2,880,2.742019,2.083793
combined,3,4,2.691445,2.066286
combined,4,640,2.540019,1.936234
combined,5,834,2.524301,1.882048
combined,6,629,2.415319,1.818469
combined,7,70,2.399545,1.782124
combined,8,551,2.381883,1.728140
combined,9,757,2.357838,1.889024
combined,10,145,2.351162,1.800101
combined,11,427,2.349174,1.788490
combined,12,355,2.343067,1.751181
combined,13,400,2.340652,1.800024
combined,14,941,2.306064,1.733298
combined,15,995,2.299920,1.698683
combined,16,47,2.290802,1.717995
combined,17,290,2.254639,1.647091
combined,18,698,2.254242,1.727811
combined,19,375,2.239644,1.685561
combined,20,238,2.233101,1.645869
combined,21,1001,2.206635,1.620978
combined,22,710,2.193783,1.609541
combined,23,612,2.192639,1.677130
combined,24,365,2.189024,1.632922
combined,25,443,2.178501,1.649405
combined,26,345,2.178075,1.598017
combined,27,272,2.158115,1.616947
combined,28,994,2.139863,1.653440
combined,29,1006,2.136261,1.658307
combined,30,362,2.134411,1.523544
none,1,963,2.704509,2.045052
none,2,4,2.694485,1.982614
none,3,834,2.681348,1.941282
none,4,880,2.656998,2.087659
none,5,400,2.600165,2.021074
none,6,427,2.491415,1.847082
none,7,629,2.466469,1.894974
none,8,70,2.432017,1.803008
none,9,290,2.396138,1.750391
none,10,612,2.394927,1.788427
none,11,551,2.374044,1.711060
none,12,941,2.373402,1.785541
none,13,757,2.362198,1.871007
none,14,995,2.349226,1.739299
none,15,145,2.347916,1.795707
none,16,355,2.346982,1.712723
none,17,47,2.346922,1.709558
none,18,238,2.287743,1.736570
none,19,698,2.284474,1.722720
none,20,640,2.258305,1.751287
none,21,1001,2.254928,1.672484
none,22,710,2.222596,1.594798
none,23,443,2.216906,1.672235
none,24,994,2.204998,1.677752
none,25,611,2.196576,1.653645
none,26,639,2.191853,1.635967
none,27,631,2.186361,1.513430
none,28,563,2.157767,1.572299
none,29,470,2.148696,1.628543
none,30,1006,2.135481,1.699838
pitch_down_large,1,963,2.862376,2.138654
pitch_down_large,2,880,2.748202,2.096077
pitch_down_large,3,4,2.711944,2.024654
pitch_down_large,4,834,2.621326,1.940440
pitch_down_large,5,70,2.440651,1.760735
pitch_down_large,6,629,2.437833,1.872826
pitch_down_large,7,995,2.416888,1.759196
pitch_down_large,8,145,2.376516,1.810293
pitch_down_large,9,551,2.366798,1.740662
pitch_down_large,10,710,2.359916,1.735066
pitch_down_large,11,290,2.349599,1.693664
pitch_down_large,12,400,2.338877,1.813694
pitch_down_large,13,757,2.337048,1.837036
pitch_down_large,14,355,2.330114,1.755531
pitch_down_large,15,427,2.307863,1.763164
pitch_down_large,16,47,2.305351,1.674424
pitch_down_large,17,941,2.296295,1.765510
pitch_down_large,18,640,2.294909,1.817385
pitch_down_large,19,612,2.283684,1.719060
pitch_down_large,20,362,2.263152,1.565790
pitch_down_large,21,443,2.238549,1.690635
pitch_down_large,22,698,2.213403,1.732094
pitch_down_large,23,238,2.203352,1.668396
pitch_down_large,24,1001,2.184303,1.622725
pitch_down_large,25,345,2.143822,1.573120
pitch_down_large,26,639,2.139872,1.585974
pitch_down_large,27,272,2.136376,1.579137
pitch_down_large,28,611,2.128383,1.587847
pitch_down_large,29,322,2.127703,1.548977
pitch_down_large,30,375,2.125284,1.624362
pitch_down_small,1,4,2.690434,2.019946
pitch_down_small,2,880,2.656865,2.025514
pitch_down_small,3,834,2.653681,1.937161
pitch_down_small,4,963,2.627148,2.023078
pitch_down_small,5,400,2.605599,1.989883
pitch_down_small,6,290,2.591213,1.848947
pitch_down_small,7,70,2.431639,1.821145
pitch_down_small,8,995,2.420350,1.748981
pitch_down_small,9,629,2.418659,1.850151
pitch_down_small,10,551,2.405901,1.752590
pitch_down_small,11,427,2.403983,1.801056
pitch_down_small,12,853,2.342373,1.536195
pitch_down_small,13,757,2.331750,1.837445
pitch_down_small,14,941,2.303876,1.729343
pitch_down_small,15,355,2.286069,1.664611
pitch_down_small,16,145,2.278655,1.723450
pitch_down_small,17,710,2.257253,1.649054
pitch_down_small,18,47,2.246805,1.650988
pitch_down_small,19,640,2.237752,1.738032
pitch_down_small,20,612,2.220642,1.689076
pitch_down_small,21,698,2.220439,1.717512
pitch_down_small,22,443,2.181044,1.703027
pitch_down_small,23,45,2.180955,1.697111
pitch_down_small,24,1006,2.178005,1.700317
pitch_down_small,25,631,2.177023,1.508151
pitch_down_small,26,639,2.174754,1.625443
pitch_down_small,27,590,2.174487,1.649244
pitch_down_small,28,994,2.161610,1.630010
pitch_down_small,29,1001,2.159941,1.624062
pitch_down_small,30,739,2.142482,1.647360
pitch_up_large,1,963,2.682755,2.055029
pitch_up_large,2,880,2.664933,2.085102
pitch_up_large,3,4,2.651923,2.068298
pitch_up_large,4,640,2.629765,2.059001
pitch_up_large,5,400,2.459488,1.860557
pitch_up_large,6,757,2.459105,1.922068
pitch_up_large,7,427,2.450934,1.769473
pitch_up_large,8,834,2.439109,1.827451
pitch_up_large,9,629,2.435664,1.818214
pitch_up_large,10,70,2.426233,1.811922
pitch_up_large,11,551,2.411235,1.736039
pitch_up_large,12,145,2.406368,1.821328
pitch_up_large,13,941,2.328446,1.769221
pitch_up_large,14,355,2.325431,1.694553
pitch_up_large,15,238,2.309522,1.688960
pitch_up_large,16,47,2.302508,1.748902
pitch_up_large,17,290,2.290325,1.651463
pitch_up_large,18,698,2.256359,1.712965
pitch_up_large,19,995,2.255020,1.693828
pitch_up_large,20,375,2.253455,1.725526
pitch_up_large,21,1001,2.247550,1.667346
pitch_up_large,22,365,2.205418,1.631213
pitch_up_large,23,611,2.188752,1.636644
pitch_up_large,24,354,2.165991,1.475310
pitch_up_large,25,994,2.164659,1.656689
pitch_up_large,26,362,2.160866,1.537813
pitch_up_large,27,443,2.160727,1.618167
pitch_up_large,28,590,2.156121,1.672892
pitch_up_large,29,563,2.126178,1.576183
pitch_up_large,30,272,2.122472,1.562234
pitch_up_small,1,880,2.768901,2.148607
pitch_up_small,2,963,2.759853,2.144506
pitch_up_small,3,4,2.627346,1.974410
pitch_up_small,4,640,2.591086,2.006238
pitch_up_small,5,834,2.559371,1.925229
pitch_up_small,6,629,2.472016,1.851897
pitch_up_small,7,427,2.471055,1.807526
pitch_up_small,8,551,2.425096,1.799724
pitch_up_small,9,757,2.414267,1.929933
pitch_up_small,10,70,2.412464,1.772960
pitch_up_small,11,995,2.363884,1.727814
pitch_up_small,12,355,2.355324,1.740088
pitch_up_small,13,400,2.335325,1.840844
pitch_up_small,14,145,2.315993,1.824146
pitch_up_small,15,941,2.309985,1.758164
pitch_up_small,16,698,2.308769,1.756905
pitch_up_small,17,611,2.258528,1.612601
pitch_up_small,18,365,2.226943,1.671657
pitch_up_small,19,47,2.224271,1.668803
pitch_up_small,20,856,2.221035,1.582252
pitch_up_small,21,443,2.220928,1.654589
pitch_up_small,22,238,2.214196,1.692513
pitch_up_small,23,612,2.191898,1.674680
pitch_up_small,24,710,2.189602,1.528768
pitch_up_small,25,1001,2.171160,1.652363
pitch_up_small,26,994,2.160454,1.673192
pitch_up_small,27,470,2.156704,1.685244
pitch_up_small,28,375,2.144974,1.611144
pitch_up_small,29,45,2.132831,1.644229
pitch_up_small,30,639,2.125759,1.561180
tempo_down_large,1,963,2.724118,2.053466
tempo_down_large,2,834,2.715873,1.986992
tempo_down_large,3,880,2.668009,2.043464
tempo_down_large,4,4,2.656167,2.002757
tempo_down_large,5,290,2.525962,1.788831
tempo_down_large,6,400,2.517167,1.901818
tempo_down_large,7,427,2.487800,1.858894
tempo_down_large,8,629,2.446378,1.856133
tempo_down_large,9,70,2.422870,1.831077
tempo_down_large,10,551,2.407871,1.732903
tempo_down_large,11,612,2.385005,1.791659
tempo_down_large,12,941,2.380581,1.752732
tempo_down_large,13,355,2.354378,1.737249
tempo_down_large,14,757,2.338942,1.882377
tempo_down_large,15,145,2.329524,1.787207
tempo_down_large,16,995,2.289066,1.708073
tempo_down_large,17,631,2.273626,1.554726
tempo_down_large,18,47,2.272656,1.664620
tempo_down_large,19,1001,2.254872,1.673906
tempo_down_large,20,710,2.247527,1.595033
tempo_down_large,21,238,2.234966,1.683937
tempo_down_large,22,698,2.234420,1.734612
tempo_down_large,23,443,2.228149,1.685583
tempo_down_large,24,1006,2.215742,1.747783
tempo_down_large,25,640,2.209954,1.695001
tempo_down_large,26,994,2.207112,1.694281
tempo_down_large,27,853,2.197604,1.509595
tempo_down_large,28,639,2.173882,1.617424
tempo_down_large,29,365,2.156743,1.637879
tempo_down_large,30,563,2.148485,1.611614
tempo_up_large,1,963,2.772027,2.102690
tempo_up_large,2,4,2.704127,2.010044
tempo_up_large,3,834,2.664273,1.920824
tempo_up_large,4,880,2.651736,2.053034
tempo_up_large,5,400,2.545804,1.963879
tempo_up_large,6,427,2.479856,1.853950
tempo_up_large,7,629,2.461900,1.858226
tempo_up_large,8,551,2.430050,1.734618
tempo_up_large,9,290,2.423150,1.720806
tempo_up_large,10,941,2.401161,1.783614
tempo_up_large,11,757,2.388704,1.920702
tempo_up_large,12,640,2.384666,1.795886
tempo_up_large,13,70,2.384110,1.785070
tempo_up_large,14,355,2.353425,1.728380
tempo_up_large,15,995,2.341810,1.703290
tempo_up_large,16,145,2.324757,1.770466
tempo_up_large,17,47,2.292268,1.687522
tempo_up_large,18,612,2.279640,1.719743
tempo_up_large,19,1001,2.257437,1.662172
tempo_up_large,20,698,2.241369,1.701366
tempo_up_large,21,238,2.225843,1.691434
tempo_up_large,22,631,2.215525,1.551167
tempo_up_large,23,994,2.213289,1.706374
tempo_up_large,24,710,2.194685,1.554257
tempo_up_large,25,443,2.190046,1.639230
tempo_up_large,26,639,2.186881,1.624946
tempo_up_large,27,611,2.176088,1.653849
tempo_up_large,28,563,2.153416,1.632250
tempo_up_large,29,853,2.139489,1.502024
tempo_up_large,30,470,2.139249,1.633501
