category,rank,dimension,mean_delta,std_delta
combined,1,880,2.084476,1.665533
combined,2,70,2.028347,1.718569
combined,3,629,1.965965,1.730370
combined,4,941,1.936838,1.436116
combined,5,963,1.915879,1.466560
combined,6,757,1.913918,1.516613
combined,7,45,1.897358,1.429264
combined,8,4,1.874087,1.683760
combined,9,698,1.849787,1.533676
combined,10,1006,1.826663,1.558459
combined,11,47,1.805804,1.490684
combined,12,612,1.792823,1.603524
combined,13,640,1.760701,1.420015
combined,14,951,1.736874,1.459268
combined,15,639,1.712622,1.353195
combined,16,995,1.704962,1.329424
combined,17,355,1.698800,1.284706
combined,18,107,1.677273,1.594328
combined,19,673,1.667617,1.470151
combined,20,834,1.666861,1.495336
combined,21,427,1.659858,1.348943
combined,22,861,1.657903,1.426515
combined,23,999,1.651017,1.258273
combined,24,211,1.649249,1.363708
combined,25,145,1.628630,1.438818
combined,26,85,1.627967,1.392449
combined,27,611,1.621447,1.183908
combined,28,419,1.606345,1.252274
combined,29,563,1.605310,1.298615
combined,30,468,1.593704,1.306752
none,1,880,2.014229,1.610200
none,2,629,1.993820,1.699609
none,3,70,1.876479,1.591661
none,4,4,1.859599,1.618181
none,5,963,1.859268,1.478727
none,6,757,1.778164,1.437420
none,7,45,1.732825,1.341329
none,8,941,1.709391,1.480741
none,9,834,1.690794,1.476156
none,10,611,1.685435,1.301885
none,11,419,1.684264,1.409874
none,12,995,1.680480,1.326963
none,13,698,1.679443,1.483818
none,14,47,1.669973,1.386381
none,15,427,1.662506,1.323409
none,16,612,1.653132,1.445113
none,17,400,1.650638,1.421180
none,18,211,1.613453,1.545472
none,19,673,1.568175,1.495961
none,20,1006,1.568160,1.372028
none,21,861,1.564460,1.426677
none,22,1001,1.563411,1.298947
none,23,443,1.563390,1.194687
none,24,822,1.561686,1.318042
none,25,749,1.553344,1.180577
none,26,355,1.545368,1.245925
none,27,640,1.539147,1.349780
none,28,145,1.533367,1.424839
none,29,999,1.520393,1.202059
none,30,551,1.519535,1.286038
pitch_down_large,1,629,2.004262,1.751384
pitch_down_large,2,70,1.969777,1.653247
pitch_down_large,3,880,1.950208,1.605639
pitch_down_large,4,698,1.936991,1.615068
pitch_down_large,5,963,1.927337,1.524445
pitch_down_large,6,941,1.894927,1.539459
pitch_down_large,7,4,1.864392,1.657033
pitch_down_large,8,757,1.829472,1.581034
pitch_down_large,9,834,1.796821,1.489949
pitch_down_large,10,355,1.742537,1.347484
pitch_down_large,11,995,1.722585,1.341934
pitch_down_large,12,262,1.710538,1.442016
pitch_down_large,13,427,1.706270,1.344876
pitch_down_large,14,45,1.685389,1.306300
pitch_down_large,15,468,1.677132,1.562234
pitch_down_large,16,999,1.669232,1.314708
pitch_down_large,17,673,1.663184,1.590852
pitch_down_large,18,611,1.654515,1.288386
pitch_down_large,19,612,1.643080,1.349215
pitch_down_large,20,1006,1.642573,1.415577
pitch_down_large,21,145,1.634023,1.483071
pitch_down_large,22,47,1.632753,1.310147
pitch_down_large,23,419,1.628301,1.352291
pitch_down_large,24,654,1.624292,1.448349
pitch_down_large,25,400,1.612860,1.279924
pitch_down_large,26,822,1.608328,1.381837
pitch_down_large,27,259,1.592728,1.314067
pitch_down_large,28,951,1.585842,1.296064
pitch_down_large,29,1001,1.573059,1.296311
pitch_down_large,30,861,1.567014,1.329669
pitch_down_small,1,629,1.995890,1.679811
pitch_down_small,2,963,1.924891,1.504608
pitch_down_small,3,880,1.922005,1.571193
pitch_down_small,4,941,1.880911,1.481907
pitch_down_small,5,4,1.849830,1.663262
pitch_down_small,6,70,1.848186,1.595533
pitch_down_small,7,698,1.826329,1.500131
pitch_down_small,8,834,1.778487,1.517463
pitch_down_small,9,757,1.777849,1.463209
pitch_down_small,10,611,1.771852,1.414696
pitch_down_small,11,427,1.761605,1.354004
pitch_down_small,12,45,1.752207,1.311873
pitch_down_small,13,400,1.723758,1.338182
pitch_down_small,14,995,1.685597,1.364745
pitch_down_small,15,47,1.668499,1.342782
pitch_down_small,16,355,1.653100,1.291612
pitch_down_small,17,1001,1.636069,1.352467
pitch_down_small,18,419,1.630252,1.335197
pitch_down_small,19,184,1.615162,1.192267
pitch_down_small,20,640,1.604168,1.385343
pitch_down_small,21,673,1.596700,1.587222
pitch_down_small,22,145,1.590842,1.453156
pitch_down_small,23,1006,1.584039,1.356730
pitch_down_small,24,999,1.583597,1.253075
pitch_down_small,25,158,1.583577,1.219128
pitch_down_small,26,259,1.579151,1.274256
pitch_down_small,27,612,1.571609,1.397362
pitch_down_small,28,211,1.560803,1.348069
pitch_down_small,29,468,1.556085,1.433394
pitch_down_small,30,951,1.541967,1.282948
pitch_up_large,1,880,2.042349,1.577576
pitch_up_large,2,70,1.997534,1.767411
pitch_up_large,3,629,1.952804,1.652643
pitch_up_large,4,4,1.893536,1.690756
pitch_up_large,5,963,1.890088,1.445678
pitch_up_large,6,757,1.833075,1.465817
pitch_up_large,7,941,1.831872,1.410602
pitch_up_large,8,45,1.807316,1.415864
pitch_up_large,9,47,1.803339,1.493712
pitch_up_large,10,1006,1.796101,1.597730
pitch_up_large,11,698,1.789778,1.499404
pitch_up_large,12,612,1.732942,1.544875
pitch_up_large,13,834,1.712524,1.521142
pitch_up_large,14,951,1.701968,1.389676
pitch_up_large,15,355,1.697296,1.293775
pitch_up_large,16,995,1.686141,1.347371
pitch_up_large,17,640,1.683782,1.404151
pitch_up_large,18,427,1.659245,1.329391
pitch_up_large,19,611,1.643986,1.253061
pitch_up_large,20,673,1.636535,1.457590
pitch_up_large,21,107,1.620231,1.528484
pitch_up_large,22,861,1.612998,1.433130
pitch_up_large,23,999,1.609565,1.277174
pitch_up_large,24,822,1.599093,1.361772
pitch_up_large,25,400,1.585857,1.346394
pitch_up_large,26,639,1.579819,1.238592
pitch_up_large,27,211,1.578667,1.385602
pitch_up_large,28,1001,1.575853,1.296434
pitch_up_large,29,654,1.568280,1.348538
pitch_up_large,30,468,1.556813,1.282933
pitch_up_small,1,963,1.975220,1.545091
pitch_up_small,2,629,1.952400,1.650056
pitch_up_small,3,880,1.946787,1.548015
pitch_up_small,4,70,1.893827,1.608740
pitch_up_small,5,47,1.846678,1.478187
pitch_up_small,6,4,1.838329,1.604416
pitch_up_small,7,698,1.822213,1.452526
pitch_up_small,8,757,1.806648,1.478019
pitch_up_small,9,427,1.746536,1.315647
pitch_up_small,10,355,1.715842,1.332509
pitch_up_small,11,45,1.710241,1.272424
pitch_up_small,12,941,1.701333,1.409937
pitch_up_small,13,145,1.691892,1.445654
pitch_up_small,14,834,1.690280,1.476279
pitch_up_small,15,611,1.680691,1.291618
pitch_up_small,16,951,1.672217,1.387031
pitch_up_small,17,365,1.652316,1.430103
