category,rank,dimension,mean_delta,std_delta
combined,1,400,2.087795,1.657089
combined,2,629,2.038397,1.621222
combined,3,4,2.033157,1.620111
combined,4,963,2.023543,1.563152
combined,5,880,2.002386,1.602199
combined,6,70,1.953550,1.533438
combined,7,757,1.947323,1.545555
combined,8,698,1.904333,1.491692
combined,9,290,1.883565,1.466749
combined,10,640,1.865962,1.441337
combined,11,551,1.838707,1.442624
combined,12,238,1.827639,1.489712
combined,13,995,1.817129,1.392028
combined,14,941,1.816668,1.470626
combined,15,427,1.787134,1.422632
combined,16,1001,1.779863,1.410887
combined,17,612,1.777915,1.374557
combined,18,355,1.772085,1.412525
combined,19,611,1.769600,1.397412
combined,20,994,1.739017,1.336476
combined,21,834,1.722596,1.431757
combined,22,563,1.699246,1.339421
combined,23,66,1.695069,1.378191
combined,24,45,1.684150,1.375097
combined,25,47,1.668790,1.349317
combined,26,501,1.667738,1.304920
combined,27,145,1.663252,1.337073
combined,28,965,1.644733,1.253913
combined,29,1006,1.643085,1.308817
combined,30,375,1.639231,1.269321
none,1,629,1.969837,1.624491
none,2,880,1.845010,1.544184
none,3,400,1.826816,1.548112
none,4,4,1.825987,1.476648
none,5,757,1.806244,1.437381
none,6,963,1.794901,1.459188
none,7,70,1.784867,1.461447
none,8,698,1.731132,1.393367
none,9,551,1.722058,1.383244
none,10,290,1.718756,1.378388
none,11,611,1.687811,1.380698
none,12,1001,1.683701,1.365671
none,13,355,1.651725,1.359765
none,14,834,1.632164,1.388210
none,15,941,1.618023,1.332407
none,16,995,1.610959,1.332907
none,17,427,1.591792,1.294201
none,18,612,1.570055,1.279523
none,19,501,1.559494,1.264643
none,20,238,1.542237,1.276325
none,21,140,1.530962,1.303901
none,22,47,1.516292,1.222394
none,23,563,1.511683,1.267819
none,24,145,1.510536,1.261583
none,25,994,1.509383,1.249672
none,26,57,1.507152,1.221997
none,27,419,1.504503,1.211819
none,28,640,1.502389,1.158697
none,29,45,1.499790,1.229625
none,30,639,1.489400,1.235348
pitch_down_large,1,629,2.137202,1.695951
pitch_down_large,2,963,2.016334,1.578942
pitch_down_large,3,400,2.011247,1.662117
pitch_down_large,4,880,1.981304,1.621648
pitch_down_large,5,290,1.957270,1.486587
pitch_down_large,6,4,1.943660,1.543896
pitch_down_large,7,70,1.879956,1.484855
pitch_down_large,8,698,1.809803,1.423382
pitch_down_large,9,757,1.806395,1.441857
pitch_down_large,10,995,1.778516,1.414361
pitch_down_large,11,355,1.773976,1.409918
pitch_down_large,12,551,1.769189,1.400616
pitch_down_large,13,612,1.767631,1.389013
pitch_down_large,14,1001,1.762144,1.418144
pitch_down_large,15,611,1.728293,1.372547
pitch_down_large,16,994,1.715378,1.295323
pitch_down_large,17,427,1.698913,1.334056
pitch_down_large,18,834,1.693741,1.428650
pitch_down_large,19,941,1.679664,1.344731
pitch_down_large,20,640,1.665145,1.269750
pitch_down_large,21,238,1.661568,1.342039
pitch_down_large,22,47,1.656909,1.325686
pitch_down_large,23,45,1.641478,1.325879
pitch_down_large,24,501,1.629740,1.295790
pitch_down_large,25,145,1.610611,1.338834
pitch_down_large,26,639,1.610449,1.249316
pitch_down_large,27,66,1.604275,1.297120
pitch_down_large,28,553,1.579677,1.235978
pitch_down_large,29,442,1.579435,1.252754
pitch_down_large,30,443,1.578465,1.276509
pitch_down_small,1,629,2.089441,1.653387
pitch_down_small,2,400,1.983115,1.616938
pitch_down_small,3,880,1.934725,1.571470
pitch_down_small,4,4,1.926670,1.499453
pitch_down_small,5,963,1.900475,1.506489
pitch_down_small,6,290,1.879029,1.465142
pitch_down_small,7,70,1.849826,1.497663
pitch_down_small,8,757,1.803033,1.443983
pitch_down_small,9,698,1.801846,1.440844
pitch_down_small,10,551,1.775562,1.376447
pitch_down_small,11,1001,1.760471,1.406255
pitch_down_small,12,355,1.741536,1.425631
pitch_down_small,13,941,1.741368,1.388161
pitch_down_small,14,611,1.707940,1.355732
pitch_down_small,15,612,1.701803,1.356414
pitch_down_small,16,995,1.678104,1.349835
pitch_down_small,17,834,1.675984,1.434513
pitch_down_small,18,427,1.673907,1.352594
pitch_down_small,19,238,1.663823,1.377689
pitch_down_small,20,994,1.644480,1.286153
pitch_down_small,21,47,1.632135,1.291596
