category,rank,dimension,mean_delta,std_delta
combined,1,45,2.700176,1.845307
combined,2,4,2.516715,1.909706
combined,3,880,2.456028,1.874202
combined,4,400,2.427339,1.863294
combined,5,551,2.342971,1.643208
combined,6,757,2.330405,1.766129
combined,7,963,2.309228,1.841726
combined,8,290,2.220384,1.656995
combined,9,652,2.214851,1.516630
combined,10,70,2.206842,1.678509
combined,11,629,2.206056,1.710088
combined,12,698,2.204309,1.646492
combined,13,941,2.184298,1.735424
combined,14,427,2.156861,1.628399
combined,15,834,2.154137,1.596258
combined,16,1001,2.148602,1.631716
combined,17,470,2.133368,1.589256
combined,18,355,2.115169,1.539569
combined,19,995,2.099650,1.615476
combined,20,345,2.095455,1.514426
combined,21,640,2.092638,1.535528
combined,22,994,2.090121,1.507553
combined,23,145,2.061151,1.609189
combined,24,612,2.056002,1.561987
combined,25,67,2.048231,1.437771
combined,26,57,2.031198,1.492253
combined,27,443,2.029657,1.529709
combined,28,387,2.027736,1.547761
combined,29,689,2.026471,1.487259
combined,30,47,2.010323,1.510194
none,1,45,2.486507,1.783276
none,2,4,2.401011,1.840199
none,3,551,2.398114,1.714246
none,4,400,2.396201,1.851249
none,5,629,2.357565,1.800638
none,6,880,2.354067,1.852380
none,7,290,2.321111,1.650804
none,8,963,2.296410,1.784347
none,9,757,2.280790,1.764010
none,10,70,2.226660,1.650910
none,11,834,2.190907,1.639523
none,12,941,2.188234,1.646517
none,13,698,2.138743,1.550612
none,14,652,2.124069,1.447936
none,15,1001,2.089041,1.551246
none,16,355,2.080996,1.577910
none,17,612,2.067441,1.629757
none,18,994,2.044389,1.507104
none,19,67,2.020768,1.406774
none,20,427,2.003441,1.554619
none,21,387,2.001926,1.458871
none,22,995,1.999715,1.553955
none,23,689,1.993695,1.459020
none,24,470,1.991684,1.504450
none,25,640,1.982377,1.501953
none,26,345,1.981835,1.447944
none,27,145,1.945378,1.520691
none,28,140,1.942427,1.537063
none,29,87,1.929018,1.388054
none,30,443,1.928069,1.466705
pitch_down_large,1,45,2.591072,1.780879
pitch_down_large,2,880,2.419471,1.833456
pitch_down_large,3,400,2.376789,1.816732
pitch_down_large,4,963,2.364825,1.882344
pitch_down_large,5,4,2.364338,1.860090
pitch_down_large,6,551,2.344855,1.678364
pitch_down_large,7,290,2.317784,1.640113
pitch_down_large,8,834,2.269156,1.670424
pitch_down_large,9,70,2.235528,1.685322
pitch_down_large,10,629,2.230971,1.691358
pitch_down_large,11,757,2.203668,1.674559
pitch_down_large,12,1001,2.200122,1.613698
pitch_down_large,13,995,2.160801,1.608291
pitch_down_large,14,698,2.157886,1.573232
pitch_down_large,15,355,2.156542,1.574798
pitch_down_large,16,652,2.145976,1.485019
pitch_down_large,17,345,2.103747,1.527338
pitch_down_large,18,612,2.101052,1.581516
pitch_down_large,19,689,2.075473,1.475296
pitch_down_large,20,941,2.063414,1.571620
pitch_down_large,21,994,2.057492,1.513157
pitch_down_large,22,427,2.056730,1.572991
pitch_down_large,23,443,2.049489,1.626395
pitch_down_large,24,539,2.015592,1.391013
pitch_down_large,25,640,2.013246,1.532122
pitch_down_large,26,145,1.997738,1.529537
pitch_down_large,27,47,1.989064,1.473343
pitch_down_large,28,470,1.970664,1.526939
pitch_down_large,29,87,1.969687,1.448858
pitch_down_large,30,140,1.968544,1.586676
pitch_down_small,1,45,2.615833,1.842337
pitch_down_small,2,4,2.445405,1.863878
pitch_down_small,3,880,2.431826,1.877242
pitch_down_small,4,551,2.430138,1.744691
pitch_down_small,5,400,2.403498,1.811015
pitch_down_small,6,629,2.319085,1.803491
pitch_down_small,7,963,2.304112,1.751994
