category,rank,dimension,mean_delta,std_delta
combined,1,640,0.989134,0.921753
combined,2,880,0.937840,0.775773
combined,3,70,0.898755,0.803404
combined,4,757,0.894501,0.714005
combined,5,963,0.883632,0.728217
combined,6,941,0.879038,0.754391
combined,7,698,0.866918,0.784603
combined,8,611,0.860826,0.682089
combined,9,107,0.847443,0.792117
combined,10,4,0.841799,0.703289
combined,11,259,0.840298,0.754607
combined,12,612,0.834120,0.679488
combined,13,629,0.822357,0.655519
combined,14,427,0.821872,0.695275
combined,15,45,0.820696,0.682539
combined,16,701,0.820566,0.797333
combined,17,965,0.810024,0.635180
combined,18,1006,0.808946,0.682373
combined,19,400,0.808909,0.749579
combined,20,1001,0.798275,0.643599
combined,21,290,0.797727,0.675957
combined,22,80,0.796379,0.778442
combined,23,184,0.794605,0.653038
combined,24,145,0.793758,0.682617
combined,25,193,0.793599,0.769228
combined,26,655,0.793460,0.710840
combined,27,195,0.789181,0.713433
combined,28,551,0.784156,0.621166
combined,29,449,0.783478,0.632161
combined,30,324,0.775783,0.793229
pitch_down_large,1,640,0.749046,0.843761
pitch_down_large,2,963,0.712922,0.681058
pitch_down_large,3,698,0.709754,0.696136
pitch_down_large,4,612,0.706191,0.612754
pitch_down_large,5,611,0.691073,0.638090
pitch_down_large,6,880,0.690697,0.574001
pitch_down_large,7,1009,0.682888,0.695368
pitch_down_large,8,4,0.679056,0.606604
pitch_down_large,9,70,0.678891,0.641531
pitch_down_large,10,1016,0.659769,0.694651
pitch_down_large,11,3,0.655534,0.695506
pitch_down_large,12,548,0.655366,0.647874
pitch_down_large,13,47,0.649233,0.593772
pitch_down_large,14,355,0.643509,0.607930
pitch_down_large,15,639,0.643299,0.707072
pitch_down_large,16,757,0.639656,0.585995
pitch_down_large,17,449,0.639565,0.708740
pitch_down_large,18,290,0.637674,0.557641
pitch_down_large,19,999,0.637339,0.617490
pitch_down_large,20,429,0.636831,0.640661
pitch_down_large,21,427,0.634154,0.586335
pitch_down_large,22,400,0.633710,0.627208
pitch_down_large,23,145,0.631393,0.628288
pitch_down_large,24,259,0.627635,0.657353
pitch_down_large,25,562,0.625676,0.599225
pitch_down_large,26,580,0.624126,0.659485
pitch_down_large,27,389,0.623259,0.726316
pitch_down_large,28,1001,0.623023,0.519105
pitch_down_large,29,45,0.622591,0.563976
pitch_down_large,30,994,0.616688,0.591593
pitch_down_small,1,880,0.731272,0.680584
pitch_down_small,2,400,0.721714,0.634611
pitch_down_small,3,4,0.715201,0.717270
pitch_down_small,4,941,0.706830,0.677390
pitch_down_small,5,70,0.702940,0.634418
pitch_down_small,6,611,0.693208,0.642348
pitch_down_small,7,963,0.687958,0.568148
pitch_down_small,8,757,0.684492,0.588603
pitch_down_small,9,698,0.658306,0.563167
pitch_down_small,10,612,0.655908,0.545074
pitch_down_small,11,184,0.651106,0.615337
pitch_down_small,12,629,0.646976,0.555901
pitch_down_small,13,1001,0.634874,0.560321
pitch_down_small,14,219,0.634601,0.672952
pitch_down_small,15,427,0.634239,0.552898
pitch_down_small,16,551,0.630982,0.574869
pitch_down_small,17,45,0.630780,0.528590
pitch_down_small,18,501,0.630382,0.588262
pitch_down_small,19,152,0.629828,0.670672
pitch_down_small,20,931,0.628510,0.758706
pitch_down_small,21,47,0.627117,0.549622
pitch_down_small,22,687,0.626963,0.569557
pitch_down_small,23,539,0.625381,0.612013
pitch_down_small,24,346,0.624976,0.618383
pitch_down_small,25,994,0.623919,0.597632
pitch_down_small,26,563,0.622941,0.651421
pitch_down_small,27,290,0.621821,0.575740
pitch_down_small,28,562,0.621595,0.545437
pitch_down_small,29,365,0.621387,0.612026
