category,rank,dimension,mean_delta,std_delta
combined,1,880,2.118079,1.770879
combined,2,963,2.055360,1.703147
combined,3,4,2.043486,1.785321
combined,4,70,1.986341,1.659162
combined,5,629,1.983239,1.695339
combined,6,757,1.951366,1.627820
combined,7,640,1.903003,1.576487
combined,8,941,1.897374,1.542645
combined,9,698,1.881907,1.566411
combined,10,400,1.869940,1.597709
combined,11,45,1.849388,1.511339
combined,12,834,1.813744,1.594267
combined,13,427,1.799636,1.512144
combined,14,612,1.798947,1.531863
combined,15,355,1.797434,1.473327
combined,16,995,1.794106,1.473861
combined,17,47,1.784099,1.502331
combined,18,551,1.777299,1.479065
combined,19,1006,1.746098,1.486240
combined,20,145,1.744816,1.520589
combined,21,1001,1.732826,1.449544
combined,22,290,1.720422,1.438015
combined,23,611,1.712053,1.377379
combined,24,994,1.695112,1.406458
combined,25,238,1.682601,1.431476
combined,26,639,1.679513,1.377599
combined,27,563,1.666992,1.376964
combined,28,951,1.658716,1.416014
combined,29,345,1.631911,1.347005
combined,30,443,1.631442,1.377258
none,1,629,2.096409,1.727048
none,2,880,2.088388,1.715222
none,3,4,2.030330,1.688568
none,4,963,2.007492,1.631581
none,5,70,1.965991,1.604535
none,6,400,1.932454,1.650937
none,7,757,1.930930,1.564945
none,8,834,1.868412,1.582916
none,9,698,1.837021,1.515379
none,10,941,1.830307,1.527100
none,11,551,1.815026,1.483816
none,12,45,1.803055,1.455567
none,13,427,1.793777,1.457391
none,14,995,1.788120,1.442891
none,15,612,1.778521,1.497846
none,16,611,1.778295,1.413103
none,17,290,1.765990,1.446342
none,18,1001,1.763717,1.432337
none,19,355,1.756959,1.427517
none,20,47,1.731517,1.411303
none,21,419,1.695292,1.375693
none,22,145,1.687871,1.472209
none,23,640,1.680598,1.400287
none,24,994,1.658714,1.402301
none,25,443,1.656175,1.329211
none,26,1006,1.652603,1.417559
none,27,140,1.627536,1.348645
none,28,238,1.606683,1.357521
none,29,501,1.604870,1.300203
none,30,999,1.595077,1.289550
pitch_down_large,1,963,1.971618,1.690431
pitch_down_large,2,880,1.960143,1.708580
pitch_down_large,3,629,1.954711,1.724877
pitch_down_large,4,4,1.906327,1.697474
pitch_down_large,5,70,1.879026,1.608378
pitch_down_large,6,698,1.814891,1.549778
pitch_down_large,7,400,1.788123,1.569354
pitch_down_large,8,757,1.786826,1.572727
pitch_down_large,9,834,1.779344,1.568596
pitch_down_large,10,941,1.748954,1.506191
pitch_down_large,11,355,1.740296,1.457294
pitch_down_large,12,995,1.736733,1.467841
pitch_down_large,13,612,1.698106,1.439280
pitch_down_large,14,45,1.697523,1.437843
pitch_down_large,15,551,1.691161,1.452041
pitch_down_large,16,427,1.690121,1.431482
pitch_down_large,17,290,1.682862,1.429815
pitch_down_large,18,1001,1.661591,1.424107
pitch_down_large,19,47,1.645064,1.389094
pitch_down_large,20,611,1.643062,1.368648
pitch_down_large,21,145,1.639315,1.486613
pitch_down_large,22,994,1.620929,1.373750
pitch_down_large,23,640,1.620067,1.398222
pitch_down_large,24,443,1.586275,1.394356
pitch_down_large,25,999,1.567253,1.328938
pitch_down_large,26,1006,1.565757,1.399978
pitch_down_large,27,238,1.560866,1.338207
pitch_down_large,28,345,1.534833,1.326510
pitch_down_large,29,419,1.528138,1.304853
pitch_down_large,30,951,1.520468,1.305590
pitch_down_small,1,629,1.952684,1.693951
pitch_down_small,2,880,1.931991,1.675550
pitch_down_small,3,4,1.907322,1.691638
pitch_down_small,4,963,1.899665,1.612091
pitch_down_small,5,400,1.864336,1.598850
pitch_down_small,6,70,1.828959,1.592628
pitch_down_small,7,941,1.781489,1.500257
pitch_down_small,8,757,1.774044,1.535193
pitch_down_small,9,834,1.766794,1.581987
pitch_down_small,10,698,1.756718,1.503269
pitch_down_small,11,45,1.720135,1.465840
pitch_down_small,12,427,1.715812,1.452001
pitch_down_small,13,290,1.704002,1.467751
pitch_down_small,14,551,1.683053,1.443552
pitch_down_small,15,995,1.683017,1.442859
pitch_down_small,16,355,1.680291,1.426725
pitch_down_small,17,611,1.678537,1.406294
pitch_down_small,18,1001,1.674059,1.429911
pitch_down_small,19,612,1.645764,1.449321
pitch_down_small,20,47,1.632805,1.379622
pitch_down_small,21,640,1.599688,1.399790
pitch_down_small,22,145,1.594840,1.441325
pitch_down_small,23,238,1.568434,1.364942
pitch_down_small,24,994,1.560442,1.361127
pitch_down_small,25,1006,1.556372,1.391058
pitch_down_small,26,184,1.540123,1.250854
pitch_down_small,27,419,1.533364,1.309621
pitch_down_small,28,443,1.512662,1.328042
pitch_down_small,29,501,1.510648,1.263691
pitch_down_small,30,951,1.510056,1.315391
pitch_up_large,1,880,1.971290,1.679057
pitch_up_large,2,4,1.912373,1.719708
pitch_up_large,3,70,1.891036,1.653846
pitch_up_large,4,963,1.880937,1.604808
pitch_up_large,5,629,1.868451,1.644963
pitch_up_large,6,757,1.815889,1.562264
pitch_up_large,7,400,1.771134,1.588727
pitch_up_large,8,698,1.769185,1.520173
pitch_up_large,9,640,1.747460,1.513533
pitch_up_large,10,941,1.741282,1.482927
pitch_up_large,11,45,1.719535,1.467084
pitch_up_large,12,834,1.705288,1.551726
pitch_up_large,13,355,1.702472,1.414139
pitch_up_large,14,47,1.691577,1.462622
pitch_up_large,15,427,1.689815,1.440973
pitch_up_large,16,995,1.680200,1.435923
pitch_up_large,17,612,1.672503,1.471418
pitch_up_large,18,551,1.649684,1.437597
pitch_up_large,19,1001,1.647869,1.427522
pitch_up_large,20,290,1.634206,1.387311
pitch_up_large,21,611,1.634156,1.359960
pitch_up_large,22,1006,1.623260,1.466066
pitch_up_large,23,145,1.595234,1.451398
pitch_up_large,24,994,1.569263,1.359135
pitch_up_large,25,951,1.568633,1.350436
pitch_up_large,26,238,1.559782,1.385163
pitch_up_large,27,999,1.538896,1.305639
pitch_up_large,28,639,1.535818,1.284416
pitch_up_large,29,419,1.527003,1.296119
pitch_up_large,30,140,1.521580,1.321178
pitch_up_small,1,880,1.946289,1.687491
pitch_up_small,2,963,1.938995,1.661685
pitch_up_small,3,629,1.905673,1.655112
pitch_up_small,4,4,1.876210,1.665707
pitch_up_small,5,70,1.845610,1.587633
pitch_up_small,6,757,1.809372,1.561867
pitch_up_small,7,698,1.794600,1.515480
pitch_up_small,8,400,1.765941,1.577609
pitch_up_small,9,355,1.725644,1.441821
pitch_up_small,10,427,1.721510,1.431534
pitch_up_small,11,834,1.717392,1.553528
pitch_up_small,12,941,1.695999,1.475662
pitch_up_small,13,45,1.694312,1.426661
pitch_up_small,14,47,1.692564,1.429606
pitch_up_small,15,995,1.673771,1.423193
pitch_up_small,16,551,1.667979,1.427588
pitch_up_small,17,145,1.652055,1.455023
pitch_up_small,18,611,1.648486,1.368021
pitch_up_small,19,1001,1.644049,1.428101
pitch_up_small,20,640,1.635190,1.491605
pitch_up_small,21,612,1.629064,1.392672
pitch_up_small,22,290,1.595636,1.378187
pitch_up_small,23,365,1.585722,1.397599
pitch_up_small,24,951,1.564265,1.347135
pitch_up_small,25,1006,1.556663,1.394258
pitch_up_small,26,238,1.551235,1.364421
pitch_up_small,27,994,1.542533,1.355331
pitch_up_small,28,443,1.526663,1.293945
pitch_up_small,29,419,1.524414,1.300368
pitch_up_small,30,345,1.519304,1.277423
tempo_down_large,1,963,2.432579,1.941275
tempo_down_large,2,4,2.428457,1.909586
tempo_down_large,3,880,2.417498,1.931344
tempo_down_large,4,834,2.395541,1.879392
tempo_down_large,5,629,2.352637,1.809911
tempo_down_large,6,400,2.312206,1.824430
tempo_down_large,7,290,2.283522,1.701686
tempo_down_large,8,427,2.236967,1.754128
tempo_down_large,9,70,2.233897,1.752081
tempo_down_large,10,551,2.216461,1.672510
tempo_down_large,11,757,2.190633,1.768086
tempo_down_large,12,941,2.168369,1.658689
tempo_down_large,13,612,2.149560,1.716763
tempo_down_large,14,355,2.105033,1.658626
tempo_down_large,15,995,2.098888,1.632020
