category,rank,dimension,mean_delta,std_delta
base,1,629,2.096409,1.727048
base,2,880,2.088388,1.715222
base,3,4,2.030330,1.688568
base,4,963,2.007492,1.631581
base,5,70,1.965991,1.604535
base,6,400,1.932454,1.650937
base,7,757,1.930930,1.564945
base,8,834,1.868412,1.582916
base,9,698,1.837021,1.515379
base,10,941,1.830307,1.527100
base,11,551,1.815026,1.483816
base,12,45,1.803055,1.455567
base,13,427,1.793777,1.457391
base,14,995,1.788120,1.442891
base,15,612,1.778521,1.497846
base,16,611,1.778295,1.413103
base,17,290,1.765990,1.446342
base,18,1001,1.763717,1.432337
base,19,355,1.756959,1.427517
base,20,47,1.731517,1.411303
base,21,419,1.695292,1.375693
base,22,145,1.687871,1.472209
base,23,640,1.680598,1.400287
base,24,994,1.658714,1.402301
base,25,443,1.656175,1.329211
base,26,1006,1.652603,1.417559
base,27,140,1.627536,1.348645
base,28,238,1.606683,1.357521
base,29,501,1.604870,1.300203
base,30,999,1.595077,1.289550
pitchD2,1,629,1.952684,1.693951
pitchD2,2,880,1.931991,1.675550
pitchD2,3,4,1.907322,1.691638
pitchD2,4,963,1.899665,1.612091
pitchD2,5,400,1.864336,1.598850
pitchD2,6,70,1.828959,1.592628
pitchD2,7,941,1.781489,1.500257
pitchD2,8,757,1.774044,1.535193
pitchD2,9,834,1.766794,1.581987
pitchD2,10,698,1.756718,1.503269
pitchD2,11,45,1.720135,1.465840
pitchD2,12,427,1.715812,1.452001
pitchD2,13,290,1.704002,1.467751
pitchD2,14,551,1.683053,1.443552
pitchD2,15,995,1.683017,1.442859
pitchD2,16,355,1.680291,1.426725
pitchD2,17,611,1.678537,1.406294
pitchD2,18,1001,1.674059,1.429911
pitchD2,19,612,1.645764,1.449321
pitchD2,20,47,1.632805,1.379622
pitchD2,21,640,1.599688,1.399790
pitchD2,22,145,1.594840,1.441325
pitchD2,23,238,1.568434,1.364942
pitchD2,24,994,1.560442,1.361127
pitchD2,25,1006,1.556372,1.391058
pitchD2,26,184,1.540123,1.250854
pitchD2,27,419,1.533364,1.309621
pitchD2,28,443,1.512662,1.328042
pitchD2,29,501,1.510648,1.263691
pitchD2,30,951,1.510056,1.315391
pitchD4,1,963,1.971618,1.690431
pitchD4,2,880,1.960143,1.708580
pitchD4,3,629,1.954711,1.724877
pitchD4,4,4,1.906327,1.697474
pitchD4,5,70,1.879026,1.608378
pitchD4,6,698,1.814891,1.549778
pitchD4,7,400,1.788123,1.569354
pitchD4,8,757,1.786826,1.572727
pitchD4,9,834,1.779344,1.568596
pitchD4,10,941,1.748954,1.506191
pitchD4,11,355,1.740296,1.457294
pitchD4,12,995,1.736733,1.467841
pitchD4,13,612,1.698106,1.439280
pitchD4,14,45,1.697523,1.437843
pitchD4,15,551,1.691161,1.452041
pitchD4,16,427,1.690121,1.431482
pitchD4,17,290,1.682862,1.429815
pitchD4,18,1001,1.661591,1.424107
pitchD4,19,47,1.645064,1.389094
pitchD4,20,611,1.643062,1.368648
pitchD4,21,145,1.639315,1.486613
pitchD4,22,994,1.620929,1.373750
pitchD4,23,640,1.620067,1.398222
pitchD4,24,443,1.586275,1.394356
pitchD4,25,999,1.567253,1.328938
pitchD4,26,1006,1.565757,1.399978
pitchD4,27,238,1.560866,1.338207
pitchD4,28,345,1.534833,1.326510
pitchD4,29,419,1.528138,1.304853
pitchD4,30,951,1.520468,1.305590
pitchD4_tempo090,1,963,2.688733,2.096240
pitchD4_tempo090,2,880,2.665002,2.069198
pitchD4_tempo090,3,4,2.621880,2.029363
pitchD4_tempo090,4,834,2.586503,1.950572
pitchD4_tempo090,5,70,2.382865,1.755322
pitchD4_tempo090,6,629,2.350663,1.809663
pitchD4_tempo090,7,551,2.332047,1.714526
pitchD4_tempo090,8,145,2.326972,1.782942
pitchD4_tempo090,9,995,2.310353,1.730223
pitchD4_tempo090,10,400,2.268185,1.737691
pitchD4_tempo090,11,47,2.267563,1.627452
pitchD4_tempo090,12,757,2.264250,1.830303
pitchD4_tempo090,13,355,2.256882,1.734411
pitchD4_tempo090,14,640,2.255106,1.711655
pitchD4_tempo090,15,612,2.249367,1.732871
pitchD4_tempo090,16,427,2.248705,1.718993
pitchD4_tempo090,17,941,2.244235,1.692323
pitchD4_tempo090,18,710,2.222892,1.652516
pitchD4_tempo090,19,290,2.209446,1.643605
pitchD4_tempo090,20,698,2.199951,1.731033
pitchD4_tempo090,21,345,2.177793,1.591944
pitchD4_tempo090,22,1006,2.167859,1.653870
pitchD4_tempo090,23,272,2.167647,1.631423
pitchD4_tempo090,24,443,2.137959,1.642197
pitchD4_tempo090,25,362,2.114490,1.491527
pitchD4_tempo090,26,238,2.106273,1.626614
pitchD4_tempo090,27,869,2.101982,1.518293
pitchD4_tempo090,28,1001,2.100336,1.591088
pitchD4_tempo090,29,375,2.098335,1.614124
pitchD4_tempo090,30,906,2.094371,1.606337
pitchU2,1,880,1.946289,1.687491
pitchU2,2,963,1.938995,1.661685
pitchU2,3,629,1.905673,1.655112
pitchU2,4,4,1.876210,1.665707
pitchU2,5,70,1.845610,1.587633
pitchU2,6,757,1.809372,1.561867
pitchU2,7,698,1.794600,1.515480
pitchU2,8,400,1.765941,1.577609
pitchU2,9,355,1.725644,1.441821
pitchU2,10,427,1.721510,1.431534
pitchU2,11,834,1.717392,1.553528
pitchU2,12,941,1.695999,1.475662
pitchU2,13,45,1.694312,1.426661
pitchU2,14,47,1.692564,1.429606
pitchU2,15,995,1.673771,1.423193
pitchU2,16,551,1.667979,1.427588
pitchU2,17,145,1.652055,1.455023
pitchU2,18,611,1.648486,1.368021
pitchU2,19,1001,1.644049,1.428101
pitchU2,20,640,1.635190,1.491605
pitchU2,21,612,1.629064,1.392672
pitchU2,22,290,1.595636,1.378187
pitchU2,23,365,1.585722,1.397599
pitchU2,24,951,1.564265,1.347135
pitchU2,25,1006,1.556663,1.394258
pitchU2,26,238,1.551235,1.364421
pitchU2,27,994,1.542533,1.355331
pitchU2,28,443,1.526663,1.293945
pitchU2,29,419,1.524414,1.300368
pitchU2,30,345,1.519304,1.277423
pitchU4,1,880,1.971290,1.679057
pitchU4,2,4,1.912373,1.719708
pitchU4,3,70,1.891036,1.653846
pitchU4,4,963,1.880937,1.604808
pitchU4,5,629,1.868451,1.644963
pitchU4,6,757,1.815889,1.562264
pitchU4,7,400,1.771134,1.588727
