category,rank,dimension,mean_delta,std_delta
base,1,963,2.704509,2.045052
base,2,4,2.694485,1.982614
base,3,834,2.681348,1.941282
base,4,880,2.656998,2.087659
base,5,400,2.600165,2.021074
base,6,427,2.491415,1.847082
base,7,629,2.466469,1.894974
base,8,70,2.432017,1.803008
base,9,290,2.396138,1.750391
base,10,612,2.394927,1.788427
base,11,551,2.374044,1.711060
base,12,941,2.373402,1.785541
base,13,757,2.362198,1.871007
base,14,995,2.349226,1.739299
base,15,145,2.347916,1.795707
base,16,355,2.346982,1.712723
base,17,47,2.346922,1.709558
base,18,238,2.287743,1.736570
base,19,698,2.284474,1.722720
base,20,640,2.258305,1.751287
base,21,1001,2.254928,1.672484
base,22,710,2.222596,1.594798
base,23,443,2.216906,1.672235
base,24,994,2.204998,1.677752
base,25,611,2.196576,1.653645
base,26,639,2.191853,1.635967
base,27,631,2.186361,1.513430
base,28,563,2.157767,1.572299
base,29,470,2.148696,1.628543
base,30,1006,2.135481,1.699838
pitchD2,1,4,2.690434,2.019946
pitchD2,2,880,2.656865,2.025514
pitchD2,3,834,2.653681,1.937161
pitchD2,4,963,2.627148,2.023078
pitchD2,5,400,2.605599,1.989883
pitchD2,6,290,2.591213,1.848947
pitchD2,7,70,2.431639,1.821145
pitchD2,8,995,2.420350,1.748981
pitchD2,9,629,2.418659,1.850151
pitchD2,10,551,2.405901,1.752590
pitchD2,11,427,2.403983,1.801056
pitchD2,12,853,2.342373,1.536195
pitchD2,13,757,2.331750,1.837445
pitchD2,14,941,2.303876,1.729343
pitchD2,15,355,2.286069,1.664611
pitchD2,16,145,2.278655,1.723450
pitchD2,17,710,2.257253,1.649054
pitchD2,18,47,2.246805,1.650988
pitchD2,19,640,2.237752,1.738032
pitchD2,20,612,2.220642,1.689076
pitchD2,21,698,2.220439,1.717512
pitchD2,22,443,2.181044,1.703027
pitchD2,23,45,2.180955,1.697111
pitchD2,24,1006,2.178005,1.700317
pitchD2,25,631,2.177023,1.508151
pitchD2,26,639,2.174754,1.625443
pitchD2,27,590,2.174487,1.649244
pitchD2,28,994,2.161610,1.630010
pitchD2,29,1001,2.159941,1.624062
pitchD2,30,739,2.142482,1.647360
pitchD4,1,963,2.862376,2.138654
pitchD4,2,880,2.748202,2.096077
pitchD4,3,4,2.711944,2.024654
pitchD4,4,834,2.621326,1.940440
pitchD4,5,70,2.440651,1.760735
pitchD4,6,629,2.437833,1.872826
pitchD4,7,995,2.416888,1.759196
pitchD4,8,145,2.376516,1.810293
pitchD4,9,551,2.366798,1.740662
pitchD4,10,710,2.359916,1.735066
pitchD4,11,290,2.349599,1.693664
pitchD4,12,400,2.338877,1.813694
pitchD4,13,757,2.337048,1.837036
pitchD4,14,355,2.330114,1.755531
pitchD4,15,427,2.307863,1.763164
pitchD4,16,47,2.305351,1.674424
pitchD4,17,941,2.296295,1.765510
pitchD4,18,640,2.294909,1.817385
pitchD4,19,612,2.283684,1.719060
pitchD4,20,362,2.263152,1.565790
pitchD4,21,443,2.238549,1.690635
pitchD4,22,698,2.213403,1.732094
pitchD4,23,238,2.203352,1.668396
pitchD4,24,1001,2.184303,1.622725
pitchD4,25,345,2.143822,1.573120
pitchD4,26,639,2.139872,1.585974
pitchD4,27,272,2.136376,1.579137
pitchD4,28,611,2.128383,1.587847
pitchD4,29,322,2.127703,1.548977
pitchD4,30,375,2.125284,1.624362
pitchD4_tempo090,1,963,2.854885,2.117285
pitchD4_tempo090,2,880,2.769948,2.091766
pitchD4_tempo090,3,4,2.704278,2.054774
pitchD4_tempo090,4,834,2.688680,1.988428
pitchD4_tempo090,5,70,2.408154,1.775867
