category,rank,dimension,mean_delta,std_delta
base,1,880,2.014229,1.610200
base,2,629,1.993820,1.699609
base,3,70,1.876479,1.591661
base,4,4,1.859599,1.618181
base,5,963,1.859268,1.478727
base,6,757,1.778164,1.437420
base,7,45,1.732825,1.341329
base,8,941,1.709391,1.480741
base,9,834,1.690794,1.476156
base,10,611,1.685435,1.301885
base,11,419,1.684264,1.409874
base,12,995,1.680480,1.326963
base,13,698,1.679443,1.483818
base,14,47,1.669973,1.386381
base,15,427,1.662506,1.323409
base,16,612,1.653132,1.445113
base,17,400,1.650638,1.421180
base,18,211,1.613453,1.545472
base,19,673,1.568175,1.495961
base,20,1006,1.568160,1.372028
base,21,861,1.564460,1.426677
base,22,1001,1.563411,1.298947
base,23,443,1.563390,1.194687
base,24,822,1.561686,1.318042
base,25,749,1.553344,1.180577
base,26,355,1.545368,1.245925
base,27,640,1.539147,1.349780
base,28,145,1.533367,1.424839
base,29,999,1.520393,1.202059
base,30,551,1.519535,1.286038
pitchD2,1,629,1.995890,1.679811
pitchD2,2,963,1.924891,1.504608
pitchD2,3,880,1.922005,1.571193
pitchD2,4,941,1.880911,1.481907
pitchD2,5,4,1.849830,1.663262
pitchD2,6,70,1.848186,1.595533
pitchD2,7,698,1.826329,1.500131
pitchD2,8,834,1.778487,1.517463
pitchD2,9,757,1.777849,1.463209
pitchD2,10,611,1.771852,1.414696
pitchD2,11,427,1.761605,1.354004
pitchD2,12,45,1.752207,1.311873
pitchD2,13,400,1.723758,1.338182
pitchD2,14,995,1.685597,1.364745
pitchD2,15,47,1.668499,1.342782
pitchD2,16,355,1.653100,1.291612
pitchD2,17,1001,1.636069,1.352467
pitchD2,18,419,1.630252,1.335197
pitchD2,19,184,1.615162,1.192267
pitchD2,20,640,1.604168,1.385343
pitchD2,21,673,1.596700,1.587222
pitchD2,22,145,1.590842,1.453156
pitchD2,23,1006,1.584039,1.356730
pitchD2,24,999,1.583597,1.253075
pitchD2,25,158,1.583577,1.219128
pitchD2,26,259,1.579151,1.274256
pitchD2,27,612,1.571609,1.397362
pitchD2,28,211,1.560803,1.348069
pitchD2,29,468,1.556085,1.433394
pitchD2,30,951,1.541967,1.282948
pitchD4,1,629,2.004262,1.751384
pitchD4,2,70,1.969777,1.653247
pitchD4,3,880,1.950208,1.605639
pitchD4,4,698,1.936991,1.615068
pitchD4,5,963,1.927337,1.524445
pitchD4,6,941,1.894927,1.539459
pitchD4,7,4,1.864392,1.657033
pitchD4,8,757,1.829472,1.581034
pitchD4,9,834,1.796821,1.489949
pitchD4,10,355,1.742537,1.347484
pitchD4,11,995,1.722585,1.341934
pitchD4,12,262,1.710538,1.442016
pitchD4,13,427,1.706270,1.344876
pitchD4,14,45,1.685389,1.306300
pitchD4,15,468,1.677132,1.562234
pitchD4,16,999,1.669232,1.314708
pitchD4,17,673,1.663184,1.590852
pitchD4,18,611,1.654515,1.288386
pitchD4,19,612,1.643080,1.349215
pitchD4,20,1006,1.642573,1.415577
pitchD4,21,145,1.634023,1.483071
pitchD4,22,47,1.632753,1.310147
pitchD4,23,419,1.628301,1.352291
pitchD4,24,654,1.624292,1.448349
pitchD4,25,400,1.612860,1.279924
pitchD4,26,822,1.608328,1.381837
pitchD4,27,259,1.592728,1.314067
pitchD4,28,951,1.585842,1.296064
pitchD4,29,1001,1.573059,1.296311
pitchD4,30,861,1.567014,1.329669
pitchD4_tempo090,1,184,2.769207,1.543697
pitchD4_tempo090,2,47,2.630770,1.351390
pitchD4_tempo090,3,1006,2.591034,1.350250
pitchD4_tempo090,4,323,2.550361,1.413609
pitchD4_tempo090,5,707,2.544692,1.666705
pitchD4_tempo090,6,593,2.500216,1.180340
pitchD4_tempo090,7,475,2.492630,1.660105
pitchD4_tempo090,8,380,2.481611,1.634313
pitchD4_tempo090,9,63,2.471442,1.093288
pitchD4_tempo090,10,739,2.435430,2.084584
pitchD4_tempo090,11,848,2.427152,1.309004
pitchD4_tempo090,12,400,2.423412,1.465689
pitchD4_tempo090,13,590,2.416965,1.314037
pitchD4_tempo090,14,869,2.414814,1.330439
pitchD4_tempo090,15,145,2.413082,1.589616
pitchD4_tempo090,16,29,2.396629,1.554710
pitchD4_tempo090,17,506,2.371920,1.272091
pitchD4_tempo090,18,273,2.369278,1.472652
