category,rank,dimension,mean_delta,std_delta
Base,1,629,2.096409,1.727048
Base,2,880,2.088388,1.715222
Base,3,4,2.030330,1.688568
Base,4,963,2.007492,1.631581
Base,5,70,1.965991,1.604535
Base,6,400,1.932454,1.650937
Base,7,757,1.930930,1.564945
Base,8,834,1.868412,1.582916
Base,9,698,1.837021,1.515379
Base,10,941,1.830307,1.527100
Base,11,551,1.815026,1.483816
Base,12,45,1.803055,1.455567
Base,13,427,1.793777,1.457391
Base,14,995,1.788120,1.442891
Base,15,612,1.778521,1.497846
Base,16,611,1.778295,1.413103
Base,17,290,1.765990,1.446342
Base,18,1001,1.763717,1.432337
Base,19,355,1.756959,1.427517
Base,20,47,1.731517,1.411303
Base,21,419,1.695292,1.375693
Base,22,145,1.687871,1.472209
Base,23,640,1.680598,1.400287
Base,24,994,1.658714,1.402301
Base,25,443,1.656175,1.329211
Base,26,1006,1.652603,1.417559
Base,27,140,1.627536,1.348645
Base,28,238,1.606683,1.357521
Base,29,501,1.604870,1.300203
Base,30,999,1.595077,1.289550
Combined (Extreme),1,880,2.118079,1.770879
Combined (Extreme),2,963,2.055360,1.703147
Combined (Extreme),3,4,2.043486,1.785321
Combined (Extreme),4,70,1.986341,1.659162
Combined (Extreme),5,629,1.983239,1.695339
Combined (Extreme),6,757,1.951366,1.627820
Combined (Extreme),7,640,1.903003,1.576487
Combined (Extreme),8,941,1.897374,1.542645
Combined (Extreme),9,698,1.881907,1.566411
Combined (Extreme),10,400,1.869940,1.597709
Combined (Extreme),11,45,1.849388,1.511339
Combined (Extreme),12,834,1.813744,1.594267
Combined (Extreme),13,427,1.799636,1.512144
Combined (Extreme),14,612,1.798947,1.531863
Combined (Extreme),15,355,1.797434,1.473327
Combined (Extreme),16,995,1.794106,1.473861
Combined (Extreme),17,47,1.784099,1.502331
Combined (Extreme),18,551,1.777299,1.479065
Combined (Extreme),19,1006,1.746098,1.486240
Combined (Extreme),20,145,1.744816,1.520589
Combined (Extreme),21,1001,1.732826,1.449544
Combined (Extreme),22,290,1.720422,1.438015
Combined (Extreme),23,611,1.712053,1.377379
Combined (Extreme),24,994,1.695112,1.406458
Combined (Extreme),25,238,1.682601,1.431476
Combined (Extreme),26,639,1.679513,1.377599
Combined (Extreme),27,563,1.666992,1.376964
Combined (Extreme),28,951,1.658716,1.416014
Combined (Extreme),29,345,1.631911,1.347005
Combined (Extreme),30,443,1.631442,1.377258
Pitch Only,1,880,1.952431,1.687779
Pitch Only,2,963,1.922810,1.643014
Pitch Only,3,629,1.920385,1.680407
Pitch Only,4,4,1.900561,1.693797
Pitch Only,5,70,1.861159,1.611021
Pitch Only,6,400,1.797376,1.584165
Pitch Only,7,757,1.796548,1.558165
Pitch Only,8,698,1.783853,1.522437
Pitch Only,9,834,1.742219,1.564321
Pitch Only,10,941,1.741936,1.491620
Pitch Only,11,355,1.712172,1.435261
Pitch Only,12,45,1.707881,1.449506
Pitch Only,13,427,1.704313,1.439096
Pitch Only,14,995,1.693432,1.442765
Pitch Only,15,551,1.672965,1.440307
Pitch Only,16,47,1.665503,1.415876
Pitch Only,17,612,1.661363,1.438698
Pitch Only,18,1001,1.656897,1.427455
Pitch Only,19,290,1.654173,1.416844
Pitch Only,20,611,1.651065,1.375946
Pitch Only,21,640,1.650600,1.452859
Pitch Only,22,145,1.620364,1.458912
Pitch Only,23,1006,1.575507,1.413450
Pitch Only,24,994,1.573296,1.362662
Pitch Only,25,238,1.560071,1.363291
Pitch Only,26,951,1.540864,1.330029
Pitch Only,27,443,1.533246,1.328143
Pitch Only,28,419,1.528235,1.302755
Pitch Only,29,999,1.520718,1.302732
Pitch Only,30,345,1.515638,1.296593
Tempo Only,1,880,2.026360,1.764934
Tempo Only,2,629,1.999414,1.756635
Tempo Only,3,4,1.969794,1.738562
Tempo Only,4,963,1.961946,1.707833
Tempo Only,5,757,1.873579,1.600811
Tempo Only,6,70,1.868843,1.614089
Tempo Only,7,400,1.851129,1.668391
Tempo Only,8,834,1.802704,1.632542
Tempo Only,9,941,1.794493,1.544087
Tempo Only,10,427,1.770733,1.524595
Tempo Only,11,551,1.769769,1.524208
Tempo Only,12,698,1.760493,1.532546
Tempo Only,13,45,1.748583,1.509517
Tempo Only,14,290,1.745259,1.506467
Tempo Only,15,612,1.722810,1.524551
Tempo Only,16,995,1.722363,1.474544
Tempo Only,17,1001,1.699310,1.462104
Tempo Only,18,355,1.699154,1.468031
Tempo Only,19,611,1.686542,1.414683
Tempo Only,20,47,1.676474,1.445058
Tempo Only,21,640,1.674288,1.445590
Tempo Only,22,145,1.651330,1.497989
Tempo Only,23,994,1.630030,1.447423
Tempo Only,24,1006,1.619499,1.458176
Tempo Only,25,443,1.618562,1.366570
Tempo Only,26,419,1.615828,1.387221
Tempo Only,27,238,1.586867,1.420058
Tempo Only,28,639,1.572701,1.358861
Tempo Only,29,501,1.561338,1.330483
Tempo Only,30,140,1.559824,1.389452
