category,rank,dimension,mean_delta,std_delta
base,1,331,4.501488,1.149702
base,2,698,4.461154,0.877210
base,3,629,4.377743,2.524267
base,4,937,3.972586,0.738833
base,5,774,3.926939,0.118097
base,6,184,3.875012,0.615242
base,7,551,3.790287,2.300659
base,8,645,3.565968,1.807629
base,9,666,3.501676,0.686106
base,10,710,3.465921,0.057338
base,11,959,3.446960,1.066590
base,12,1001,3.427896,0.263480
base,13,978,3.398863,1.579242
base,14,1004,3.398406,0.521315
base,15,487,3.288960,0.637783
base,16,290,3.236795,1.001444
base,17,468,3.220089,1.785132
base,18,675,3.179993,0.224424
base,19,364,3.159719,0.412196
base,20,198,3.157027,2.344047
base,21,495,3.111822,2.319876
base,22,197,3.091468,1.247019
base,23,223,3.085881,0.445215
base,24,941,3.068759,1.570722
base,25,677,3.066045,1.768851
base,26,312,3.038080,1.036483
base,27,464,2.993889,0.097728
base,28,1018,2.976585,0.388445
base,29,357,2.969469,2.808626
base,30,447,2.938134,2.105213
pitchD2,1,629,6.686184,0.000000
pitchD2,2,468,6.338486,0.000000
pitchD2,3,198,6.110536,0.000000
pitchD2,4,316,5.313532,0.000000
pitchD2,5,242,5.245798,0.000000
pitchD2,6,357,5.230322,0.000000
pitchD2,7,551,5.193262,0.000000
pitchD2,8,703,5.129212,0.000000
pitchD2,9,331,5.077231,0.000000
pitchD2,10,495,5.001921,0.000000
pitchD2,11,197,4.950865,0.000000
pitchD2,12,797,4.881895,0.000000
pitchD2,13,677,4.754910,0.000000
pitchD2,14,645,4.694110,0.000000
pitchD2,15,379,4.667358,0.000000
pitchD2,16,333,4.629715,0.000000
pitchD2,17,447,4.602929,0.000000
pitchD2,18,359,4.586230,0.000000
pitchD2,19,865,4.553007,0.000000
pitchD2,20,698,4.508667,0.000000
pitchD2,21,290,4.505062,0.000000
pitchD2,22,941,4.474964,0.000000
pitchD2,23,428,4.413305,0.000000
pitchD2,24,32,4.412944,0.000000
pitchD2,25,762,4.290101,0.000000
pitchD2,26,312,4.228533,0.000000
pitchD2,27,978,4.175588,0.000000
pitchD2,28,202,4.133762,0.000000
pitchD2,29,994,4.077543,0.000000
pitchD2,30,666,3.993020,0.000000
pitchD4,1,551,6.447902,0.000000
pitchD4,2,32,6.309202,0.000000
pitchD4,3,629,6.249446,0.000000
pitchD4,4,357,5.895285,0.000000
pitchD4,5,379,5.725630,0.000000
pitchD4,6,698,5.573151,0.000000
pitchD4,7,994,5.318062,0.000000
pitchD4,8,762,5.223374,0.000000
pitchD4,9,495,5.222208,0.000000
pitchD4,10,447,5.179968,0.000000
pitchD4,11,242,5.127967,0.000000
pitchD4,12,198,5.127044,0.000000
pitchD4,13,331,4.977984,0.000000
pitchD4,14,197,4.945712,0.000000
pitchD4,15,703,4.928679,0.000000
pitchD4,16,645,4.872032,0.000000
pitchD4,17,316,4.870358,0.000000
pitchD4,18,677,4.864076,0.000000
pitchD4,19,941,4.762576,0.000000
pitchD4,20,978,4.711185,0.000000
pitchD4,21,679,4.583715,0.000000
pitchD4,22,960,4.511662,0.000000
pitchD4,23,288,4.387920,0.000000
pitchD4,24,448,4.377085,0.000000
pitchD4,25,569,4.344487,0.000000
pitchD4,26,359,4.322258,0.000000
pitchD4,27,223,4.287681,0.000000
pitchD4,28,283,4.244599,0.000000
pitchD4,29,234,4.243114,0.000000
pitchD4,30,774,4.236176,0.000000
pitchU2,1,357,5.823680,0.000000
pitchU2,2,379,5.805217,0.000000
pitchU2,3,495,5.457743,0.000000
pitchU2,4,629,5.416458,0.000000
pitchU2,5,645,5.285473,0.000000
pitchU2,6,197,5.167846,0.000000
pitchU2,7,468,5.133932,0.000000
pitchU2,8,978,5.131466,0.000000
pitchU2,9,242,5.065658,0.000000
pitchU2,10,677,5.008057,0.000000
pitchU2,11,447,4.920943,0.000000
pitchU2,12,198,4.843189,0.000000
pitchU2,13,774,4.776866,0.000000
pitchU2,14,551,4.684540,0.000000
pitchU2,15,695,4.680820,0.000000
pitchU2,16,333,4.664157,0.000000
pitchU2,17,698,4.646113,0.000000
pitchU2,18,158,4.613871,0.000000
pitchU2,19,703,4.560816,0.000000
pitchU2,20,331,4.553195,0.000000
pitchU2,21,283,4.429531,0.000000
pitchU2,22,762,4.422028,0.000000
pitchU2,23,907,4.385954,0.000000
pitchU2,24,960,4.353124,0.000000
pitchU2,25,994,4.267899,0.000000
pitchU2,26,290,4.245311,0.000000
pitchU2,27,100,4.148162,0.000000
pitchU2,28,107,4.124523,0.000000
pitchU2,29,419,4.087355,0.000000
