category,rank,dimension,mean_delta,std_delta
base,1,629,1.954456,1.635162
base,2,757,1.779232,1.425865
base,3,880,1.760392,1.527230
base,4,4,1.754535,1.436969
base,5,70,1.735681,1.445776
base,6,611,1.728171,1.422541
base,7,551,1.714918,1.416049
base,8,963,1.701301,1.405392
base,9,290,1.696581,1.330202
base,10,400,1.646827,1.484746
base,11,698,1.561644,1.242002
base,12,1001,1.548267,1.188805
base,13,834,1.530033,1.311943
base,14,995,1.525936,1.356524
base,15,501,1.521651,1.274922
base,16,427,1.516711,1.274946
base,17,57,1.494045,1.216611
base,18,941,1.485934,1.223548
base,19,305,1.483603,1.205780
base,20,419,1.466093,1.223698
base,21,563,1.452493,1.259780
base,22,145,1.448109,1.209425
base,23,612,1.443114,1.239798
base,24,640,1.440121,1.091733
base,25,632,1.438454,1.260578
base,26,355,1.425091,1.234154
base,27,47,1.415842,1.149152
base,28,994,1.409646,1.171210
base,29,530,1.408122,1.117968
base,30,951,1.406644,1.138553
pitchD2,1,629,2.074370,1.621110
pitchD2,2,290,1.882418,1.424430
pitchD2,3,4,1.863877,1.454301
pitchD2,4,880,1.844972,1.568182
pitchD2,5,400,1.808666,1.525986
pitchD2,6,757,1.793752,1.420251
pitchD2,7,70,1.772713,1.452480
pitchD2,8,551,1.751371,1.407256
pitchD2,9,963,1.745321,1.403399
pitchD2,10,611,1.712924,1.354242
pitchD2,11,698,1.624823,1.290869
pitchD2,12,1001,1.618718,1.264937
pitchD2,13,57,1.591063,1.213340
pitchD2,14,427,1.578412,1.342372
pitchD2,15,941,1.574757,1.226893
pitchD2,16,995,1.570071,1.323238
pitchD2,17,355,1.558813,1.294753
pitchD2,18,553,1.556226,1.214196
pitchD2,19,834,1.551973,1.338756
pitchD2,20,994,1.548946,1.250950
pitchD2,21,501,1.544977,1.248283
pitchD2,22,47,1.527981,1.201732
pitchD2,23,612,1.524121,1.317350
pitchD2,24,277,1.523799,1.098294
pitchD2,25,563,1.521513,1.341307
pitchD2,26,632,1.520778,1.247749
pitchD2,27,640,1.519754,1.205894
pitchD2,28,580,1.514299,1.194034
pitchD2,29,443,1.508424,1.229927
pitchD2,30,145,1.492214,1.222251
pitchD4,1,629,2.095616,1.655707
pitchD4,2,290,1.966666,1.467475
pitchD4,3,880,1.895693,1.598005
pitchD4,4,4,1.886912,1.504486
pitchD4,5,400,1.858592,1.567632
pitchD4,6,963,1.832654,1.423824
pitchD4,7,70,1.824333,1.454219
pitchD4,8,757,1.809303,1.418608
pitchD4,9,551,1.762689,1.413246
pitchD4,10,611,1.697561,1.374013
pitchD4,11,995,1.680184,1.439153
pitchD4,12,1001,1.652349,1.305920
pitchD4,13,698,1.628535,1.322974
pitchD4,14,612,1.625115,1.338923
pitchD4,15,640,1.624705,1.287631
pitchD4,16,427,1.611649,1.302916
pitchD4,17,994,1.610600,1.248490
pitchD4,18,580,1.607666,1.232073
pitchD4,19,355,1.598366,1.282645
pitchD4,20,501,1.597698,1.274590
pitchD4,21,47,1.594333,1.248564
pitchD4,22,834,1.575019,1.349187
pitchD4,23,553,1.571864,1.214691
pitchD4,24,639,1.552853,1.214402
pitchD4,25,272,1.547533,1.242604
pitchD4,26,145,1.543953,1.313159
pitchD4,27,57,1.543228,1.177735
pitchD4,28,443,1.543047,1.240090
