category,rank,dimension,mean_delta,std_delta
base,1,400,2.158401,1.665823
base,2,4,2.015665,1.600269
base,3,880,1.988320,1.612680
base,4,629,1.979473,1.605684
base,5,963,1.976383,1.557835
base,6,698,1.969263,1.500381
base,7,290,1.964482,1.493641
base,8,238,1.957344,1.446429
base,9,355,1.936788,1.524703
base,10,1001,1.922079,1.517294
base,11,70,1.908857,1.499604
base,12,906,1.877153,1.453883
base,13,757,1.863708,1.482106
base,14,834,1.842843,1.491615
base,15,365,1.834702,1.464105
base,16,995,1.823736,1.416468
base,17,611,1.802007,1.452376
base,18,427,1.799957,1.374884
base,19,563,1.793195,1.424012
base,20,612,1.792388,1.370963
base,21,258,1.762592,1.361639
base,22,551,1.759951,1.393988
base,23,639,1.758227,1.335481
base,24,941,1.744813,1.409086
base,25,501,1.743055,1.312478
base,26,140,1.735678,1.434430
base,27,193,1.715324,1.314483
base,28,345,1.708061,1.362560
base,29,951,1.706152,1.312507
base,30,999,1.705554,1.363983
pitchD2,1,400,2.213571,1.690976
pitchD2,2,963,2.194504,1.627422
pitchD2,3,238,2.111786,1.563497
pitchD2,4,4,2.089345,1.626467
pitchD2,5,290,2.083119,1.604507
pitchD2,6,880,2.049268,1.625144
pitchD2,7,698,2.014509,1.523022
pitchD2,8,355,2.008746,1.580631
pitchD2,9,629,2.004075,1.656220
pitchD2,10,70,1.945450,1.535186
pitchD2,11,906,1.922828,1.507468
pitchD2,12,1001,1.919294,1.535000
pitchD2,13,834,1.901990,1.572297
pitchD2,14,995,1.896772,1.476508
pitchD2,15,612,1.888384,1.392706
pitchD2,16,551,1.850426,1.397344
pitchD2,17,365,1.849797,1.392253
pitchD2,18,427,1.849770,1.409873
pitchD2,19,757,1.846332,1.458435
pitchD2,20,563,1.804325,1.383135
pitchD2,21,47,1.798312,1.440723
pitchD2,22,329,1.790171,1.267669
pitchD2,23,994,1.786321,1.387619
pitchD2,24,999,1.784932,1.408401
pitchD2,25,941,1.777346,1.435738
pitchD2,26,501,1.772154,1.334106
pitchD2,27,611,1.769513,1.411688
pitchD2,28,639,1.758112,1.360266
pitchD2,29,193,1.753467,1.295815
pitchD2,30,1006,1.750957,1.408005
pitchD4,1,963,2.341329,1.708414
pitchD4,2,400,2.230277,1.764270
pitchD4,3,290,2.117108,1.565973
pitchD4,4,880,2.104851,1.710039
pitchD4,5,4,2.096402,1.678235
