category,rank,dimension,mean_delta,std_delta
base,1,629,1.970824,1.626584
base,2,880,1.788299,1.480490
base,3,757,1.776176,1.402471
base,4,70,1.712336,1.430630
base,5,963,1.707343,1.392063
base,6,4,1.707185,1.365199
base,7,551,1.687180,1.331806
base,8,400,1.674318,1.430724
base,9,698,1.657020,1.388287
base,10,941,1.620454,1.343242
base,11,355,1.593888,1.251341
base,12,1001,1.577195,1.338168
base,13,611,1.534463,1.244902
base,14,834,1.521215,1.328918
base,15,45,1.495342,1.188889
base,16,290,1.491974,1.258611
base,17,140,1.484915,1.302945
base,18,995,1.483367,1.190217
base,19,612,1.477018,1.191933
base,20,427,1.460560,1.201657
base,21,57,1.439128,1.238413
base,22,375,1.429705,1.192100
base,23,47,1.427956,1.130080
base,24,419,1.417063,1.178939
base,25,145,1.416995,1.157680
base,26,501,1.414625,1.181631
base,27,994,1.413263,1.194524
base,28,424,1.397255,1.108147
base,29,66,1.396406,1.133909
base,30,562,1.392390,1.110601
pitchD2,1,629,2.185408,1.671843
pitchD2,2,400,1.927024,1.603442
pitchD2,3,880,1.910760,1.512581
pitchD2,4,941,1.869261,1.470826
pitchD2,5,70,1.832727,1.498980
pitchD2,6,4,1.825388,1.394383
pitchD2,7,757,1.770483,1.451827
pitchD2,8,698,1.763323,1.469230
pitchD2,9,963,1.761931,1.436027
pitchD2,10,1001,1.741347,1.388748
pitchD2,11,551,1.721431,1.316059
pitchD2,12,612,1.694204,1.333249
pitchD2,13,45,1.678475,1.374519
pitchD2,14,290,1.668743,1.321141
pitchD2,15,355,1.655755,1.345641
pitchD2,16,611,1.641102,1.296350
pitchD2,17,387,1.602068,1.245198
pitchD2,18,994,1.595623,1.198353
pitchD2,19,427,1.594733,1.285411
pitchD2,20,834,1.574132,1.354145
pitchD2,21,47,1.569861,1.201537
pitchD2,22,995,1.567751,1.210211
pitchD2,23,57,1.563581,1.299253
pitchD2,24,145,1.543510,1.253388
pitchD2,25,140,1.541151,1.277073
pitchD2,26,402,1.535889,1.226783
pitchD2,27,66,1.515663,1.196297
pitchD2,28,238,1.513222,1.285149
pitchD2,29,375,1.510682,1.236310
pitchD2,30,184,1.505779,1.196168
pitchD4,1,629,2.262706,1.704816
pitchD4,2,400,1.945198,1.626221
pitchD4,3,880,1.942677,1.545713
pitchD4,4,963,1.875569,1.541403
pitchD4,5,70,1.859516,1.484054
pitchD4,6,4,1.846442,1.426748
pitchD4,7,290,1.786013,1.402708
pitchD4,8,698,1.782138,1.444320
pitchD4,9,941,1.739150,1.389518
pitchD4,10,45,1.737776,1.359985
pitchD4,11,551,1.732012,1.345503
pitchD4,12,757,1.727507,1.408472
pitchD4,13,355,1.721110,1.328638
pitchD4,14,994,1.720936,1.236952
pitchD4,15,611,1.705469,1.314977
pitchD4,16,612,1.694978,1.317711
pitchD4,17,1001,1.694028,1.437274
pitchD4,18,427,1.641869,1.302909
pitchD4,19,402,1.633308,1.285074
pitchD4,20,995,1.630247,1.238713
pitchD4,21,834,1.617552,1.381904
pitchD4,22,640,1.597208,1.279288
pitchD4,23,171,1.596621,1.192210
pitchD4,24,57,1.579753,1.255813
pitchD4,25,140,1.560254,1.281930
pitchD4,26,501,1.558815,1.260477
pitchD4,27,47,1.554262,1.276342
pitchD4,28,661,1.548187,1.219521
pitchD4,29,599,1.535771,1.239605
pitchD4,30,66,1.531382,1.219978
pitchD4_tempo090,1,880,3.567401,2.202746
pitchD4_tempo090,2,629,3.280950,1.949144
pitchD4_tempo090,3,16,2.754616,1.664890
pitchD4_tempo090,4,632,2.697907,2.106326
pitchD4_tempo090,5,995,2.590648,1.343853
pitchD4_tempo090,6,70,2.537552,1.904376
pitchD4_tempo090,7,553,2.505202,1.224141
pitchD4_tempo090,8,679,2.493597,0.993704
pitchD4_tempo090,9,205,2.449955,1.753075
pitchD4_tempo090,10,985,2.427111,2.211671
pitchD4_tempo090,11,991,2.383101,1.275052
pitchD4_tempo090,12,580,2.343313,1.456288
pitchD4_tempo090,13,933,2.328549,2.246949
pitchD4_tempo090,14,204,2.315577,1.465979
pitchD4_tempo090,15,85,2.306116,1.446025
pitchD4_tempo090,16,849,2.282621,2.542689
pitchD4_tempo090,17,590,2.280988,2.815613
pitchD4_tempo090,18,419,2.275848,1.349311
pitchD4_tempo090,19,402,2.263149,1.385426
pitchD4_tempo090,20,66,2.246292,1.193928
pitchD4_tempo090,21,1,2.243674,1.389099
pitchD4_tempo090,22,779,2.223678,1.851088
pitchD4_tempo090,23,528,2.223127,1.200622
pitchD4_tempo090,24,176,2.187685,1.846930
pitchD4_tempo090,25,951,2.184136,1.022542
pitchD4_tempo090,26,190,2.176071,1.785901
pitchD4_tempo090,27,879,2.169708,1.323696
pitchD4_tempo090,28,781,2.169325,1.393425
pitchD4_tempo090,29,357,2.165374,1.437448
pitchD4_tempo090,30,331,2.164771,1.174944
pitchU2,1,629,2.060137,1.648752
pitchU2,2,880,1.934559,1.548650
pitchU2,3,400,1.921070,1.643264
pitchU2,4,70,1.882081,1.508165
pitchU2,5,698,1.848855,1.462056
pitchU2,6,757,1.847911,1.466563
pitchU2,7,963,1.810536,1.458672
pitchU2,8,4,1.766393,1.423429
pitchU2,9,941,1.757436,1.477053
pitchU2,10,1001,1.728860,1.453115
pitchU2,11,355,1.723649,1.299501
pitchU2,12,551,1.720799,1.330697
pitchU2,13,45,1.687106,1.306934
pitchU2,14,290,1.681064,1.354916
pitchU2,15,834,1.655580,1.400293
pitchU2,16,427,1.627314,1.238849
pitchU2,17,612,1.616052,1.290963
pitchU2,18,994,1.587764,1.273224
pitchU2,19,145,1.584959,1.241648
pitchU2,20,995,1.584659,1.244298
pitchU2,21,611,1.577444,1.213574
pitchU2,22,387,1.574051,1.258786
pitchU2,23,419,1.570051,1.227735
pitchU2,24,140,1.542488,1.294863
pitchU2,25,375,1.532055,1.214476
pitchU2,26,47,1.524560,1.198215
pitchU2,27,57,1.519912,1.260006
pitchU2,28,402,1.512192,1.192777
pitchU2,29,1006,1.511159,1.222980
pitchU2,30,142,1.503769,1.238781
pitchU4,1,629,1.951060,1.593110
pitchU4,2,880,1.905087,1.482950
pitchU4,3,400,1.853430,1.527557
pitchU4,4,757,1.849208,1.450207
pitchU4,5,698,1.844528,1.435249
pitchU4,6,70,1.840463,1.478109
pitchU4,7,963,1.796615,1.430537
pitchU4,8,941,1.753550,1.477557
pitchU4,9,551,1.753262,1.388555
pitchU4,10,4,1.731435,1.411294
pitchU4,11,1001,1.689867,1.422899
pitchU4,12,290,1.688708,1.367111
pitchU4,13,640,1.685624,1.348616
pitchU4,14,355,1.683042,1.255564
pitchU4,15,995,1.651537,1.237948
pitchU4,16,45,1.650010,1.303349
pitchU4,17,834,1.634506,1.389117
pitchU4,18,427,1.622007,1.293301
pitchU4,19,611,1.616201,1.262272
pitchU4,20,994,1.608800,1.256039
pitchU4,21,387,1.598152,1.249148
pitchU4,22,612,1.582951,1.266939
pitchU4,23,657,1.560879,1.196693
pitchU4,24,57,1.558716,1.278933
pitchU4,25,47,1.557182,1.225503
pitchU4,26,1016,1.552372,1.285993
pitchU4,27,424,1.528596,1.229923
pitchU4,28,66,1.525738,1.235725
pitchU4,29,375,1.525622,1.178702
pitchU4,30,419,1.523553,1.213999
pitchU4_tempo110,1,400,2.087538,1.641513
pitchU4_tempo110,2,629,2.051428,1.623879
pitchU4_tempo110,3,880,1.977408,1.590325
pitchU4_tempo110,4,757,1.947497,1.544763
pitchU4_tempo110,5,941,1.922817,1.648491
pitchU4_tempo110,6,70,1.891491,1.502654
pitchU4_tempo110,7,698,1.888037,1.505860
pitchU4_tempo110,8,4,1.843732,1.479766
pitchU4_tempo110,9,963,1.842467,1.453900
