category,rank,dimension,mean_delta,std_delta
bass,1,629,2.001591,1.649504
bass,2,4,1.895718,1.547652
bass,3,290,1.839789,1.397745
bass,4,880,1.835864,1.560203
bass,5,400,1.818728,1.568751
bass,6,757,1.815811,1.431716
bass,7,70,1.799845,1.468293
bass,8,963,1.771955,1.441285
bass,9,551,1.757604,1.427923
bass,10,611,1.750459,1.403174
bass,11,698,1.680146,1.386942
bass,12,995,1.610376,1.363436
bass,13,640,1.602846,1.254887
bass,14,1001,1.600574,1.261358
bass,15,427,1.593524,1.324391
bass,16,501,1.591790,1.287159
bass,17,834,1.566570,1.358773
bass,18,57,1.563208,1.226800
bass,19,994,1.547691,1.244212
bass,20,941,1.538467,1.238508
bass,21,563,1.533482,1.303568
bass,22,355,1.529657,1.253124
bass,23,612,1.528708,1.284945
bass,24,145,1.508204,1.250412
bass,25,305,1.505184,1.204963
bass,26,47,1.504466,1.219129
bass,27,632,1.503273,1.284339
bass,28,443,1.494194,1.199910
bass,29,419,1.479150,1.220135
bass,30,277,1.475741,1.066495
drums,1,238,2.175916,1.583932
drums,2,400,2.171504,1.700335
drums,3,963,2.161104,1.617334
drums,4,4,2.082081,1.641554
drums,5,880,2.054215,1.651684
drums,6,290,2.010609,1.539483
drums,7,355,1.996684,1.574073
drums,8,629,1.986890,1.644393
drums,9,698,1.981034,1.478125
drums,10,612,1.944636,1.442343
drums,11,70,1.939110,1.492934
drums,12,995,1.927252,1.462106
drums,13,365,1.920660,1.476224
drums,14,1001,1.916499,1.485642
drums,15,906,1.906765,1.509822
drums,16,757,1.889499,1.508056
drums,17,427,1.869812,1.416813
drums,18,834,1.865439,1.516516
drums,19,563,1.858662,1.413644
drums,20,640,1.820190,1.317003
drums,21,551,1.819287,1.430757
drums,22,941,1.816637,1.424325
drums,23,639,1.799081,1.374716
drums,24,47,1.792522,1.404425
drums,25,329,1.786343,1.265933
drums,26,193,1.780802,1.349032
drums,27,611,1.776997,1.429613
drums,28,994,1.775363,1.365197
drums,29,501,1.761727,1.346212
drums,30,951,1.758103,1.391096
other,1,629,2.091448,1.656175
other,2,880,1.912096,1.539950
other,3,400,1.891975,1.583399
other,4,757,1.828969,1.453878
other,5,70,1.826294,1.483228
other,6,4,1.798372,1.431551
other,7,963,1.789291,1.449570
other,8,698,1.784262,1.440030
other,9,941,1.768070,1.465537
other,10,551,1.737753,1.352629
other,11,1001,1.701993,1.412046
other,12,355,1.669660,1.302019
other,13,45,1.662310,1.330549
other,14,290,1.652790,1.333107
other,15,611,1.630103,1.276789
other,16,427,1.604794,1.284959
other,17,612,1.603428,1.276329
other,18,834,1.603394,1.371284
other,19,995,1.590539,1.228619
other,20,994,1.582605,1.250906
other,21,57,1.549755,1.276766
other,22,640,1.548653,1.245435
other,23,387,1.544057,1.222220
other,24,140,1.538310,1.298522
other,25,47,1.523818,1.214594
other,26,145,1.520504,1.237196
other,27,375,1.515152,1.210919
other,28,66,1.510390,1.214880
other,29,419,1.503029,1.204030
other,30,402,1.500903,1.206944
