category,rank,dimension,mean_delta,std_delta
base,1,45,2.486507,1.783276
base,2,4,2.401011,1.840199
base,3,551,2.398114,1.714246
base,4,400,2.396201,1.851249
base,5,629,2.357565,1.800638
base,6,880,2.354067,1.852380
base,7,290,2.321111,1.650804
base,8,963,2.296410,1.784347
base,9,757,2.280790,1.764010
base,10,70,2.226660,1.650910
base,11,834,2.190907,1.639523
base,12,941,2.188234,1.646517
base,13,698,2.138743,1.550612
base,14,652,2.124069,1.447936
base,15,1001,2.089041,1.551246
base,16,355,2.080996,1.577910
base,17,612,2.067441,1.629757
base,18,994,2.044389,1.507104
base,19,67,2.020768,1.406774
base,20,427,2.003441,1.554619
base,21,387,2.001926,1.458871
base,22,995,1.999715,1.553955
base,23,689,1.993695,1.459020
base,24,470,1.991684,1.504450
base,25,640,1.982377,1.501953
base,26,345,1.981835,1.447944
base,27,145,1.945378,1.520691
base,28,140,1.942427,1.537063
base,29,87,1.929018,1.388054
base,30,443,1.928069,1.466705
pitchD2,1,45,2.615833,1.842337
pitchD2,2,4,2.445405,1.863878
pitchD2,3,880,2.431826,1.877242
pitchD2,4,551,2.430138,1.744691
pitchD2,5,400,2.403498,1.811015
pitchD2,6,629,2.319085,1.803491
pitchD2,7,963,2.304112,1.751994
pitchD2,8,290,2.278813,1.695865
pitchD2,9,70,2.241114,1.669906
pitchD2,10,757,2.222115,1.728538
pitchD2,11,834,2.217425,1.691956
pitchD2,12,612,2.149961,1.632941
pitchD2,13,1001,2.129459,1.570681
pitchD2,14,941,2.127096,1.641693
pitchD2,15,355,2.107776,1.568798
pitchD2,16,652,2.087640,1.450428
pitchD2,17,427,2.072315,1.592193
pitchD2,18,698,2.064650,1.569158
pitchD2,19,387,2.058208,1.509156
pitchD2,20,345,2.046009,1.509348
pitchD2,21,995,2.040895,1.549822
pitchD2,22,470,2.028940,1.560615
pitchD2,23,443,2.018640,1.569157
pitchD2,24,562,2.010252,1.491074
pitchD2,25,640,2.003968,1.497662
pitchD2,26,689,2.000979,1.467617
pitchD2,27,994,1.994199,1.485131
pitchD2,28,145,1.986333,1.512137
pitchD2,29,238,1.965747,1.517052
pitchD2,30,87,1.959484,1.452211
pitchD4,1,45,2.591072,1.780879
pitchD4,2,880,2.419471,1.833456
pitchD4,3,400,2.376789,1.816732
pitchD4,4,963,2.364825,1.882344
pitchD4,5,4,2.364338,1.860090
pitchD4,6,551,2.344855,1.678364
pitchD4,7,290,2.317784,1.640113
pitchD4,8,834,2.269156,1.670424
pitchD4,9,70,2.235528,1.685322
pitchD4,10,629,2.230971,1.691358
pitchD4,11,757,2.203668,1.674559
pitchD4,12,1001,2.200122,1.613698
pitchD4,13,995,2.160801,1.608291
pitchD4,14,698,2.157886,1.573232
pitchD4,15,355,2.156542,1.574798
pitchD4,16,652,2.145976,1.485019
pitchD4,17,345,2.103747,1.527338
pitchD4,18,612,2.101052,1.581516
pitchD4,19,689,2.075473,1.475296
pitchD4,20,941,2.063414,1.571620
pitchD4,21,994,2.057492,1.513157
pitchD4,22,427,2.056730,1.572991
pitchD4,23,443,2.049489,1.626395
pitchD4,24,539,2.015592,1.391013
pitchD4,25,640,2.013246,1.532122
pitchD4,26,145,1.997738,1.529537
pitchD4,27,47,1.989064,1.473343
pitchD4,28,470,1.970664,1.526939
pitchD4,29,87,1.969687,1.448858
pitchD4,30,140,1.968544,1.586676
pitchD4_tempo090,1,629,3.322778,1.876669
pitchD4_tempo090,2,880,3.016438,1.537072
pitchD4_tempo090,3,442,2.946093,2.104375
pitchD4_tempo090,4,1001,2.825809,1.589294
pitchD4_tempo090,5,1010,2.716002,1.437690
pitchD4_tempo090,6,272,2.697668,1.785995
pitchD4_tempo090,7,66,2.668841,2.095049
pitchD4_tempo090,8,551,2.614513,1.953089
pitchD4_tempo090,9,450,2.584533,1.919281
pitchD4_tempo090,10,4,2.537683,1.972493
pitchD4_tempo090,11,427,2.518723,1.688035
pitchD4_tempo090,12,800,2.486261,1.341525
