category,rank,dimension,mean_delta,std_delta
pitchD2,1,880,0.731272,0.680584
pitchD2,2,400,0.721714,0.634611
pitchD2,3,4,0.715201,0.717270
pitchD2,4,941,0.706830,0.677390
pitchD2,5,70,0.702940,0.634418
pitchD2,6,611,0.693208,0.642348
pitchD2,7,963,0.687958,0.568148
pitchD2,8,757,0.684492,0.588603
pitchD2,9,698,0.658306,0.563167
pitchD2,10,612,0.655908,0.545074
pitchD2,11,184,0.651106,0.615337
pitchD2,12,629,0.646976,0.555901
pitchD2,13,1001,0.634874,0.560321
pitchD2,14,219,0.634601,0.672952
pitchD2,15,427,0.634239,0.552898
pitchD2,16,551,0.630982,0.574869
pitchD2,17,45,0.630780,0.528590
pitchD2,18,501,0.630382,0.588262
pitchD2,19,152,0.629828,0.670672
pitchD2,20,931,0.628510,0.758706
pitchD2,21,47,0.627117,0.549622
pitchD2,22,687,0.626963,0.569557
pitchD2,23,539,0.625381,0.612013
pitchD2,24,346,0.624976,0.618383
pitchD2,25,994,0.623919,0.597632
pitchD2,26,563,0.622941,0.651421
pitchD2,27,290,0.621821,0.575740
pitchD2,28,562,0.621595,0.545437
pitchD2,29,365,0.621387,0.612026
pitchD2,30,834,0.619075,0.536428
pitchD4,1,640,0.749046,0.843761
pitchD4,2,963,0.712922,0.681058
pitchD4,3,698,0.709754,0.696136
pitchD4,4,612,0.706191,0.612754
pitchD4,5,611,0.691073,0.638090
pitchD4,6,880,0.690697,0.574001
pitchD4,7,1009,0.682888,0.695368
pitchD4,8,4,0.679056,0.606604
pitchD4,9,70,0.678891,0.641531
pitchD4,10,1016,0.659769,0.694651
pitchD4,11,3,0.655534,0.695506
pitchD4,12,548,0.655366,0.647874
pitchD4,13,47,0.649233,0.593772
pitchD4,14,355,0.643509,0.607930
pitchD4,15,639,0.643299,0.707072
pitchD4,16,757,0.639656,0.585995
pitchD4,17,449,0.639565,0.708740
pitchD4,18,290,0.637674,0.557641
pitchD4,19,999,0.637339,0.617490
pitchD4,20,429,0.636831,0.640661
pitchD4,21,427,0.634154,0.586335
pitchD4,22,400,0.633710,0.627208
pitchD4,23,145,0.631393,0.628288
pitchD4,24,259,0.627635,0.657353
pitchD4,25,562,0.625676,0.599225
pitchD4,26,580,0.624126,0.659485
pitchD4,27,389,0.623259,0.726316
pitchD4,28,1001,0.623023,0.519105
pitchD4,29,45,0.622591,0.563976
pitchD4,30,994,0.616688,0.591593
pitchD4_tempo090,1,640,2.203717,1.464374
pitchD4_tempo090,2,982,1.922706,1.153855
pitchD4_tempo090,3,678,1.860318,0.956143
pitchD4_tempo090,4,70,1.856963,1.100334
pitchD4_tempo090,5,4,1.721680,1.281308
pitchD4_tempo090,6,24,1.688031,0.671959
pitchD4_tempo090,7,519,1.641271,1.090374
pitchD4_tempo090,8,713,1.640262,0.686325
pitchD4_tempo090,9,847,1.602766,1.080013
pitchD4_tempo090,10,1016,1.571585,1.005164
pitchD4_tempo090,11,118,1.569514,1.108175
pitchD4_tempo090,12,104,1.564980,0.948382
pitchD4_tempo090,13,387,1.553982,0.901918
pitchD4_tempo090,14,880,1.551212,1.055358
pitchD4_tempo090,15,502,1.529192,1.068325
pitchD4_tempo090,16,680,1.526957,1.300379
pitchD4_tempo090,17,145,1.511376,1.532582
pitchD4_tempo090,18,757,1.509636,1.012689
pitchD4_tempo090,19,427,1.480440,0.863042
pitchD4_tempo090,20,585,1.479352,0.873448
pitchD4_tempo090,21,1002,1.473658,1.023439
pitchD4_tempo090,22,561,1.463784,1.195040
pitchD4_tempo090,23,504,1.463039,1.054843
pitchD4_tempo090,24,581,1.462968,0.892966
pitchD4_tempo090,25,780,1.461280,0.927006
pitchD4_tempo090,26,197,1.459682,0.976124
pitchD4_tempo090,27,876,1.449865,0.956616
pitchD4_tempo090,28,651,1.449833,0.963785
pitchD4_tempo090,29,995,1.446710,1.187403
pitchD4_tempo090,30,799,1.444708,0.906677
pitchU2,1,70,0.721162,0.704408
pitchU2,2,880,0.711240,0.621915
pitchU2,3,612,0.694997,0.579595
pitchU2,4,698,0.693450,0.739210
pitchU2,5,963,0.687390,0.591591
pitchU2,6,145,0.668899,0.559264
pitchU2,7,355,0.664287,0.602550
pitchU2,8,501,0.662539,0.577786
pitchU2,9,4,0.660250,0.571072
pitchU2,10,45,0.659422,0.569198
pitchU2,11,757,0.658347,0.532199
pitchU2,12,629,0.655055,0.557362
pitchU2,13,47,0.653979,0.581139
pitchU2,14,941,0.633502,0.569414
pitchU2,15,184,0.627372,0.544696
pitchU2,16,657,0.622310,0.548204
pitchU2,17,427,0.620642,0.530742
pitchU2,18,611,0.616087,0.502328
pitchU2,19,1001,0.615090,0.513398
pitchU2,20,562,0.612624,0.527004
pitchU2,21,468,0.610736,0.628490
pitchU2,22,450,0.608560,0.577941
pitchU2,23,319,0.608543,0.607756
pitchU2,24,701,0.604938,0.578404
pitchU2,25,400,0.604061,0.528098
pitchU2,26,331,0.601844,0.587948
pitchU2,27,551,0.599803,0.538829
pitchU2,28,449,0.598045,0.541923
pitchU2,29,951,0.595667,0.567876
pitchU2,30,1016,0.593775,0.558555
pitchU4,1,640,0.753178,0.782240
pitchU4,2,70,0.704763,0.652066
pitchU4,3,880,0.695815,0.615150
pitchU4,4,193,0.691229,0.750264
pitchU4,5,611,0.682042,0.573783
pitchU4,6,107,0.681038,0.692349
pitchU4,7,357,0.672071,0.666031
pitchU4,8,1009,0.656403,0.654467
pitchU4,9,701,0.655731,0.755066
pitchU4,10,324,0.654890,0.737625
pitchU4,11,4,0.652713,0.549199
pitchU4,12,80,0.649630,0.683722
pitchU4,13,869,0.649620,0.656754
pitchU4,14,259,0.646742,0.595042
pitchU4,15,681,0.642269,0.673268
pitchU4,16,654,0.641228,0.720921
pitchU4,17,109,0.640613,0.600562
pitchU4,18,963,0.640063,0.554098
pitchU4,19,290,0.639392,0.612688
pitchU4,20,698,0.639191,0.659186
pitchU4,21,655,0.638156,0.680409
pitchU4,22,45,0.638005,0.574354
pitchU4,23,612,0.637832,0.556910
pitchU4,24,389,0.637519,0.671650
pitchU4,25,757,0.632974,0.517018
pitchU4,26,941,0.629605,0.541038
pitchU4,27,47,0.628302,0.568333
pitchU4,28,1001,0.626845,0.561476
pitchU4,29,184,0.625341,0.602042
pitchU4,30,468,0.623725,0.609608
pitchU4_tempo110,1,640,0.975185,0.904224
pitchU4_tempo110,2,880,0.930795,0.769139
pitchU4_tempo110,3,70,0.887750,0.792654
pitchU4_tempo110,4,757,0.887436,0.706742
pitchU4_tempo110,5,963,0.882574,0.729769
pitchU4_tempo110,6,941,0.875138,0.753007
pitchU4_tempo110,7,698,0.865424,0.783815
pitchU4_tempo110,8,611,0.861274,0.677184
pitchU4_tempo110,9,107,0.844194,0.791948
pitchU4_tempo110,10,259,0.837436,0.751443
pitchU4_tempo110,11,4,0.831694,0.687347
pitchU4_tempo110,12,612,0.828433,0.674820
