category,rank,dimension,mean_delta,std_delta
AudioLDM2,1,963,2.744294,2.080966
AudioLDM2,2,880,2.692688,2.073780
AudioLDM2,3,4,2.679968,2.021148
AudioLDM2,4,834,2.614883,1.925282
AudioLDM2,5,400,2.467884,1.900527
AudioLDM2,6,629,2.443438,1.850582
AudioLDM2,7,427,2.432624,1.818871
AudioLDM2,8,70,2.414187,1.797181
AudioLDM2,9,551,2.402066,1.739481
AudioLDM2,10,640,2.389189,1.849004
AudioLDM2,11,290,2.375120,1.718446
AudioLDM2,12,757,2.370488,1.889868
AudioLDM2,13,941,2.344327,1.759404
AudioLDM2,14,355,2.340520,1.727686
AudioLDM2,15,145,2.339663,1.790528
AudioLDM2,16,995,2.333350,1.718083
AudioLDM2,17,47,2.285204,1.690782
AudioLDM2,18,612,2.265261,1.715381
AudioLDM2,19,698,2.249406,1.724792
AudioLDM2,20,238,2.230105,1.681934
AudioLDM2,21,1001,2.223257,1.650832
AudioLDM2,22,710,2.217153,1.594019
AudioLDM2,23,443,2.201046,1.662845
AudioLDM2,24,994,2.175909,1.672130
AudioLDM2,25,611,2.159435,1.623284
AudioLDM2,26,639,2.145936,1.584997
AudioLDM2,27,1006,2.138769,1.695615
AudioLDM2,28,365,2.137774,1.623923
AudioLDM2,29,631,2.133471,1.498625
AudioLDM2,30,563,2.130936,1.591773
Cover,1,880,2.007044,1.611413
Cover,2,629,1.982243,1.703628
Cover,3,70,1.923667,1.640220
Cover,4,963,1.902933,1.490893
Cover,5,4,1.857534,1.637478
Cover,6,757,1.828471,1.479573
Cover,7,941,1.808803,1.458074
Cover,8,698,1.778587,1.506385
Cover,9,45,1.771175,1.359139
Cover,10,47,1.724513,1.416786
Cover,11,834,1.704125,1.490343
Cover,12,427,1.695929,1.340397
Cover,13,995,1.687267,1.333119
Cover,14,611,1.669049,1.277183
Cover,15,612,1.658254,1.445568
Cover,16,1006,1.651001,1.428812
Cover,17,355,1.640794,1.283499
Cover,18,419,1.629454,1.335350
Cover,19,673,1.613327,1.512063
Cover,20,400,1.608309,1.333439
Cover,21,211,1.603585,1.424635
Cover,22,640,1.603118,1.366532
Cover,23,951,1.600289,1.339858
Cover,24,145,1.593971,1.437572
Cover,25,999,1.580073,1.242541
Cover,26,1001,1.570066,1.305430
Cover,27,822,1.568324,1.338321
Cover,28,861,1.565549,1.385280
Cover,29,468,1.555489,1.338187
Cover,30,262,1.546917,1.199231
MGE-LDM,1,629,2.028026,1.652358
MGE-LDM,2,400,1.960895,1.625510
MGE-LDM,3,880,1.933777,1.587125
MGE-LDM,4,4,1.925398,1.546999
MGE-LDM,5,963,1.907182,1.515528
MGE-LDM,6,70,1.854885,1.482706
MGE-LDM,7,757,1.844404,1.465185
MGE-LDM,8,290,1.835191,1.433852
MGE-LDM,9,698,1.816290,1.441913
MGE-LDM,10,551,1.772801,1.406248
MGE-LDM,11,1001,1.740008,1.395726
MGE-LDM,12,355,1.732276,1.397542
MGE-LDM,13,611,1.719329,1.372841
MGE-LDM,14,995,1.709222,1.363416
MGE-LDM,15,941,1.708682,1.385823
MGE-LDM,16,612,1.692021,1.348874
MGE-LDM,17,427,1.689110,1.349151
MGE-LDM,18,238,1.679890,1.379420
MGE-LDM,19,834,1.678332,1.423534
MGE-LDM,20,640,1.656965,1.278170
MGE-LDM,21,994,1.636250,1.293026
MGE-LDM,22,501,1.613243,1.284780
MGE-LDM,23,47,1.607393,1.289208
MGE-LDM,24,563,1.596308,1.301951
MGE-LDM,25,45,1.586791,1.299702
MGE-LDM,26,145,1.578886,1.304242
MGE-LDM,27,66,1.572404,1.302552
MGE-LDM,28,140,1.567776,1.294257
MGE-LDM,29,57,1.561352,1.235900
MGE-LDM,30,639,1.560012,1.271022
MusicGen,1,45,2.584329,1.823692
MusicGen,2,4,2.440246,1.872912
MusicGen,3,880,2.409944,1.857901
MusicGen,4,400,2.404860,1.842860
MusicGen,5,551,2.372351,1.692118
MusicGen,6,963,2.319798,1.827995
MusicGen,7,629,2.297247,1.763209
MusicGen,8,290,2.292917,1.656326
MusicGen,9,757,2.268912,1.740864
MusicGen,10,70,2.218014,1.672820
MusicGen,11,834,2.188038,1.646969
MusicGen,12,652,2.165399,1.482306
MusicGen,13,698,2.155267,1.595977
MusicGen,14,941,2.150565,1.653738
MusicGen,15,1001,2.138308,1.603635
MusicGen,16,355,2.097942,1.560305
MusicGen,17,612,2.079629,1.601293
MusicGen,18,995,2.068228,1.589849
MusicGen,19,427,2.067923,1.579540
MusicGen,20,345,2.046040,1.494191
MusicGen,21,470,2.036195,1.541482
MusicGen,22,994,2.035822,1.512238
MusicGen,23,640,2.021018,1.516107
MusicGen,24,689,2.014295,1.476954
MusicGen,25,67,2.005781,1.407601
MusicGen,26,387,2.001032,1.478432
MusicGen,27,145,1.989292,1.535888
MusicGen,28,443,1.987065,1.523974
MusicGen,29,140,1.948122,1.566581
MusicGen,30,562,1.942591,1.447462
Original + DSP,1,880,0.705469,0.624000
Original + DSP,2,70,0.681652,0.641814
Original + DSP,3,963,0.674051,0.593938
Original + DSP,4,757,0.670347,0.570653
