dimension,mean_abs_corr_others,max_abs_corr,n_partners_above_0.8,redundancy_rank
214,0.244616,0.708248,0,1
104,0.226678,0.670611,0,2
469,0.225901,0.681969,0,3
368,0.225583,0.708248,0,4
470,0.225309,0.670611,0,5
10,0.224103,0.679659,0,6
85,0.221062,0.653073,0,7
359,0.220518,0.625689,0,8
288,0.218398,0.698747,0,9
242,0.211261,0.640646,0,10
41,0.205106,0.597882,0,11
28,0.204696,0.613958,0,12
319,0.204162,0.645288,0,13
388,0.202618,0.615339,0,14
503,0.201941,0.591764,0,15
177,0.200896,0.595817,0,16
147,0.200295,0.628869,0,17
139,0.200163,0.570256,0,18
415,0.199351,0.632962,0,19
89,0.199277,0.589010,0,20
255,0.199108,0.602159,0,21
447,0.198550,0.566167,0,22
371,0.198282,0.610057,0,23
239,0.198235,0.571655,0,24
84,0.197474,0.554218,0,25
305,0.197187,0.591112,0,26
132,0.197122,0.588330,0,27
482,0.196329,0.595817,0,28
155,0.194222,0.625689,0,29
53,0.193852,0.592274,0,30
76,0.192770,0.587875,0,31
293,0.191659,0.564221,0,32
176,0.190187,0.653073,0,33
342,0.189877,0.566883,0,34
471,0.189607,0.572153,0,35
409,0.189408,0.533524,0,36
433,0.188632,0.573420,0,37
408,0.186721,0.581737,0,38
27,0.185940,0.580384,0,39
174,0.185930,0.591764,0,40
343,0.185258,0.565754,0,41
474,0.185046,0.584877,0,42
510,0.184619,0.503819,0,43
220,0.183386,0.638510,0,44
431,0.182935,0.524913,0,45
210,0.182388,0.558432,0,46
205,0.182318,0.618650,0,47
168,0.181479,0.561164,0,48
26,0.181161,0.557250,0,49
34,0.180976,0.565754,0,50
456,0.179467,0.526382,0,51
162,0.179196,0.559290,0,52
489,0.179103,0.577987,0,53
166,0.178808,0.549302,0,54
320,0.176943,0.512943,0,55
8,0.176101,0.561929,0,56
355,0.175551,0.531821,0,57
394,0.175542,0.489011,0,58
223,0.175395,0.563368,0,59
181,0.175109,0.540583,0,60
12,0.174913,0.539072,0,61
441,0.174695,0.528755,0,62
422,0.174409,0.561923,0,63
484,0.173470,0.524938,0,64
286,0.173157,0.559248,0,65
432,0.172550,0.514367,0,66
241,0.172347,0.508287,0,67
115,0.172252,0.516199,0,68
478,0.172221,0.524574,0,69
323,0.172202,0.485156,0,70
402,0.171762,0.568264,0,71
379,0.170601,0.521857,0,72
180,0.169445,0.505484,0,73
100,0.169347,0.509908,0,74
407,0.168830,0.534446,0,75
339,0.168345,0.539994,0,76
353,0.167779,0.516243,0,77
94,0.167575,0.540497,0,78
450,0.166880,0.466165,0,79
164,0.166794,0.524913,0,80
60,0.166340,0.486813,0,81
170,0.166161,0.499680,0,82
314,0.165513,0.537908,0,83
107,0.164407,0.560681,0,84
198,0.164253,0.488942,0,85
284,0.164250,0.510080,0,86
14,0.164119,0.494340,0,87
363,0.163795,0.552023,0,88
411,0.163763,0.520073,0,89
51,0.163590,0.463495,0,90
400,0.162298,0.483501,0,91
113,0.161881,0.545535,0,92
189,0.161713,0.476912,0,93
329,0.161670,0.482550,0,94
52,0.161507,0.497711,0,95
79,0.159857,0.510869,0,96
382,0.158923,0.525078,0,97
414,0.158357,0.488235,0,98
492,0.158345,0.519381,0,99
106,0.158316,0.503819,0,100
193,0.158048,0.476859,0,101
144,0.157601,0.478165,0,102
82,0.157533,0.479448,0,103
197,0.157453,0.490085,0,104
318,0.157183,0.477678,0,105
22,0.156831,0.499568,0,106
340,0.156244,0.581554,0,107
206,0.156222,0.470014,0,108
143,0.155360,0.497359,0,109
316,0.154980,0.484180,0,110
396,0.154788,0.509142,0,111
391,0.154665,0.506390,0,112
452,0.154387,0.483684,0,113
75,0.152837,0.516964,0,114
36,0.152773,0.485685,0,115
455,0.152436,0.446563,0,116
93,0.152228,0.482464,0,117
273,0.151641,0.498823,0,118
444,0.151268,0.470417,0,119
219,0.150252,0.449843,0,120
446,0.149675,0.490747,0,121
438,0.149640,0.483601,0,122
307,0.149516,0.501665,0,123
449,0.149066,0.481878,0,124
416,0.149030,0.452574,0,125
418,0.148962,0.472608,0,126
373,0.148657,0.498514,0,127
462,0.148619,0.463404,0,128
315,0.148439,0.462053,0,129
238,0.148259,0.420381,0,130
372,0.148229,0.554304,0,131
116,0.148139,0.507217,0,132
236,0.148037,0.461926,0,133
495,0.147829,0.498090,0,134
218,0.147702,0.543020,0,135
485,0.147629,0.484875,0,136
83,0.147020,0.461326,0,137
111,0.146857,0.480532,0,138
47,0.146691,0.506079,0,139
313,0.146668,0.479878,0,140
334,0.146456,0.469628,0,141
338,0.146308,0.444062,0,142
151,0.146225,0.489339,0,143
349,0.146027,0.516964,0,144
404,0.145967,0.464252,0,145
58,0.145885,0.490411,0,146
90,0.145665,0.488460,0,147
395,0.145252,0.447678,0,148
248,0.144889,0.440532,0,149
55,0.144883,0.480165,0,150
381,0.144563,0.458647,0,151
142,0.144346,0.453001,0,152
267,0.144184,0.476652,0,153
138,0.144125,0.483235,0,154
493,0.143367,0.457287,0,155
213,0.142201,0.467577,0,156
129,0.142007,0.412869,0,157
324,0.141900,0.411072,0,158
98,0.141727,0.463404,0,159
383,0.141714,0.443066,0,160
505,0.141356,0.580847,0,161
234,0.141294,0.456965,0,162
357,0.140796,0.465447,0,163
2,0.140441,0.465448,0,164
124,0.140344,0.420368,0,165
269,0.140021,0.467690,0,166
186,0.139983,0.523341,0,167
440,0.139696,0.470509,0,168
172,0.138417,0.440633,0,169
226,0.138159,0.471329,0,170
282,0.137838,0.455488,0,171
96,0.137817,0.422110,0,172
13,0.137467,0.452843,0,173
64,0.137413,0.435355,0,174
258,0.137356,0.456217,0,175
457,0.137356,0.374450,0,176
190,0.137345,0.434927,0,177
211,0.137315,0.451047,0,178
475,0.137172,0.540497,0,179
421,0.136704,0.549825,0,180
97,0.136685,0.446563,0,181
332,0.136358,0.483507,0,182
429,0.136163,0.420827,0,183
228,0.135931,0.432760,0,184
253,0.135577,0.502403,0,185
483,0.135565,0.514025,0,186
476,0.135470,0.424844,0,187
507,0.135440,0.395106,0,188
3,0.135354,0.580847,0,189
328,0.135196,0.405050,0,190
264,0.135049,0.479803,0,191
39,0.134893,0.448396,0,192
69,0.134884,0.451071,0,193
295,0.134832,0.454702,0,194
108,0.134313,0.451650,0,195
263,0.133996,0.404858,0,196
266,0.133557,0.405642,0,197
209,0.132617,0.435945,0,198
117,0.132415,0.423292,0,199
237,0.132367,0.457768,0,200
187,0.131980,0.427529,0,201
308,0.131879,0.448065,0,202
232,0.131693,0.423951,0,203
225,0.131640,0.415099,0,204
439,0.131571,0.396156,0,205
192,0.131491,0.514025,0,206
498,0.131299,0.406831,0,207
424,0.131193,0.483850,0,208
333,0.130719,0.422000,0,209
133,0.130527,0.415697,0,210
182,0.130489,0.400426,0,211
387,0.130236,0.451021,0,212
506,0.130033,0.458177,0,213
67,0.129876,0.430051,0,214
80,0.129711,0.474216,0,215
37,0.129626,0.455286,0,216
309,0.129624,0.469141,0,217
420,0.129379,0.396614,0,218
216,0.129090,0.419605,0,219
390,0.128942,0.373346,0,220
178,0.128809,0.441579,0,221
179,0.128722,0.532645,0,222
199,0.128670,0.433142,0,223
477,0.128610,0.422806,0,224
437,0.128548,0.400038,0,225
417,0.128364,0.479448,0,226
436,0.128081,0.440445,0,227
101,0.128004,0.441579,0,228
490,0.127947,0.394948,0,229
283,0.127761,0.425004,0,230
123,0.127706,0.387065,0,231
325,0.127613,0.387414,0,232
473,0.127518,0.403623,0,233
204,0.127455,0.532645,0,234
486,0.127395,0.446575,0,235
434,0.127233,0.393459,0,236
208,0.127123,0.424061,0,237
20,0.126858,0.380360,0,238
303,0.126589,0.465448,0,239
427,0.126420,0.427998,0,240
345,0.126400,0.383717,0,241
185,0.126322,0.425579,0,242
369,0.126231,0.435727,0,243
114,0.126140,0.432113,0,244
285,0.126101,0.387713,0,245
29,0.126070,0.421607,0,246
289,0.126064,0.416359,0,247
158,0.126013,0.469141,0,248
322,0.125508,0.455033,0,249
370,0.125421,0.470496,0,250
40,0.125399,0.357284,0,251
121,0.125122,0.480165,0,252
140,0.124595,0.408925,0,253
221,0.124113,0.435428,0,254
448,0.123891,0.428596,0,255
201,0.123873,0.433142,0,256
171,0.123800,0.430962,0,257
68,0.123774,0.455488,0,258
43,0.123636,0.409800,0,259
229,0.123432,0.429646,0,260
66,0.123307,0.430808,0,261
196,0.123186,0.431400,0,262
59,0.123127,0.376494,0,263
389,0.123060,0.431666,0,264
311,0.123050,0.446582,0,265
435,0.122847,0.415028,0,266
425,0.122745,0.435428,0,267
127,0.122417,0.479803,0,268
159,0.122276,0.436958,0,269
244,0.122136,0.411042,0,270
380,0.121986,0.525603,0,271
167,0.121978,0.448874,0,272
222,0.121420,0.498403,0,273
202,0.121322,0.420510,0,274
399,0.121296,0.393571,0,275
125,0.121260,0.461899,0,276
454,0.121108,0.424208,0,277
146,0.121066,0.394118,0,278
145,0.120767,0.357607,0,279
335,0.120590,0.396352,0,280
280,0.119829,0.375507,0,281
