dimension,ori_mean,ori_std,mod_mean_Human_Plagiarism_(Base),mod_std_Human_Plagiarism_(Base),shift_mean_Human_Plagiarism_(Base),shift_std_Human_Plagiarism_(Base),mod_mean_Human_Plagiarism_+_DSP,mod_std_Human_Plagiarism_+_DSP,shift_mean_Human_Plagiarism_+_DSP,shift_std_Human_Plagiarism_+_DSP,mod_mean_Original_+_DSP,mod_std_Original_+_DSP,shift_mean_Original_+_DSP,shift_std_Original_+_DSP,mod_mean_AI_Generation_(Base),mod_std_AI_Generation_(Base),shift_mean_AI_Generation_(Base),shift_std_AI_Generation_(Base),mod_mean_AI_+_DSP,mod_std_AI_+_DSP,shift_mean_AI_+_DSP,shift_std_AI_+_DSP
0,-0.160081,0.702235,-0.163101,0.785801,-0.005267,1.021603,-0.174410,0.782788,-0.016575,1.001168,-0.168923,0.731158,-0.006453,0.812485,-0.121461,0.665741,0.041009,0.948820,-0.088404,0.692841,0.074066,0.984667
1,0.000425,0.880505,0.095076,0.927586,0.141006,1.143521,0.017779,0.911207,0.063709,1.137120,-0.027277,0.878737,-0.076812,0.919522,-0.245581,0.853993,-0.295116,1.150413,-0.218294,0.825161,-0.267829,1.171945
2,-0.058457,1.001376,0.163348,0.927482,0.239684,1.228151,-0.026630,0.870106,0.049706,1.215864,-0.167235,0.897769,-0.127721,0.949984,-0.064243,0.811836,-0.024730,1.197371,-0.104704,0.782839,-0.065190,1.218784
3,-0.411871,0.829550,-0.280133,0.756427,0.106127,1.008363,-0.333231,0.699769,0.053029,1.009076,-0.494397,0.737229,-0.055407,0.780892,-0.391267,0.676516,0.047723,0.958506,-0.418471,0.627903,0.020519,0.974288
4,-0.474251,0.782740,-0.346279,0.831390,0.160743,1.120481,-0.420430,0.795038,0.086592,1.095902,-0.460703,0.781680,-0.021187,0.902222,-0.519048,0.750918,-0.079532,1.054874,-0.560108,0.737398,-0.120591,1.066655
5,-0.024551,0.683931,0.032734,0.710225,0.069813,1.005775,0.056208,0.720500,0.093287,1.011399,0.012239,0.707538,0.023517,0.813778,-0.001342,0.707352,0.009935,0.963482,-0.075596,0.688405,-0.064318,0.961746
6,-0.193783,0.727000,-0.220439,0.778909,-0.048456,0.994164,-0.197472,0.791839,-0.025488,1.023395,-0.179395,0.732196,0.037505,0.751938,-0.122376,0.693017,0.094523,0.953895,-0.054915,0.672578,0.161985,0.962685
7,0.397508,0.798820,0.431851,0.807744,0.005535,1.032167,0.403841,0.780034,-0.022475,1.032610,0.339494,0.789605,-0.027515,0.857484,0.436301,0.725993,0.069292,1.013160,0.472650,0.718884,0.105641,1.044481
8,-0.564304,1.043178,-0.891649,0.905936,-0.443557,1.417322,-0.773842,0.917485,-0.325750,1.397754,-0.551706,0.998251,0.135720,0.973123,-0.825161,0.872170,-0.137736,1.216276,-0.866353,0.852693,-0.178927,1.265007
9,0.065228,0.785170,0.078714,0.712566,0.001324,1.084062,0.160388,0.703297,0.082997,1.080826,0.145012,0.708581,0.092667,0.822033,0.286208,0.725396,0.233862,0.978539,0.382553,0.703573,0.330208,0.994564
10,-0.096837,1.055722,0.394204,1.158640,0.673464,1.596722,0.210273,1.180459,0.489534,1.578686,-0.040360,1.160273,-0.136789,0.945688,-0.226337,0.876221,-0.322765,1.279371,-0.356609,0.801016,-0.453038,1.335532
11,-0.458027,0.853286,-0.601482,0.938206,-0.223946,1.191383,-0.533825,0.883565,-0.156289,1.175314,-0.485842,0.833155,0.057478,0.909172,-0.240190,0.850194,0.303130,1.145837,-0.296462,0.802914,0.246859,1.149487
12,-0.346526,0.885100,-0.629737,0.867814,-0.387830,1.285440,-0.556381,0.868373,-0.314475,1.271090,-0.408948,0.860203,0.048433,0.846405,-0.184847,0.779692,0.272534,1.097839,-0.146740,0.745592,0.310641,1.114652
13,-0.196563,0.789613,-0.424761,0.641876,-0.275812,1.040970,-0.370280,0.680400,-0.221331,1.065050,-0.250829,0.762372,-0.003855,0.774516,-0.262508,0.686675,-0.015534,0.959171,-0.242972,0.665081,0.004002,0.977825
14,0.269617,0.829632,0.623563,0.766305,0.509544,1.120921,0.570087,0.852282,0.456068,1.163791,0.378337,0.881078,-0.056109,0.802540,0.254771,0.766433,-0.179675,1.060747,0.194243,0.787809,-0.240203,1.113462
15,-0.487826,0.781610,-0.627149,0.832414,-0.169027,1.083379,-0.555739,0.781685,-0.097617,1.060843,-0.490127,0.756791,0.029133,0.822740,-0.499980,0.720501,0.019280,0.999000,-0.460091,0.702044,0.059169,1.029397
16,0.390439,0.676892,0.384427,0.698630,-0.003789,0.930890,0.406213,0.719408,0.017998,0.959153,0.410309,0.696688,0.017479,0.769785,0.549210,0.708767,0.156380,0.961944,0.558395,0.720872,0.165565,0.981178
17,-0.028185,0.713590,0.022028,0.669750,0.050337,0.991453,0.109313,0.708073,0.137623,1.028896,0.072966,0.708276,0.101022,0.796371,0.037347,0.691380,0.065403,0.945918,0.096955,0.664313,0.125012,0.956102
18,0.240209,0.840906,0.345782,0.820698,0.158190,1.195919,0.300921,0.894942,0.113328,1.209611,0.202498,0.864212,-0.093479,0.911274,0.238091,0.867995,-0.057886,1.150728,0.116014,0.904941,-0.179963,1.196850
19,0.324090,0.837881,0.022267,0.761764,-0.395076,1.132284,0.173411,0.784167,-0.243932,1.138967,0.299395,0.807093,0.074120,0.902792,0.412325,0.805143,0.187050,1.102246,0.370004,0.783973,0.144729,1.115551
20,-0.374658,0.864460,-0.617251,0.809065,-0.314878,1.193198,-0.581554,0.837587,-0.279181,1.213140,-0.438762,0.850222,0.012487,0.899611,-0.392749,0.775577,0.058500,1.084715,-0.321510,0.743832,0.129739,1.096714
21,-0.209694,0.833233,-0.100420,0.790742,0.136936,1.093746,-0.101070,0.817357,0.136286,1.136246,-0.162863,0.815561,0.017534,0.879180,-0.257099,0.809552,-0.076702,1.102024,-0.245374,0.849889,-0.064978,1.152251
22,0.061629,0.749969,0.315516,0.650133,0.327160,1.054276,0.209917,0.693312,0.221561,1.065409,0.070141,0.764796,-0.069117,0.783012,0.225827,0.740252,0.086569,0.976389,0.214816,0.722975,0.075559,1.002904
23,0.180573,0.888552,0.227430,0.892610,0.045521,1.256256,0.208270,0.848442,0.026361,1.225886,0.183084,0.819720,0.003928,0.920937,0.252904,0.781323,0.073747,1.106801,0.161194,0.745567,-0.017963,1.096586
24,0.062300,0.832234,0.203125,0.773275,0.194876,1.089781,0.226924,0.787748,0.218675,1.112496,0.169755,0.815733,0.050204,0.911285,0.427260,0.847412,0.307710,1.113018,0.504794,0.812466,0.385244,1.121687
25,-0.038291,0.787104,-0.009785,0.787829,0.001893,1.003265,-0.000356,0.718096,0.011322,1.017141,-0.076190,0.732514,-0.009704,0.824653,-0.026731,0.705962,0.039754,1.016690,-0.101062,0.704005,-0.034576,1.037341
26,0.533705,0.892068,0.948506,0.810676,0.557336,1.245512,0.875057,0.813733,0.483887,1.215998,0.643348,0.873194,-0.041308,0.826711,0.512321,0.725957,-0.172334,1.078384,0.520154,0.683364,-0.164501,1.079067
27,0.211511,0.889516,-0.174041,0.799115,-0.500578,1.178227,-0.135349,0.767195,-0.461886,1.164133,0.105928,0.833928,0.016289,0.814210,0.101688,0.706697,0.012049,1.045006,0.131732,0.651485,0.042093,1.067632
28,0.470028,0.981517,0.883371,0.956140,0.544817,1.342893,0.819996,0.914540,0.481442,1.293172,0.561542,0.962651,-0.047814,0.873054,0.433634,0.756172,-0.175722,1.157703,0.387950,0.706037,-0.221406,1.179916
29,0.294638,0.773467,0.657463,0.719084,0.484945,1.038055,0.488945,0.800250,0.316427,1.106316,0.312149,0.796054,-0.111886,0.870209,0.123072,0.792082,-0.300964,1.063315,0.076498,0.790808,-0.347538,1.082993
30,0.190710,0.823000,0.211120,0.800667,-0.002885,1.031489,0.170943,0.751504,-0.043062,1.029204,0.142232,0.782376,-0.023802,0.863857,0.357729,0.750849,0.191695,1.066550,0.345592,0.751077,0.179558,1.079360
31,0.118996,0.785249,0.053726,0.728620,-0.087978,1.069948,0.085477,0.762417,-0.056227,1.088667,0.128717,0.759472,0.033778,0.869202,0.177217,0.737841,0.082277,1.011730,0.107754,0.701702,0.012815,1.025251
32,-0.177509,0.751472,-0.089384,0.739751,0.126635,1.053213,-0.156101,0.763974,0.059918,1.079360,-0.225442,0.753184,-0.088722,0.830847,-0.269124,0.745895,-0.132404,1.016713,-0.387232,0.698087,-0.250512,0.996921
33,-0.029201,0.726749,0.045538,0.666419,0.101273,0.951241,0.016100,0.752226,0.071835,1.019225,-0.048086,0.736767,-0.046991,0.804565,-0.131662,0.717953,-0.130566,0.983547,-0.177418,0.721660,-0.176323,0.995103
34,0.432060,1.005915,-0.001170,0.928039,-0.579927,1.418024,0.152038,0.994215,-0.426719,1.441394,0.337051,1.015192,0.060409,1.011505,0.434728,0.965319,0.158087,1.303284,0.427890,0.901505,0.151248,1.312871
35,-0.221379,0.879588,-0.215948,0.871837,-0.004458,1.262398,-0.199502,0.890721,0.011987,1.251270,-0.190592,0.898647,0.041269,0.980683,-0.242827,0.865372,-0.010966,1.191187,-0.334342,0.870875,-0.102481,1.217641
36,-0.041174,0.948179,0.202710,0.762375,0.278067,1.190581,0.095055,0.734058,0.170412,1.190193,-0.053510,0.880028,-0.048548,0.880703,0.047495,0.722930,0.052457,1.063811,0.071107,0.636070,0.076069,1.060202
37,-0.124333,0.906501,0.123527,0.872661,0.357122,1.159744,0.086617,0.883353,0.320213,1.194214,-0.018330,0.868562,-0.009754,0.888383,-0.084163,0.844424,-0.075587,1.135976,0.020664,0.786049,0.029240,1.146087
