dimension,global_mean_delta,global_std_delta,global_median_delta,global_max_delta,cross_category_std,cross_category_mean,mean_delta_Human Plagiarism (Base),mean_delta_Human Plagiarism + DSP,mean_delta_Original + DSP,mean_delta_AI Generation (Base),mean_delta_AI + DSP,stability_rank
336,0.652581,0.523164,0.530692,3.749426,0.067902,0.632653,0.666440,0.695190,0.501770,0.638234,0.661631,1
331,0.660783,0.531159,0.539235,5.071499,0.057947,0.651439,0.698152,0.698920,0.541011,0.663217,0.655892,2
256,0.683246,0.554419,0.548688,4.662668,0.061421,0.671016,0.712487,0.711077,0.550662,0.678192,0.702660,3
77,0.693790,0.565136,0.560677,5.291500,0.067324,0.683722,0.716135,0.717062,0.549369,0.711064,0.724978,4
49,0.700453,0.555723,0.571529,4.545504,0.063498,0.688949,0.740861,0.737099,0.567068,0.694673,0.705042,5
276,0.702687,0.571184,0.568525,4.540459,0.066536,0.699941,0.756210,0.730337,0.569495,0.727766,0.715899,6
290,0.702760,0.553998,0.580997,4.146253,0.076325,0.688445,0.709043,0.730026,0.537131,0.725733,0.740292,7
405,0.703572,0.574710,0.569336,4.538969,0.068478,0.690282,0.719889,0.724746,0.554942,0.709707,0.742127,8
231,0.707073,0.594141,0.559579,5.246696,0.061663,0.694844,0.717293,0.736026,0.572145,0.721892,0.726862,9
465,0.708709,0.567201,0.574255,4.128026,0.058641,0.699437,0.730822,0.745757,0.584597,0.727636,0.708374,10
362,0.710614,0.570604,0.581915,4.443016,0.070735,0.696350,0.738583,0.745225,0.556716,0.711391,0.729833,11
292,0.711727,0.551474,0.591564,4.005238,0.073770,0.703706,0.760887,0.747644,0.558661,0.727582,0.723756,12
185,0.714790,0.572064,0.580464,4.169663,0.075851,0.709594,0.766516,0.735436,0.559614,0.735928,0.750477,13
271,0.717514,0.581651,0.573700,4.430530,0.063587,0.704549,0.740411,0.754430,0.579400,0.722889,0.725614,14
65,0.720909,0.583519,0.581899,4.351895,0.072220,0.706558,0.752861,0.755395,0.564451,0.718809,0.741274,15
341,0.721712,0.571733,0.589540,4.909033,0.083059,0.711207,0.717612,0.726433,0.554407,0.762984,0.794600,16
330,0.724036,0.587712,0.581379,4.712196,0.069406,0.713383,0.760225,0.748506,0.576327,0.727580,0.754277,17
351,0.725512,0.584696,0.586312,4.304765,0.073437,0.718287,0.790490,0.755009,0.577899,0.724035,0.744000,18
184,0.725696,0.584265,0.589333,5.548168,0.065601,0.710330,0.759901,0.759501,0.584980,0.706666,0.740602,19
73,0.725815,0.582538,0.585972,4.101670,0.076971,0.715768,0.776011,0.763839,0.564875,0.735083,0.739033,20
391,0.727060,0.561756,0.606397,3.873819,0.097661,0.709441,0.808927,0.788699,0.532643,0.697293,0.719644,21
279,0.728223,0.609324,0.574944,4.844274,0.081505,0.710027,0.767884,0.789148,0.556887,0.721668,0.714548,22
472,0.729498,0.582298,0.596574,4.399940,0.068644,0.718630,0.761452,0.767506,0.583120,0.743271,0.737801,23
235,0.730890,0.592501,0.590769,4.856380,0.078490,0.720213,0.801035,0.780123,0.576421,0.721066,0.722422,24
463,0.733614,0.588817,0.595718,4.967402,0.080493,0.709111,0.737415,0.785738,0.553343,0.725390,0.743667,25
501,0.734212,0.602292,0.585680,4.741079,0.067817,0.714357,0.707679,0.761164,0.585570,0.747628,0.769741,26
16,0.736120,0.590176,0.598718,4.273938,0.078128,0.723378,0.724185,0.747856,0.574884,0.773165,0.796801,27
165,0.737882,0.584056,0.606427,4.355949,0.078717,0.725166,0.795755,0.776801,0.574742,0.726866,0.751669,28
62,0.738369,0.602056,0.595719,4.802471,0.087783,0.723365,0.775234,0.779586,0.548992,0.750355,0.762657,29
304,0.738728,0.590155,0.604240,4.199452,0.072291,0.730709,0.767967,0.751638,0.588192,0.758096,0.787650,30
386,0.740247,0.594680,0.597435,4.392465,0.078455,0.727547,0.739216,0.763709,0.573645,0.777325,0.783839,31
46,0.740478,0.586193,0.610609,4.566031,0.074366,0.725865,0.768303,0.767164,0.579297,0.738717,0.775845,32
200,0.740674,0.588731,0.606659,4.826556,0.093215,0.728017,0.707878,0.749436,0.559188,0.807285,0.816300,33
140,0.741673,0.588831,0.606836,4.459043,0.086054,0.720285,0.799654,0.809886,0.570494,0.704459,0.716933,34
188,0.742072,0.589759,0.604140,4.347174,0.069693,0.728507,0.709062,0.748942,0.603768,0.778684,0.802076,35
87,0.742331,0.596592,0.602800,5.121868,0.071970,0.731398,0.800883,0.781149,0.596018,0.731196,0.747746,36
48,0.743448,0.600393,0.604162,4.673474,0.073014,0.732848,0.771955,0.779489,0.587430,0.766136,0.759228,37
296,0.744507,0.600099,0.603717,5.175982,0.081324,0.729646,0.807058,0.794157,0.578943,0.724981,0.743088,38
207,0.744512,0.584186,0.614802,4.258736,0.085999,0.727624,0.813411,0.799985,0.572301,0.714943,0.737481,39
125,0.744692,0.593396,0.609322,4.416297,0.082339,0.731731,0.766455,0.777844,0.567254,0.770732,0.776369,40
148,0.747884,0.606241,0.606029,5.548563,0.066899,0.737655,0.799218,0.781146,0.610138,0.739331,0.758445,41
366,0.750449,0.600625,0.614152,4.584749,0.066652,0.729513,0.744051,0.787487,0.600150,0.745909,0.769969,42
42,0.750499,0.612157,0.599038,4.689904,0.077446,0.733300,0.741310,0.774413,0.582512,0.771278,0.796987,43
6,0.752187,0.611352,0.605019,5.067962,0.086770,0.732676,0.776524,0.800473,0.561584,0.755816,0.768981,44
183,0.753420,0.620677,0.605246,5.533496,0.069635,0.736246,0.752221,0.776831,0.600055,0.758396,0.793726,45
265,0.754712,0.593623,0.624637,5.126189,0.082801,0.733611,0.777768,0.807046,0.572667,0.748409,0.762166,46
454,0.755154,0.608493,0.614345,4.888314,0.089704,0.734741,0.798579,0.812638,0.562912,0.742275,0.757304,47
5,0.756031,0.607549,0.612112,4.867717,0.072076,0.741802,0.797806,0.802170,0.604130,0.749838,0.755067,48
488,0.758236,0.616520,0.606313,5.181375,0.091164,0.748177,0.810879,0.787364,0.567302,0.776451,0.798890,49
344,0.758943,0.604787,0.620013,4.724702,0.087363,0.745774,0.761543,0.765641,0.579105,0.787268,0.835315,50
367,0.759268,0.608711,0.613123,4.365865,0.073407,0.739741,0.769114,0.800609,0.595688,0.757259,0.776037,51
0,0.759422,0.603685,0.622559,5.163205,0.073789,0.749682,0.811652,0.787687,0.606004,0.758475,0.784595,52
423,0.760307,0.600258,0.625452,4.512656,0.083227,0.740458,0.800655,0.809721,0.581171,0.741313,0.769427,53
268,0.760438,0.609901,0.617011,4.293812,0.080380,0.741720,0.801958,0.814654,0.589730,0.744857,0.757398,54
3,0.761466,0.595738,0.630006,4.002204,0.085787,0.745541,0.813028,0.807424,0.579650,0.753166,0.774438,55
262,0.762407,0.627502,0.610712,4.664848,0.074364,0.743002,0.772746,0.794074,0.597191,0.755702,0.795296,56
17,0.764513,0.610551,0.621333,4.750648,0.079023,0.740701,0.779663,0.821778,0.590420,0.749125,0.762520,57
500,0.765058,0.609112,0.625839,5.094225,0.076653,0.752540,0.787329,0.797403,0.599446,0.786037,0.792484,58
385,0.765888,0.622345,0.619452,5.840568,0.096592,0.748574,0.742143,0.777524,0.568044,0.808934,0.846226,59
161,0.766633,0.614328,0.627907,4.859530,0.080086,0.753395,0.812863,0.814237,0.597811,0.772032,0.770032,60
