pair_idx,pitch_semi,tempo_bpm,mean_delta,broad_cat
3761,,90,0.885398,2. Original + DSP
3762,,95,0.879303,2. Original + DSP
3763,,105,0.712649,2. Original + DSP
3764,,110,0.911214,2. Original + DSP
3765,,110,0.747194,2. Original + DSP
3766,,90,0.668792,2. Original + DSP
3771,,90,0.839576,2. Original + DSP
3772,,95,0.838356,2. Original + DSP
3773,,105,0.815602,2. Original + DSP
3774,,110,0.858754,2. Original + DSP
3775,,110,0.775491,2. Original + DSP
3776,,90,0.982829,2. Original + DSP
3781,,90,0.734838,2. Original + DSP
3782,,95,0.689102,2. Original + DSP
3783,,105,0.689149,2. Original + DSP
3784,,110,0.678744,2. Original + DSP
3785,,110,0.791353,2. Original + DSP
3786,,90,0.795544,2. Original + DSP
3791,,90,0.561145,2. Original + DSP
3792,,95,0.702441,2. Original + DSP
3793,,105,0.573502,2. Original + DSP
3794,,110,0.632221,2. Original + DSP
3795,,110,0.654447,2. Original + DSP
3796,,90,0.691636,2. Original + DSP
3801,,90,0.275171,2. Original + DSP
3802,,95,0.588717,2. Original + DSP
3803,,105,0.279055,2. Original + DSP
3804,,110,0.609863,2. Original + DSP
3805,,110,0.646721,2. Original + DSP
3806,,90,0.670930,2. Original + DSP
3811,,90,0.302011,2. Original + DSP
3812,,95,0.196065,2. Original + DSP
3813,,105,0.287256,2. Original + DSP
3814,,110,0.394566,2. Original + DSP
3815,,110,0.370699,2. Original + DSP
3816,,90,0.322753,2. Original + DSP
3821,,90,0.580416,2. Original + DSP
3822,,95,0.569695,2. Original + DSP
3823,,105,0.561827,2. Original + DSP
3824,,110,0.565528,2. Original + DSP
3825,,110,0.595098,2. Original + DSP
3826,,90,0.623108,2. Original + DSP
3831,,90,0.713975,2. Original + DSP
3832,,95,0.683366,2. Original + DSP
3833,,105,0.816196,2. Original + DSP
3834,,110,0.880242,2. Original + DSP
3835,,110,0.884280,2. Original + DSP
3836,,90,0.830761,2. Original + DSP
3841,,90,0.870056,2. Original + DSP
3842,,95,0.891640,2. Original + DSP
3843,,105,0.868659,2. Original + DSP
3844,,110,0.913817,2. Original + DSP
3845,,110,0.887219,2. Original + DSP
3846,,90,0.897313,2. Original + DSP
3851,,90,0.343947,2. Original + DSP
3852,,95,0.385114,2. Original + DSP
3853,,105,0.349505,2. Original + DSP
3854,,110,0.336851,2. Original + DSP
3855,,110,0.722651,2. Original + DSP
3856,,90,0.685812,2. Original + DSP
3861,,90,0.691453,2. Original + DSP
3862,,95,0.730023,2. Original + DSP
3863,,105,0.664729,2. Original + DSP
3864,,110,0.758353,2. Original + DSP
3865,,110,0.956817,2. Original + DSP
3866,,90,0.936146,2. Original + DSP
3871,,90,0.854855,2. Original + DSP
3872,,95,0.840925,2. Original + DSP
3873,,105,0.785749,2. Original + DSP
3874,,110,0.776160,2. Original + DSP
3875,,110,0.902869,2. Original + DSP
3876,,90,0.841435,2. Original + DSP
3881,,90,0.188938,2. Original + DSP
3882,,95,0.223879,2. Original + DSP
3883,,105,0.250025,2. Original + DSP
3884,,110,0.279700,2. Original + DSP
3885,,110,0.330803,2. Original + DSP
3886,,90,0.400024,2. Original + DSP
3891,,90,0.496523,2. Original + DSP
3892,,95,0.177153,2. Original + DSP
3893,,105,0.599262,2. Original + DSP
3894,,110,0.191172,2. Original + DSP
3895,,110,0.495617,2. Original + DSP
3896,,90,0.410505,2. Original + DSP
3901,,90,0.524339,2. Original + DSP
3902,,95,0.369508,2. Original + DSP
3903,,105,0.289298,2. Original + DSP
3904,,110,0.377420,2. Original + DSP
