dimension,dsp_type,r2_linear
0,tempo,0.000003
1,tempo,0.000042
2,tempo,0.000538
3,tempo,0.000072
4,tempo,0.000003
5,tempo,0.000205
6,tempo,0.000203
7,tempo,0.000251
8,tempo,0.000018
9,tempo,0.000011
10,tempo,0.000028
11,tempo,0.000012
12,tempo,0.000194
13,tempo,0.000007
14,tempo,0.000008
15,tempo,0.000023
16,tempo,0.000001
17,tempo,0.000056
18,tempo,0.000223
19,tempo,0.000122
20,tempo,0.000033
21,tempo,0.000069
22,tempo,0.000115
23,tempo,0.000097
24,tempo,0.000004
25,tempo,0.000182
26,tempo,0.000029
27,tempo,0.000055
28,tempo,0.000097
29,tempo,0.000073
30,tempo,0.000017
31,tempo,0.000309
32,tempo,0.000130
33,tempo,0.000814
34,tempo,0.000162
35,tempo,0.000043
36,tempo,0.000036
37,tempo,0.000445
38,tempo,0.000015
39,tempo,0.000219
40,tempo,0.000103
41,tempo,0.000025
42,tempo,0.000341
43,tempo,0.000106
44,tempo,0.000012
45,tempo,0.000018
46,tempo,0.000014
47,tempo,0.000063
48,tempo,0.000001
49,tempo,0.000155
50,tempo,0.000001
51,tempo,0.000011
52,tempo,0.000107
53,tempo,0.000006
54,tempo,0.000102
55,tempo,0.000088
56,tempo,-0.000000
57,tempo,0.000133
58,tempo,0.000048
59,tempo,0.000001
60,tempo,0.000014
61,tempo,0.000053
62,tempo,0.000093
63,tempo,0.000047
64,tempo,0.000017
65,tempo,0.000010
66,tempo,0.000199
67,tempo,0.000020
68,tempo,0.000019
69,tempo,0.000529
70,tempo,0.000647
71,tempo,0.000095
72,tempo,0.000019
73,tempo,0.000127
74,tempo,0.000030
75,tempo,0.000046
76,tempo,0.000014
77,tempo,0.000454
78,tempo,0.000031
79,tempo,0.000008
80,tempo,0.000026
81,tempo,0.000556
82,tempo,0.000358
83,tempo,0.000001
84,tempo,0.000080
85,tempo,0.000007
86,tempo,0.000002
87,tempo,0.000303
88,tempo,0.000200
89,tempo,0.000042
90,tempo,0.000005
91,tempo,0.000547
92,tempo,0.000018
93,tempo,0.000468
94,tempo,0.000030
95,tempo,0.000400
96,tempo,0.000041
97,tempo,0.000001
98,tempo,0.000118
99,tempo,0.000036
100,tempo,0.000019
101,tempo,0.000099
102,tempo,0.000181
103,tempo,0.000009
104,tempo,0.000048
105,tempo,0.000008
106,tempo,0.000161
107,tempo,0.000002
108,tempo,0.000047
109,tempo,0.000219
110,tempo,0.000003
111,tempo,0.000001
112,tempo,0.000003
113,tempo,0.000021
114,tempo,0.000614
115,tempo,0.000204
116,tempo,0.000069
117,tempo,0.000005
118,tempo,0.000057
119,tempo,0.000121
120,tempo,0.000196
121,tempo,0.000136
122,tempo,0.000003
123,tempo,0.000025
124,tempo,0.000048
125,tempo,0.000885
126,tempo,0.000014
127,tempo,0.000045
128,tempo,0.000187
129,tempo,0.000014
130,tempo,0.000029
131,tempo,0.000095
132,tempo,0.000048
133,tempo,0.000076
134,tempo,0.000014
135,tempo,0.000254
136,tempo,0.000201
137,tempo,0.000107
138,tempo,0.000048
139,tempo,0.000041
140,tempo,0.000023
141,tempo,0.000072
142,tempo,0.000058
