dimension,smp_mean_delta,ai_base_mean_delta,difference,cohens_d
214,1.739141,1.090345,-0.648796,-0.577131
470,1.428817,0.911128,-0.517689,-0.574373
359,1.351311,0.887686,-0.463625,-0.546864
368,1.381965,0.911287,-0.470678,-0.544060
10,1.412677,0.938136,-0.474541,-0.522582
469,1.622592,1.102651,-0.519941,-0.498633
415,1.312072,0.912593,-0.399479,-0.470153
53,1.117232,0.784022,-0.333210,-0.463028
482,1.339280,0.949723,-0.389557,-0.456556
41,1.253986,0.881855,-0.372131,-0.456005
293,1.239962,0.882402,-0.357560,-0.455612
319,1.305524,0.926844,-0.378680,-0.453384
104,1.389222,0.966920,-0.422302,-0.452380
155,1.149852,0.817852,-0.331999,-0.449981
242,1.361010,0.974051,-0.386959,-0.440918
288,1.476621,1.043506,-0.433115,-0.438806
239,1.198874,0.855094,-0.343780,-0.434044
431,1.194011,0.860287,-0.333724,-0.430082
28,1.174767,0.844199,-0.330567,-0.428536
456,1.133387,0.832315,-0.301072,-0.412393
132,1.213604,0.882074,-0.331530,-0.410943
34,1.259751,0.926978,-0.332773,-0.409273
176,1.128617,0.829855,-0.298762,-0.407504
26,1.090379,0.790790,-0.299589,-0.406687
408,1.168819,0.861680,-0.307139,-0.402425
305,1.092014,0.800674,-0.291340,-0.402096
255,1.174940,0.860489,-0.314452,-0.398819
85,1.305629,0.942668,-0.362961,-0.398160
409,1.250603,0.923653,-0.326950,-0.395059
503,1.260542,0.926930,-0.333611,-0.394946
27,1.034859,0.766646,-0.268213,-0.389475
432,1.165328,0.868907,-0.296421,-0.388355
8,1.207593,0.899368,-0.308224,-0.386446
12,1.102888,0.826652,-0.276236,-0.385534
223,1.031535,0.771601,-0.259934,-0.380767
342,1.297302,0.973720,-0.323583,-0.380643
447,1.071739,0.802088,-0.269651,-0.379708
177,1.127109,0.849664,-0.277445,-0.378201
363,1.090195,0.824135,-0.266061,-0.371135
323,1.067647,0.801860,-0.265788,-0.368280
371,1.201840,0.907355,-0.294485,-0.367275
79,1.065020,0.805785,-0.259235,-0.363514
147,1.208056,0.923257,-0.284799,-0.360981
388,1.057569,0.804105,-0.253464,-0.360397
314,0.997366,0.757590,-0.239776,-0.358977
52,1.005018,0.766772,-0.238246,-0.357689
343,1.155007,0.885505,-0.269502,-0.353323
394,1.144094,0.872972,-0.271122,-0.352743
206,1.024115,0.787016,-0.237099,-0.352616
433,0.993540,0.761325,-0.232215,-0.350632
471,1.147586,0.878065,-0.269521,-0.348861
414,1.068888,0.813243,-0.255645,-0.347255
353,1.124005,0.869390,-0.254615,-0.346894
93,0.965275,0.745306,-0.219969,-0.345061
164,1.030786,0.790010,-0.240776,-0.339392
493,1.018603,0.777978,-0.240626,-0.334776
166,1.165954,0.899621,-0.266333,-0.334166
84,1.128215,0.869893,-0.258322,-0.334082
14,1.000769,0.774065,-0.226704,-0.333512
197,0.965128,0.749018,-0.216110,-0.329709
474,1.084732,0.839565,-0.245167,-0.328009
139,1.190160,0.920834,-0.269326,-0.328007
339,1.113183,0.866439,-0.246744,-0.326775
202,0.971786,0.756011,-0.215775,-0.325995
489,1.143330,0.891347,-0.251983,-0.325741
100,0.958753,0.754627,-0.204127,-0.324219
324,1.142973,0.891124,-0.251849,-0.320929
313,1.062116,0.824604,-0.237512,-0.319331
238,0.955366,0.752297,-0.203069,-0.317698
478,1.055151,0.823639,-0.231512,-0.315221
89,1.127222,0.887350,-0.239873,-0.309187
180,1.088237,0.857438,-0.230799,-0.306806
404,0.948258,0.750453,-0.197805,-0.305121
174,1.272508,1.001260,-0.271248,-0.303735
485,0.990852,0.786528,-0.204323,-0.303589
205,1.145363,0.900769,-0.244594,-0.302668
416,1.031793,0.819912,-0.211881,-0.299925
115,0.923901,0.738017,-0.185885,-0.299675
36,0.986487,0.781676,-0.204811,-0.296790
455,0.980932,0.782859,-0.198073,-0.293077
94,1.097631,0.874878,-0.222753,-0.292986
96,1.072848,0.852272,-0.220576,-0.292773
438,0.999469,0.791061,-0.208408,-0.292473
60,1.018206,0.818461,-0.199745,-0.289877
219,1.067761,0.857426,-0.210336,-0.289017
273,1.074932,0.856353,-0.218579,-0.288670
379,1.006396,0.805967,-0.200429,-0.284313
193,0.943371,0.758487,-0.184883,-0.282984
22,0.890409,0.715847,-0.174562,-0.282722
510,1.109005,0.883946,-0.225059,-0.282161
143,1.074090,0.865020,-0.209070,-0.281198
476,0.968183,0.775132,-0.193051,-0.280285
128,0.950383,0.762608,-0.187774,-0.278178
106,1.073196,0.869186,-0.204010,-0.277167
307,1.005491,0.812797,-0.192694,-0.277060
101,0.971971,0.785986,-0.185985,-0.276935
75,0.958495,0.769376,-0.189119,-0.274362
357,0.957460,0.767494,-0.189966,-0.273909
228,0.969503,0.780523,-0.188981,-0.273897
473,1.044829,0.840170,-0.204659,-0.273332
421,0.996840,0.804768,-0.192072,-0.272396
395,0.965015,0.782133,-0.182882,-0.272003
391,0.808927,0.656820,-0.152107,-0.270754
76,1.168440,0.950922,-0.217518,-0.270253
170,0.969574,0.789557,-0.180017,-0.269714
495,1.115727,0.901592,-0.214135,-0.269473
198,0.967879,0.788141,-0.179738,-0.267029
83,0.878789,0.715034,-0.163755,-0.265372
218,0.974528,0.793301,-0.181227,-0.264949
422,0.981286,0.802332,-0.178954,-0.264177
266,0.957576,0.778251,-0.179325,-0.263147
492,1.129776,0.926290,-0.203486,-0.263101
113,1.030140,0.837801,-0.192339,-0.262069
449,0.924435,0.759938,-0.164497,-0.261458
144,0.862849,0.702923,-0.159926,-0.260736
457,0.955227,0.785495,-0.169733,-0.256090
437,0.904832,0.744186,-0.160646,-0.255198
320,1.000953,0.826034,-0.174919,-0.254184
284,0.994650,0.819321,-0.175330,-0.253689
407,0.973077,0.800861,-0.172216,-0.252219
80,0.935139,0.767242,-0.167897,-0.250617
450,0.929649,0.762855,-0.166795,-0.250430
168,1.094418,0.901073,-0.193345,-0.250228
116,1.090974,0.901236,-0.189738,-0.248915
107,1.063516,0.878790,-0.184726,-0.248068
402,1.020556,0.842897,-0.177660,-0.246275
498,1.021518,0.839872,-0.181646,-0.245552
382,1.051245,0.868330,-0.182915,-0.245094
403,0.885333,0.722463,-0.162870,-0.244974
51,1.007498,0.835213,-0.172285,-0.244514
381,0.911342,0.754487,-0.156855,-0.242525
253,0.921224,0.761991,-0.159234,-0.242207
267,0.892953,0.741460,-0.151493,-0.241597
441,0.956344,0.796596,-0.159748,-0.241540
411,0.986267,0.816786,-0.169481,-0.239949
446,0.919647,0.763417,-0.156230,-0.239509
302,0.914292,0.755286,-0.159006,-0.239073
484,1.095309,0.906801,-0.188508,-0.238590
300,0.975933,0.803954,-0.171979,-0.238059
418,0.912836,0.760667,-0.152169,-0.237245
222,0.878194,0.731237,-0.146956,-0.234996
57,0.918139,0.764686,-0.153453,-0.234108
424,0.948731,0.786842,-0.161890,-0.232955
372,1.029116,0.858772,-0.170344,-0.231782
13,0.865155,0.723402,-0.141753,-0.231426
66,0.930721,0.774061,-0.156661,-0.230416
189,1.141868,0.956833,-0.185035,-0.229803
220,1.147543,0.962248,-0.185296,-0.228746
477,0.975188,0.814321,-0.160867,-0.228243
47,0.994977,0.834595,-0.160382,-0.226079
261,0.928036,0.780551,-0.147485,-0.223729
345,0.959422,0.798344,-0.161078,-0.223558
207,0.813411,0.684439,-0.128972,-0.221685
369,0.918839,0.772281,-0.146558,-0.220828
162,1.093843,0.920337,-0.173506,-0.220342
280,0.908480,0.767763,-0.140718,-0.220309
479,0.892889,0.751196,-0.141693,-0.219623
511,0.908495,0.763605,-0.144890,-0.218521
358,0.875882,0.739671,-0.136211,-0.218351
464,0.926896,0.781752,-0.145144,-0.217722
20,0.976529,0.822001,-0.154528,-0.217305
396,0.963502,0.812948,-0.150554,-0.217158
486,0.956933,0.804246,-0.152687,-0.215538
209,0.916620,0.779819,-0.136800,-0.215237
191,0.949932,0.800063,-0.149869,-0.213310
216,0.874852,0.737151,-0.137701,-0.212840
54,0.901899,0.762286,-0.139613,-0.212737
23,0.946061,0.786566,-0.159495,-0.211938
241,1.038858,0.881703,-0.157155,-0.211418
390,0.928534,0.785736,-0.142798,-0.211199
334,1.004772,0.853959,-0.150813,-0.211049
181,1.009591,0.862097,-0.147493,-0.210131
383,0.980381,0.835666,-0.144715,-0.209971
508,0.894048,0.758386,-0.135662,-0.209370
97,0.845383,0.719011,-0.126372,-0.209098
340,1.024817,0.871882,-0.152935,-0.207856
74,0.933799,0.789365,-0.144433,-0.206812
124,0.877268,0.747296,-0.129972,-0.206154
211,1.007887,0.856660,-0.151227,-0.203609
86,0.897804,0.766529,-0.131274,-0.203351
400,0.968396,0.827523,-0.140873,-0.202994
252,0.885783,0.756091,-0.129692,-0.202753
452,0.933520,0.796708,-0.136812,-0.200335
215,0.875253,0.747336,-0.127917,-0.199571
59,0.859163,0.734638,-0.124525,-0.198954
9,0.867080,0.742937,-0.124143,-0.198943
308,0.895579,0.768102,-0.127477,-0.198769
98,0.920321,0.788870,-0.131451,-0.198539
373,0.944307,0.809421,-0.134886,-0.196696
175,0.878133,0.751782,-0.126351,-0.196633
258,1.046819,0.899480,-0.147339,-0.196379
194,0.871701,0.742939,-0.128762,-0.195783
133,0.940048,0.806295,-0.133753,-0.194641
257,0.836299,0.716453,-0.119846,-0.194084
19,0.949940,0.814002,-0.135938,-0.193577
475,1.010166,0.869739,-0.140427,-0.193362
178,0.937758,0.808548,-0.129210,-0.192863
160,0.910691,0.783434,-0.127256,-0.192822
507,0.924134,0.796442,-0.127692,-0.192709
296,0.807058,0.691827,-0.115231,-0.192386
427,0.933523,0.797788,-0.135736,-0.192101
117,0.897158,0.776007,-0.121151,-0.191253
332,0.830236,0.714710,-0.115526,-0.190775
140,0.799654,0.687970,-0.111684,-0.190543
187,0.847693,0.728124,-0.119569,-0.190455
167,0.833395,0.718954,-0.114441,-0.190142
43,0.911363,0.783470,-0.127894,-0.190025
179,1.033532,0.887804,-0.145728,-0.189164
434,0.916666,0.789099,-0.127567,-0.189031
286,1.072595,0.927600,-0.144995,-0.188796
129,0.916932,0.794472,-0.122460,-0.188601
138,0.980605,0.842185,-0.138419,-0.188429
154,0.946685,0.815037,-0.131647,-0.188002
235,0.801035,0.690112,-0.110922,-0.187961
491,0.870033,0.748425,-0.121609,-0.187868
254,0.853142,0.732320,-0.120822,-0.187690
44,0.870623,0.745332,-0.125290,-0.187391
210,0.995239,0.862270,-0.132969,-0.187259
72,0.874443,0.752515,-0.121928,-0.186923
444,0.949223,0.820796,-0.128428,-0.186185
333,0.933575,0.808263,-0.125312,-0.185925
269,0.859805,0.743257,-0.116548,-0.185481
172,0.831020,0.719975,-0.111045,-0.185360
119,0.856759,0.740307,-0.116452,-0.184990
355,1.023433,0.891727,-0.131706,-0.184872
134,0.826117,0.711693,-0.114424,-0.184420
364,0.955053,0.826818,-0.128234,-0.184091
141,0.818447,0.708133,-0.110314,-0.184057
37,0.974527,0.846275,-0.128252,-0.183796
234,0.911119,0.790708,-0.120412,-0.183654
142,0.886143,0.768886,-0.117257,-0.183568
232,0.905441,0.785597,-0.119844,-0.182212
378,0.833430,0.718809,-0.114621,-0.181877
203,0.840860,0.729530,-0.111331,-0.181183
157,0.880786,0.762176,-0.118610,-0.180490
15,0.864950,0.750477,-0.114473,-0.180071
111,0.804104,0.696767,-0.107337,-0.179158
329,0.896590,0.781425,-0.115165,-0.178765
361,0.917339,0.796602,-0.120737,-0.177752
453,0.897007,0.774613,-0.122394,-0.177301
92,0.824445,0.717449,-0.106995,-0.175902
412,0.862838,0.747950,-0.114888,-0.175751
351,0.790490,0.688546,-0.101944,-0.174740
64,0.942432,0.823150,-0.119282,-0.173856
279,0.767884,0.665044,-0.102841,-0.173600
494,0.890194,0.774639,-0.115554,-0.173125
509,0.912909,0.796320,-0.116589,-0.172491
268,0.801958,0.698976,-0.102983,-0.172327
496,0.967228,0.841373,-0.125856,-0.171818
439,0.860065,0.748185,-0.111880,-0.171651
454,0.798579,0.696545,-0.102033,-0.171415
3,0.813028,0.712025,-0.101003,-0.171183
229,0.872745,0.761472,-0.111273,-0.170771
321,0.871782,0.760079,-0.111703,-0.168834
127,0.886149,0.776112,-0.110037,-0.168628
82,0.934601,0.821444,-0.113157,-0.168042
81,0.889140,0.779140,-0.110000,-0.167990
136,0.833787,0.729883,-0.103904,-0.166596
440,1.023817,0.900572,-0.123245,-0.166239
315,0.883605,0.776741,-0.106864,-0.165845
325,0.874764,0.771485,-0.103279,-0.164496
39,0.896477,0.791260,-0.105217,-0.164142
63,0.826551,0.723906,-0.102645,-0.164134
322,0.878757,0.773088,-0.105669,-0.163491
35,0.983001,0.860442,-0.122558,-0.162855
90,0.861674,0.759548,-0.102126,-0.162544
370,0.837548,0.737757,-0.099790,-0.162292
389,0.813322,0.713528,-0.099794,-0.161867
451,0.843368,0.742975,-0.100393,-0.161598
292,0.760887,0.671138,-0.089749,-0.161574
392,0.828220,0.726757,-0.101463,-0.161461
275,0.930211,0.816578,-0.113633,-0.161095
190,0.968396,0.852270,-0.116126,-0.160283
318,1.036745,0.917917,-0.118828,-0.160270
123,0.824398,0.725706,-0.098691,-0.159929
73,0.776011,0.682290,-0.093721,-0.159550
303,0.921258,0.812571,-0.108687,-0.159021
260,0.821890,0.721383,-0.100506,-0.158801
99,1.004293,0.884543,-0.119751,-0.158443
397,0.855264,0.754972,-0.100291,-0.158269
488,0.810879,0.711781,-0.099098,-0.158068
356,0.869552,0.769169,-0.100383,-0.155393
237,0.833240,0.736501,-0.096739,-0.155071
0,0.811652,0.719469,-0.092182,-0.154666
462,0.930040,0.822778,-0.107262,-0.154229
225,0.880554,0.780794,-0.099760,-0.153101
146,0.860799,0.765837,-0.094962,-0.153007
165,0.795755,0.705233,-0.090522,-0.152965
423,0.800655,0.711142,-0.089513,-0.151819
169,0.885754,0.783507,-0.102247,-0.151251
145,0.867711,0.770499,-0.097212,-0.151056
282,0.808203,0.715429,-0.092774,-0.150271
316,0.939779,0.836922,-0.102857,-0.150170
71,0.847432,0.750176,-0.097257,-0.149828
419,0.908228,0.807414,-0.100814,-0.149778
399,0.911836,0.808538,-0.103298,-0.149211
310,0.890730,0.789360,-0.101370,-0.148468
196,0.898699,0.800177,-0.098522,-0.148140
148,0.799218,0.709590,-0.089628,-0.147803
45,0.914286,0.811412,-0.102874,-0.146977
468,0.926189,0.823050,-0.103139,-0.146738
436,0.865242,0.772754,-0.092489,-0.146068
430,0.864446,0.771829,-0.092617,-0.145801
380,0.877205,0.783551,-0.093655,-0.145641
490,0.898759,0.803336,-0.095424,-0.144837
4,0.900496,0.804485,-0.096011,-0.144018
352,0.835350,0.741795,-0.093555,-0.143886
87,0.800883,0.713962,-0.086921,-0.143886
429,0.856079,0.766622,-0.089456,-0.143719
29,0.906180,0.809052,-0.097128,-0.142579
62,0.775234,0.689751,-0.085482,-0.142214
224,0.920183,0.820449,-0.099733,-0.141565
67,0.854725,0.766776,-0.087949,-0.141384
11,0.948064,0.846517,-0.101547,-0.141089
365,0.877223,0.782825,-0.094398,-0.140841
230,0.803206,0.717195,-0.086011,-0.140408
2,0.991727,0.887346,-0.104381,-0.140372
387,1.053623,0.940039,-0.113584,-0.140359
398,0.884005,0.790396,-0.093609,-0.139509
289,0.862038,0.774236,-0.087802,-0.138845
393,0.844178,0.758573,-0.085605,-0.138788
108,0.964683,0.866911,-0.097772,-0.138160
272,0.942912,0.842820,-0.100092,-0.137863
265,0.777768,0.698914,-0.078855,-0.137722
150,0.907030,0.811385,-0.095645,-0.137371
384,0.813920,0.729524,-0.084396,-0.136238
274,0.900547,0.809589,-0.090958,-0.136145
173,0.805081,0.722879,-0.082203,-0.136120
375,0.860336,0.771339,-0.088996,-0.135724
281,0.848554,0.762479,-0.086075,-0.135396
374,0.793312,0.711024,-0.082288,-0.135377
70,0.871508,0.782892,-0.088616,-0.134442
317,0.951313,0.853149,-0.098164,-0.134163
505,0.940325,0.846720,-0.093605,-0.133746
467,0.802864,0.721211,-0.081653,-0.133411
135,0.883090,0.794998,-0.088093,-0.132835
5,0.797806,0.718182,-0.079624,-0.131891
337,0.928574,0.834264,-0.094310,-0.131721
69,0.805117,0.725718,-0.079399,-0.130032
506,0.898969,0.813040,-0.085928,-0.129896
499,0.887755,0.800943,-0.086812,-0.129211
233,0.851787,0.767231,-0.084556,-0.126408
112,0.994324,0.901038,-0.093286,-0.124119
208,1.085377,0.983139,-0.102238,-0.124056
217,0.851882,0.772440,-0.079442,-0.123534
335,0.844680,0.764137,-0.080542,-0.123520
32,0.843094,0.765543,-0.077551,-0.123224
312,0.904962,0.815394,-0.089568,-0.123182
50,0.901968,0.813822,-0.088146,-0.123061
122,0.811243,0.734910,-0.076333,-0.122628
185,0.766516,0.695369,-0.071148,-0.122483
31,0.840705,0.762078,-0.078627,-0.122418
428,0.819074,0.744081,-0.074993,-0.122413
336,0.666440,0.603694,-0.062746,-0.121551
461,0.878468,0.798541,-0.079927,-0.121373
18,0.936719,0.848900,-0.087819,-0.120798
68,0.888177,0.805676,-0.082501,-0.120687
330,0.760225,0.689106,-0.071119,-0.120072
121,0.925150,0.843141,-0.082009,-0.120019
182,0.837222,0.760923,-0.076299,-0.119586
88,0.926388,0.843022,-0.083365,-0.119266
420,0.850785,0.776623,-0.074162,-0.118360
377,0.829585,0.754261,-0.075324,-0.118284
406,0.823476,0.750974,-0.072502,-0.116814
328,0.788328,0.720351,-0.067977,-0.116664
158,0.906507,0.824897,-0.081610,-0.116485
348,0.871357,0.795064,-0.076293,-0.116385
153,0.933361,0.851474,-0.081888,-0.116298
243,0.793033,0.722409,-0.070625,-0.116160
55,0.835706,0.764569,-0.071137,-0.116093
38,0.871867,0.795923,-0.075943,-0.115726
244,0.903969,0.824355,-0.079614,-0.115638
435,0.828585,0.756305,-0.072280,-0.115470
199,0.890770,0.812297,-0.078473,-0.115303
481,0.838706,0.766711,-0.071995,-0.115172
161,0.812863,0.741509,-0.071354,-0.115132
460,0.805892,0.733571,-0.072321,-0.115079
46,0.768303,0.702766,-0.065537,-0.114800
236,0.922231,0.843296,-0.078936,-0.112863
276,0.756210,0.690758,-0.065452,-0.112847
126,0.921954,0.840496,-0.081458,-0.112599
110,0.834735,0.764176,-0.070559,-0.111676
249,0.826457,0.757144,-0.069313,-0.111237
171,0.812769,0.744390,-0.068379,-0.110673
17,0.779663,0.714029,-0.065634,-0.110314
248,0.860740,0.791008,-0.069732,-0.109831
327,0.854986,0.782545,-0.072441,-0.109749
65,0.752861,0.688922,-0.063938,-0.109437
58,0.962342,0.883419,-0.078924,-0.108954
102,0.814778,0.746664,-0.068113,-0.107597
283,0.987178,0.908324,-0.078855,-0.107162
6,0.776524,0.712581,-0.063943,-0.106457
299,0.906996,0.834196,-0.072800,-0.106075
49,0.740861,0.682003,-0.058858,-0.105925
152,0.798821,0.736696,-0.062125,-0.103859
118,0.816916,0.752379,-0.064538,-0.103447
459,0.852308,0.784957,-0.067351,-0.102730
362,0.738583,0.680947,-0.057636,-0.101816
466,0.834345,0.767595,-0.066750,-0.101453
425,0.930240,0.857758,-0.072482,-0.101449
448,0.913616,0.842282,-0.071334,-0.100650
184,0.759901,0.702380,-0.057521,-0.100467
221,0.915519,0.844715,-0.070804,-0.099485
445,0.793837,0.733918,-0.059919,-0.099036
1,0.909826,0.841628,-0.068199,-0.098714
186,0.942034,0.873436,-0.068598,-0.098672
201,0.942975,0.869228,-0.073747,-0.098319
213,0.801119,0.742545,-0.058574,-0.097781
504,0.878269,0.813156,-0.065112,-0.097366
458,0.835022,0.773032,-0.061990,-0.096714
271,0.740411,0.684739,-0.055671,-0.096026
331,0.698152,0.646503,-0.051649,-0.095810
502,0.852824,0.788965,-0.063859,-0.095746
401,0.855341,0.789923,-0.065418,-0.095636
78,0.809377,0.750595,-0.058782,-0.094895
278,0.849129,0.786185,-0.062944,-0.094260
240,0.867370,0.803138,-0.064232,-0.094252
346,0.900033,0.834910,-0.065123,-0.093017
130,0.851853,0.791558,-0.060295,-0.092626
256,0.712487,0.661249,-0.051237,-0.092383
156,0.862283,0.799542,-0.062740,-0.092342
354,0.792249,0.735689,-0.056561,-0.091869
204,0.915667,0.853520,-0.062146,-0.090448
226,0.886729,0.826930,-0.059800,-0.089860
149,0.819398,0.763700,-0.055698,-0.088147
285,0.838735,0.782623,-0.056111,-0.087632
301,0.801450,0.747649,-0.053801,-0.086354
251,0.824190,0.769222,-0.054967,-0.086258
48,0.771955,0.720398,-0.051557,-0.085887
95,0.856351,0.800548,-0.055803,-0.084488
25,0.795156,0.744018,-0.051138,-0.084391
405,0.719889,0.673223,-0.046666,-0.082144
294,0.842031,0.789658,-0.052373,-0.081074
410,0.791387,0.743999,-0.047388,-0.080285
326,0.840277,0.787072,-0.053205,-0.079910
77,0.716135,0.671548,-0.044587,-0.079144
21,0.870402,0.817700,-0.052702,-0.078867
349,0.925101,0.869733,-0.055367,-0.078559
480,0.821059,0.770863,-0.050196,-0.078488
338,0.821010,0.771935,-0.049075,-0.078473
463,0.737415,0.692606,-0.044809,-0.078000
262,0.772746,0.725446,-0.047300,-0.077035
227,0.827768,0.778751,-0.049017,-0.076993
