dimension,smp_mean_delta,smp_std_delta,ai_base_mean_delta,ai_base_std_delta,difference_ai_minus_smp,abs_difference,cohens_d,discrimination_rank
214,1.739141,1.275763,1.240969,0.993121,-0.498173,0.498173,-0.435766,1
470,1.428817,1.039150,1.026899,0.757724,-0.401918,0.401918,-0.441965,2
359,1.351311,0.960772,0.974671,0.733778,-0.376639,0.376639,-0.440595,3
10,1.412677,1.003703,1.036561,0.816400,-0.376116,0.376116,-0.411120,4
469,1.622592,1.117235,1.253453,1.020538,-0.369138,0.369138,-0.344996,5
288,1.476621,1.091055,1.112627,0.907494,-0.363994,0.363994,-0.362732,6
368,1.381965,0.958884,1.052011,0.809363,-0.329953,0.329953,-0.371871,7
104,1.389222,1.062126,1.061070,0.810475,-0.328152,0.328152,-0.347355,8
415,1.312072,0.953073,1.013753,0.765147,-0.298320,0.298320,-0.345184,9
319,1.305524,0.889436,1.008507,0.805399,-0.297017,0.297017,-0.350066,10
482,1.339280,0.914881,1.050027,0.809560,-0.289253,0.289253,-0.334851,11
41,1.253986,0.909883,0.970315,0.730724,-0.283671,0.283671,-0.343769,12
85,1.305629,1.014686,1.027963,0.816120,-0.277666,0.277666,-0.301558,13
53,1.117232,0.800565,0.840918,0.637859,-0.276314,0.276314,-0.381755,14
293,1.239962,0.842888,0.970630,0.750397,-0.269332,0.269332,-0.337516,15
239,1.198874,0.872416,0.930311,0.713309,-0.268563,0.268563,-0.337033,16
242,1.361010,0.956985,1.094353,0.839809,-0.266658,0.266658,-0.296186,17
431,1.194011,0.829843,0.932442,0.728173,-0.261569,0.261569,-0.335059,18
132,1.213604,0.876868,0.956461,0.757909,-0.257143,0.257143,-0.313761,19
28,1.174767,0.848596,0.923822,0.719519,-0.250944,0.250944,-0.318980,20
155,1.149852,0.817749,0.899556,0.684175,-0.250296,0.250296,-0.331990,21
8,1.207593,0.864445,0.964097,0.754198,-0.243496,0.243496,-0.300169,22
456,1.133387,0.781182,0.890033,0.682318,-0.243353,0.243353,-0.331807,23
176,1.128617,0.797272,0.889284,0.689748,-0.239333,0.239333,-0.321058,24
503,1.260542,0.890142,1.030062,0.837368,-0.230479,0.230479,-0.266710,25
342,1.297302,0.909033,1.068283,0.824261,-0.229019,0.229019,-0.263944,26
26,1.090379,0.820365,0.862382,0.670007,-0.227997,0.227997,-0.304414,27
409,1.250603,0.892360,1.023420,0.779361,-0.227183,0.227183,-0.271177,28
177,1.127109,0.785615,0.901683,0.692850,-0.225426,0.225426,-0.304347,29
408,1.168819,0.827899,0.944685,0.724304,-0.224134,0.224134,-0.288154,30
305,1.092014,0.791706,0.872317,0.663305,-0.219696,0.219696,-0.300817,31
363,1.090195,0.776493,0.872041,0.657867,-0.218155,0.218155,-0.303149,32
34,1.259751,0.871858,1.044314,0.795584,-0.215437,0.215437,-0.258135,33
147,1.208056,0.835208,0.992769,0.764559,-0.215287,0.215287,-0.268886,34
166,1.165954,0.863456,0.951080,0.744575,-0.214875,0.214875,-0.266524,35
414,1.068888,0.806578,0.854888,0.674284,-0.214000,0.214000,-0.287874,36
323,1.067647,0.782101,0.856952,0.678510,-0.210696,0.210696,-0.287781,37
223,1.031535,0.736470,0.827800,0.631512,-0.203735,0.203735,-0.296990,38
27,1.034859,0.753566,0.831668,0.632861,-0.203191,0.203191,-0.292010,39
432,1.165328,0.813326,0.963435,0.743425,-0.201893,0.201893,-0.259116,40
313,1.062116,0.812288,0.860344,0.686316,-0.201772,0.201772,-0.268333,41
12,1.102888,0.765773,0.905929,0.677360,-0.196959,0.196959,-0.272449,42
79,1.065020,0.767623,0.868465,0.652783,-0.196555,0.196555,-0.275859,43
324,1.142973,0.847209,0.946450,0.747029,-0.196523,0.196523,-0.246056,44
206,1.024115,0.711944,0.830511,0.625820,-0.193604,0.193604,-0.288846,45
