category,rank,dimension,mean_delta,std_delta
combined,1,469,1.404806,1.075736
combined,2,214,1.341981,1.005499
combined,3,291,1.299163,0.868160
combined,4,288,1.272375,1.016061
combined,5,245,1.256035,0.863035
combined,6,189,1.243624,0.889964
combined,7,286,1.232126,0.883769
combined,8,242,1.227948,0.895482
combined,9,174,1.224379,0.901456
combined,10,120,1.219776,0.869238
combined,11,220,1.207081,0.894634
combined,12,147,1.183323,0.844338
combined,13,76,1.156844,0.844722
combined,14,287,1.153049,0.792751
combined,15,10,1.149776,0.868553
combined,16,409,1.144604,0.822656
combined,17,470,1.143787,0.822826
combined,18,259,1.143231,0.841398
combined,19,210,1.137645,0.826145
combined,20,342,1.134171,0.802235
combined,21,319,1.132464,0.867198
combined,22,355,1.132109,0.809908
combined,23,482,1.132024,0.838077
combined,24,368,1.123667,0.813419
combined,25,415,1.123188,0.810649
combined,26,503,1.118359,0.814002
combined,27,244,1.113323,0.794235
combined,28,85,1.112531,0.773541
combined,29,104,1.112147,0.807615
combined,30,208,1.104974,0.840762
none,1,469,1.365563,1.052557
none,2,214,1.316054,1.003545
none,3,288,1.212610,0.969653
none,4,210,1.186983,0.870783
none,5,174,1.173160,0.847336
none,6,318,1.159995,0.856547
none,7,220,1.155644,0.874057
none,8,208,1.153935,0.871152
none,9,242,1.152062,0.857910
none,10,58,1.143338,0.809089
none,11,368,1.133932,0.855339
none,12,387,1.124650,0.840454
none,13,286,1.121901,0.859237
none,14,255,1.113800,0.841695
none,15,342,1.113470,0.827442
none,16,349,1.112651,0.795127
none,17,291,1.108516,0.818839
none,18,104,1.106765,0.820715
none,19,120,1.105963,0.823362
none,20,482,1.101160,0.811238
none,21,371,1.093699,0.833063
none,22,189,1.087300,0.794628
none,23,355,1.085224,0.791041
none,24,139,1.084424,0.812006
none,25,470,1.083287,0.747537
none,26,415,1.081864,0.773152
none,27,94,1.079907,0.772736
none,28,85,1.079551,0.800978
none,29,319,1.079144,0.838731
none,30,192,1.078580,0.809554
pitch_down_large,1,469,1.401967,1.079862
pitch_down_large,2,210,1.341049,0.917404
pitch_down_large,3,214,1.307264,0.933732
pitch_down_large,4,318,1.230849,0.867243
pitch_down_large,5,360,1.219835,0.813973
pitch_down_large,6,288,1.204815,0.981698
pitch_down_large,7,242,1.188758,0.878529
pitch_down_large,8,208,1.172437,0.886135
pitch_down_large,9,440,1.168256,0.828084
pitch_down_large,10,368,1.160547,0.855423
pitch_down_large,11,192,1.150680,0.814380
pitch_down_large,12,255,1.149829,0.848538
pitch_down_large,13,492,1.144525,0.814139
pitch_down_large,14,286,1.141581,0.815072
pitch_down_large,15,244,1.137922,0.767572
pitch_down_large,16,153,1.136820,0.820513
pitch_down_large,17,342,1.136580,0.808636
pitch_down_large,18,387,1.135863,0.828696
pitch_down_large,19,174,1.122790,0.805447
pitch_down_large,20,220,1.118925,0.839850
pitch_down_large,21,104,1.115773,0.801294
pitch_down_large,22,120,1.110863,0.822776
pitch_down_large,23,58,1.109108,0.814101
pitch_down_large,24,371,1.108231,0.802012
pitch_down_large,25,470,1.107781,0.757678
pitch_down_large,26,355,1.106381,0.784438
pitch_down_large,27,349,1.103470,0.748047
pitch_down_large,28,417,1.103117,0.764332
pitch_down_large,29,139,1.102111,0.810870
pitch_down_large,30,89,1.100005,0.844865
pitch_down_small,1,469,1.373706,1.077221
pitch_down_small,2,214,1.323606,0.978160
pitch_down_small,3,210,1.278244,0.870919
pitch_down_small,4,318,1.219495,0.864103
pitch_down_small,5,288,1.214939,1.002321
pitch_down_small,6,220,1.173722,0.874146
pitch_down_small,7,360,1.169681,0.781094
pitch_down_small,8,242,1.168353,0.872249
pitch_down_small,9,208,1.162143,0.882997
pitch_down_small,10,120,1.162058,0.832599
pitch_down_small,11,291,1.154370,0.821974
pitch_down_small,12,371,1.150176,0.809760
pitch_down_small,13,342,1.134949,0.829416
pitch_down_small,14,440,1.133023,0.817208
pitch_down_small,15,174,1.132532,0.809658
pitch_down_small,16,58,1.131148,0.818120
pitch_down_small,17,255,1.128406,0.845384
pitch_down_small,18,286,1.126208,0.830868
pitch_down_small,19,368,1.118078,0.853529
pitch_down_small,20,387,1.115471,0.798464
pitch_down_small,21,139,1.115369,0.823291
pitch_down_small,22,470,1.114895,0.787823
pitch_down_small,23,221,1.113678,0.810969
pitch_down_small,24,104,1.098868,0.807873
pitch_down_small,25,349,1.096231,0.769047
pitch_down_small,26,244,1.092441,0.771798
pitch_down_small,27,482,1.091781,0.779918
pitch_down_small,28,192,1.091369,0.762621
pitch_down_small,29,355,1.088533,0.787962
pitch_down_small,30,264,1.085042,0.768738
pitch_up_large,1,469,1.439122,1.150581
pitch_up_large,2,214,1.321006,0.979075
pitch_up_large,3,210,1.267887,0.902843
pitch_up_large,4,368,1.215682,0.887936
pitch_up_large,5,440,1.215473,0.833700
pitch_up_large,6,288,1.206517,0.991352
pitch_up_large,7,371,1.178802,0.830158
pitch_up_large,8,174,1.178254,0.875609
pitch_up_large,9,236,1.160447,0.827420
pitch_up_large,10,387,1.155871,0.815751
pitch_up_large,11,192,1.154639,0.784195
pitch_up_large,12,242,1.154231,0.865559
pitch_up_large,13,318,1.150713,0.816996
pitch_up_large,14,139,1.147653,0.846362
pitch_up_large,15,492,1.144942,0.841799
pitch_up_large,16,153,1.138709,0.816806
pitch_up_large,17,360,1.129200,0.762081
pitch_up_large,18,85,1.121746,0.845160
pitch_up_large,19,444,1.113021,0.754785
pitch_up_large,20,204,1.112020,0.796381
pitch_up_large,21,417,1.108845,0.777162
pitch_up_large,22,76,1.102885,0.773188
pitch_up_large,23,349,1.102244,0.769907
pitch_up_large,24,220,1.100084,0.830045
pitch_up_large,25,104,1.096950,0.801498
pitch_up_large,26,470,1.096238,0.775067
pitch_up_large,27,373,1.094598,0.756865
pitch_up_large,28,244,1.092712,0.747748
pitch_up_large,29,208,1.089423,0.807302
pitch_up_large,30,425,1.087162,0.800601
pitch_up_small,1,469,1.435219,1.123428
pitch_up_small,2,214,1.322409,0.986173
pitch_up_small,3,210,1.227833,0.868032
pitch_up_small,4,288,1.196951,0.982030
pitch_up_small,5,242,1.183123,0.871113
pitch_up_small,6,368,1.179021,0.889820
pitch_up_small,7,220,1.176414,0.865792
pitch_up_small,8,318,1.165556,0.845594
pitch_up_small,9,174,1.152028,0.821866
pitch_up_small,10,208,1.149993,0.881126
pitch_up_small,11,349,1.139806,0.800120
pitch_up_small,12,371,1.134147,0.813659
pitch_up_small,13,85,1.130155,0.817327
pitch_up_small,14,360,1.116495,0.755120
pitch_up_small,15,139,1.113016,0.801969
pitch_up_small,16,286,1.112612,0.822852
pitch_up_small,17,104,1.110617,0.809533
pitch_up_small,18,387,1.109878,0.799829
pitch_up_small,19,342,1.109522,0.809293
pitch_up_small,20,470,1.105399,0.771161
pitch_up_small,21,120,1.105107,0.814266
pitch_up_small,22,492,1.098795,0.837184
pitch_up_small,23,255,1.097986,0.820186
pitch_up_small,24,58,1.095805,0.798978
pitch_up_small,25,192,1.092054,0.799292
pitch_up_small,26,444,1.090722,0.758340
pitch_up_small,27,409,1.085172,0.774259
pitch_up_small,28,291,1.083750,0.782322
pitch_up_small,29,440,1.082740,0.796827
pitch_up_small,30,221,1.080567,0.813631
tempo_down_large,1,214,1.361013,1.030838
tempo_down_large,2,469,1.356097,1.014906
tempo_down_large,3,288,1.290367,1.002134
tempo_down_large,4,291,1.235540,0.878764
tempo_down_large,5,220,1.197258,0.881324
tempo_down_large,6,342,1.192669,0.852257
tempo_down_large,7,174,1.192077,0.853050
tempo_down_large,8,189,1.191516,0.878375
tempo_down_large,9,286,1.184410,0.865215
tempo_down_large,10,208,1.177251,0.918604
tempo_down_large,11,319,1.166418,0.883509
tempo_down_large,12,245,1.160493,0.844150
tempo_down_large,13,482,1.157398,0.864018
tempo_down_large,14,242,1.156612,0.858198
tempo_down_large,15,104,1.152776,0.855418
tempo_down_large,16,510,1.151453,0.865350
tempo_down_large,17,85,1.142571,0.812617
tempo_down_large,18,368,1.140595,0.841507
tempo_down_large,19,355,1.137589,0.809348
tempo_down_large,20,287,1.135089,0.774142
tempo_down_large,21,168,1.133210,0.825574
tempo_down_large,22,147,1.125334,0.827369
tempo_down_large,23,470,1.124396,0.765882
tempo_down_large,24,76,1.122032,0.831001
tempo_down_large,25,409,1.119900,0.818159
tempo_down_large,26,415,1.114218,0.788077
tempo_down_large,27,371,1.107903,0.808155
tempo_down_large,28,318,1.106822,0.817043
tempo_down_large,29,264,1.105220,0.785962
tempo_down_large,30,10,1.102766,0.834111
tempo_up_large,1,469,1.378506,1.065372
tempo_up_large,2,214,1.355143,1.042929
tempo_up_large,3,286,1.255260,0.913368
tempo_up_large,4,288,1.243070,0.982923
tempo_up_large,5,220,1.232932,0.907936
tempo_up_large,6,242,1.221940,0.882775
tempo_up_large,7,174,1.191145,0.895507
tempo_up_large,8,291,1.188830,0.820353
tempo_up_large,9,147,1.178982,0.860283
tempo_up_large,10,120,1.175594,0.844129
tempo_up_large,11,245,1.172934,0.837353
tempo_up_large,12,189,1.171180,0.852838
tempo_up_large,13,259,1.168595,0.867625
tempo_up_large,14,510,1.166815,0.878729
tempo_up_large,15,355,1.153909,0.835491
tempo_up_large,16,409,1.139691,0.826155
tempo_up_large,17,104,1.136028,0.820243
tempo_up_large,18,221,1.130495,0.835174
tempo_up_large,19,470,1.130297,0.806166
tempo_up_large,20,58,1.130089,0.812373
tempo_up_large,21,342,1.129411,0.837954
tempo_up_large,22,317,1.128421,0.817787
tempo_up_large,23,85,1.128376,0.813571
tempo_up_large,24,10,1.128097,0.823350
tempo_up_large,25,76,1.127304,0.822798
tempo_up_large,26,112,1.115523,0.819918
tempo_up_large,27,319,1.114695,0.853153
tempo_up_large,28,482,1.114434,0.831340
tempo_up_large,29,503,1.113870,0.825433
tempo_up_large,30,287,1.112783,0.768224
