category,rank,dimension,mean_delta,std_delta
combined,1,469,1.475592,1.098844
combined,2,214,1.446042,1.095957
combined,3,470,1.349739,1.016921
combined,4,85,1.317348,1.047130
combined,5,104,1.305721,1.043583
combined,6,242,1.305088,0.929103
combined,7,10,1.258133,0.943114
combined,8,174,1.257539,0.938567
combined,9,288,1.249021,0.950389
combined,10,342,1.234003,0.892000
combined,11,503,1.214160,0.876118
combined,12,368,1.213312,0.906008
combined,13,139,1.210662,0.865333
combined,14,482,1.198191,0.841230
combined,15,431,1.191141,0.870212
combined,16,293,1.188717,0.850701
combined,17,359,1.179917,0.847395
combined,18,34,1.179510,0.848822
combined,19,208,1.169474,0.893718
combined,20,471,1.168647,0.874303
combined,21,408,1.161392,0.847777
combined,22,495,1.160982,0.855610
combined,23,189,1.147445,0.836722
combined,24,415,1.143860,0.835394
combined,25,147,1.138755,0.828799
combined,26,409,1.137655,0.823350
combined,27,8,1.137482,0.837492
combined,28,371,1.136123,0.839446
combined,29,319,1.134770,0.863532
combined,30,162,1.132892,0.841261
none,1,214,1.739141,1.275763
none,2,469,1.622592,1.117235
none,3,288,1.476621,1.091055
none,4,470,1.428817,1.039150
none,5,10,1.412677,1.003703
none,6,104,1.389222,1.062126
none,7,368,1.381965,0.958884
none,8,242,1.361010,0.956985
none,9,359,1.351311,0.960772
none,10,482,1.339280,0.914881
none,11,415,1.312072,0.953073
none,12,85,1.305629,1.014686
none,13,319,1.305524,0.889436
none,14,342,1.297302,0.909033
none,15,174,1.272508,0.945975
none,16,503,1.260542,0.890142
none,17,34,1.259751,0.871858
none,18,41,1.253986,0.909883
none,19,409,1.250603,0.892360
none,20,293,1.239962,0.842888
none,21,132,1.213604,0.876868
none,22,147,1.208056,0.835208
none,23,8,1.207593,0.864445
none,24,371,1.201840,0.840005
none,25,239,1.198874,0.872416
none,26,431,1.194011,0.829843
none,27,139,1.190160,0.878620
none,28,255,1.174940,0.843441
none,29,28,1.174767,0.848596
none,30,408,1.168819,0.827899
pitch_down_large,1,214,1.472829,1.180918
pitch_down_large,2,469,1.378631,1.067694
pitch_down_large,3,242,1.356715,0.964890
pitch_down_large,4,470,1.349648,1.012890
pitch_down_large,5,85,1.276626,1.031889
pitch_down_large,6,342,1.258098,0.900093
pitch_down_large,7,104,1.257056,1.023645
pitch_down_large,8,10,1.249650,0.926907
pitch_down_large,9,288,1.229530,0.947771
pitch_down_large,10,34,1.227132,0.880702
pitch_down_large,11,387,1.217062,0.910567
pitch_down_large,12,482,1.207903,0.856768
pitch_down_large,13,293,1.195075,0.830074
pitch_down_large,14,431,1.192691,0.836682
pitch_down_large,15,415,1.189547,0.893584
pitch_down_large,16,8,1.186375,0.862233
pitch_down_large,17,41,1.180463,0.880245
pitch_down_large,18,503,1.178082,0.835316
pitch_down_large,19,359,1.177730,0.873590
pitch_down_large,20,368,1.168990,0.881398
pitch_down_large,21,139,1.162867,0.859563
pitch_down_large,22,239,1.158410,0.846963
pitch_down_large,23,408,1.153436,0.859960
pitch_down_large,24,137,1.145028,0.877520
pitch_down_large,25,174,1.144878,0.876306
pitch_down_large,26,76,1.144444,0.783928
pitch_down_large,27,471,1.132344,0.852055
pitch_down_large,28,371,1.132095,0.828177
pitch_down_large,29,324,1.130705,0.846496
pitch_down_large,30,219,1.129699,0.799207
pitch_down_small,1,214,1.615780,1.224751
pitch_down_small,2,469,1.528790,1.113029
pitch_down_small,3,470,1.436792,1.072224
pitch_down_small,4,85,1.365795,1.059268
pitch_down_small,5,10,1.355068,0.975783
pitch_down_small,6,242,1.353526,0.966775
pitch_down_small,7,288,1.350993,1.000167
pitch_down_small,8,104,1.347810,1.065118
