category,rank,dimension,mean_delta,std_delta
combined,1,214,1.349117,1.038334
combined,2,469,1.307825,1.023916
combined,3,288,1.297056,1.014543
combined,4,174,1.230390,0.917464
combined,5,189,1.203733,0.900172
combined,6,220,1.176947,0.902358
combined,7,286,1.172192,0.881394
combined,8,342,1.162960,0.856228
combined,9,205,1.159864,0.894855
combined,10,10,1.155120,0.886223
combined,11,85,1.138626,0.854864
combined,12,470,1.123933,0.842646
combined,13,319,1.123711,0.876289
combined,14,482,1.120403,0.837171
combined,15,242,1.110973,0.824606
combined,16,104,1.105047,0.836679
combined,17,287,1.099044,0.806565
combined,18,503,1.097877,0.839059
combined,19,415,1.093155,0.800865
combined,20,258,1.089516,0.829136
combined,21,76,1.075952,0.810668
combined,22,245,1.075772,0.809278
combined,23,186,1.075513,0.803984
combined,24,255,1.074114,0.817319
combined,25,264,1.073925,0.805346
combined,26,147,1.073019,0.784592
combined,27,368,1.069526,0.808610
combined,28,89,1.065317,0.824638
combined,29,291,1.061545,0.789909
combined,30,210,1.061299,0.809825
none,1,288,0.987945,0.835759
none,2,469,0.981433,0.894910
none,3,214,0.969271,0.893137
none,4,174,0.906330,0.808252
none,5,189,0.901806,0.780050
none,6,287,0.897712,0.760944
none,7,342,0.897706,0.746628
none,8,208,0.893540,0.745801
none,9,104,0.891242,0.753720
none,10,291,0.890891,0.761991
none,11,220,0.888413,0.775662
none,12,242,0.877349,0.734030
none,13,85,0.874107,0.771271
none,14,487,0.873931,0.729431
none,15,483,0.871064,0.739565
none,16,76,0.870765,0.741126
none,17,482,0.869100,0.758471
none,18,147,0.867380,0.714438
none,19,245,0.866338,0.711017
none,20,162,0.863414,0.762017
none,21,319,0.861203,0.747424
none,22,10,0.859021,0.779628
none,23,137,0.858839,0.710191
none,24,166,0.858257,0.705219
none,25,205,0.858194,0.742473
none,26,286,0.857072,0.746238
none,27,264,0.852035,0.684521
none,28,495,0.850768,0.733586
none,29,139,0.850418,0.734860
none,30,258,0.848514,0.722999
pitch_down_large,1,469,1.324406,1.057590
pitch_down_large,2,214,1.302208,0.990766
pitch_down_large,3,174,1.239332,0.926084
pitch_down_large,4,286,1.212706,0.919110
pitch_down_large,5,288,1.193184,0.937078
pitch_down_large,6,189,1.169420,0.878192
pitch_down_large,7,220,1.164186,0.903173
pitch_down_large,8,10,1.155732,0.893795
pitch_down_large,9,342,1.141566,0.862286
pitch_down_large,10,137,1.117388,0.845483
pitch_down_large,11,85,1.108587,0.813398
pitch_down_large,12,503,1.105974,0.824785
pitch_down_large,13,287,1.092987,0.810769
pitch_down_large,14,192,1.086417,0.807259
pitch_down_large,15,319,1.086167,0.847907
pitch_down_large,16,415,1.077603,0.788393
pitch_down_large,17,291,1.075121,0.791147
pitch_down_large,18,264,1.074050,0.813814
pitch_down_large,19,440,1.072734,0.820974
pitch_down_large,20,242,1.070927,0.794836
pitch_down_large,21,104,1.069032,0.802849
pitch_down_large,22,205,1.068878,0.837721
pitch_down_large,23,371,1.067806,0.799986
pitch_down_large,24,168,1.061707,0.813438
pitch_down_large,25,482,1.059473,0.807694
pitch_down_large,26,245,1.059244,0.794129
pitch_down_large,27,368,1.058795,0.786358
pitch_down_large,28,470,1.057955,0.788185
pitch_down_large,29,147,1.053096,0.790635
pitch_down_large,30,258,1.051167,0.806664
pitch_down_small,1,469,1.279302,1.046519
pitch_down_small,2,214,1.251698,0.989881
pitch_down_small,3,288,1.188702,0.960549
pitch_down_small,4,189,1.155884,0.866589
pitch_down_small,5,174,1.144644,0.883170
pitch_down_small,6,286,1.132279,0.887849
pitch_down_small,7,342,1.121939,0.853539
pitch_down_small,8,220,1.121332,0.889263
pitch_down_small,9,287,1.092324,0.813609
pitch_down_small,10,10,1.089885,0.874490
pitch_down_small,11,85,1.083319,0.828379
pitch_down_small,12,205,1.078321,0.853603
pitch_down_small,13,319,1.065599,0.829723
pitch_down_small,14,245,1.056331,0.811478
pitch_down_small,15,258,1.054712,0.815086
pitch_down_small,16,291,1.047774,0.797509
pitch_down_small,17,104,1.041430,0.803777
pitch_down_small,18,482,1.038169,0.801548
pitch_down_small,19,137,1.036389,0.794901
pitch_down_small,20,186,1.033962,0.790365
pitch_down_small,21,242,1.028750,0.791259
pitch_down_small,22,264,1.026849,0.773593
pitch_down_small,23,346,1.024568,0.792306
pitch_down_small,24,255,1.020842,0.818810
pitch_down_small,25,89,1.020249,0.800505
pitch_down_small,26,192,1.020167,0.781334
pitch_down_small,27,168,1.019401,0.792205
pitch_down_small,28,147,1.017631,0.787317
pitch_down_small,29,470,1.015343,0.778653
pitch_down_small,30,440,1.015327,0.785122
pitch_up_large,1,214,1.219408,1.053967
pitch_up_large,2,469,1.172771,1.017453
pitch_up_large,3,288,1.166373,0.951831
pitch_up_large,4,174,1.112931,0.898248
pitch_up_large,5,220,1.092445,0.890918
pitch_up_large,6,85,1.067535,0.853748
pitch_up_large,7,342,1.061435,0.822492
pitch_up_large,8,189,1.061365,0.830370
pitch_up_large,9,287,1.055766,0.812259
pitch_up_large,10,482,1.054243,0.838702
pitch_up_large,11,205,1.052957,0.841335
pitch_up_large,12,104,1.046319,0.853758
pitch_up_large,13,319,1.021180,0.832888
pitch_up_large,14,242,1.018849,0.810439
pitch_up_large,15,10,1.017484,0.852855
pitch_up_large,16,147,1.016539,0.781003
pitch_up_large,17,470,1.012323,0.816879
pitch_up_large,18,415,1.000456,0.766127
pitch_up_large,19,245,0.997622,0.780921
pitch_up_large,20,291,0.995962,0.788784
pitch_up_large,21,258,0.995535,0.802738
pitch_up_large,22,286,0.987998,0.803329
pitch_up_large,23,76,0.986767,0.768961
pitch_up_large,24,495,0.986434,0.781021
pitch_up_large,25,503,0.983450,0.788582
pitch_up_large,26,177,0.978572,0.756546
pitch_up_large,27,139,0.977243,0.752204
pitch_up_large,28,368,0.976305,0.775578
pitch_up_large,29,409,0.975732,0.787463
pitch_up_large,30,186,0.973136,0.750719
pitch_up_small,1,214,1.221159,1.057123
pitch_up_small,2,469,1.209327,1.042197
pitch_up_small,3,288,1.153872,0.931257
pitch_up_small,4,174,1.079632,0.884967
pitch_up_small,5,189,1.056394,0.854843
pitch_up_small,6,220,1.055264,0.875783
pitch_up_small,7,287,1.051112,0.816510
pitch_up_small,8,85,1.050713,0.831922
pitch_up_small,9,342,1.040434,0.835009
pitch_up_small,10,205,1.038733,0.831454
pitch_up_small,11,286,1.018257,0.819044
pitch_up_small,12,104,1.017393,0.833595
pitch_up_small,13,245,1.011056,0.786897
pitch_up_small,14,482,1.010482,0.820737
pitch_up_small,15,10,1.007691,0.843796
pitch_up_small,16,147,1.005675,0.777999
pitch_up_small,17,242,0.998726,0.782940
pitch_up_small,18,319,0.998722,0.816446
pitch_up_small,19,291,0.997638,0.783540
pitch_up_small,20,258,0.990397,0.770549
pitch_up_small,21,76,0.983764,0.800025
pitch_up_small,22,409,0.980315,0.778642
pitch_up_small,23,495,0.979001,0.773268
pitch_up_small,24,415,0.973579,0.764213
pitch_up_small,25,186,0.973506,0.763969
pitch_up_small,26,470,0.972654,0.794839
pitch_up_small,27,89,0.964098,0.783600
pitch_up_small,28,168,0.961225,0.764785
pitch_up_small,29,192,0.960600,0.754544
pitch_up_small,30,503,0.959889,0.775569
tempo_down_large,1,214,1.193966,1.014150
tempo_down_large,2,288,1.155530,0.933627
tempo_down_large,3,469,1.150710,0.985076
tempo_down_large,4,174,1.090613,0.890963
tempo_down_large,5,220,1.049336,0.853786
tempo_down_large,6,189,1.042142,0.829030
tempo_down_large,7,319,1.035080,0.851140
tempo_down_large,8,342,1.033217,0.820561
tempo_down_large,9,205,1.026996,0.825372
tempo_down_large,10,10,1.021337,0.856701
tempo_down_large,11,85,1.019084,0.810633
tempo_down_large,12,291,1.018804,0.806433
tempo_down_large,13,258,1.008875,0.805612
tempo_down_large,14,76,1.008043,0.795404
tempo_down_large,15,287,1.006725,0.787584
tempo_down_large,16,286,1.005011,0.819912
tempo_down_large,17,482,0.992856,0.804628
tempo_down_large,18,245,0.991147,0.777028
tempo_down_large,19,147,0.990147,0.769000
tempo_down_large,20,264,0.985847,0.758164
tempo_down_large,21,104,0.983861,0.780081
tempo_down_large,22,162,0.977781,0.779707
tempo_down_large,23,409,0.974946,0.779625
tempo_down_large,24,242,0.973072,0.768866
tempo_down_large,25,487,0.970790,0.768810
tempo_down_large,26,503,0.967319,0.798692
tempo_down_large,27,415,0.964831,0.762837
tempo_down_large,28,89,0.962965,0.790673
tempo_down_large,29,470,0.959446,0.784127
tempo_down_large,30,208,0.955513,0.778191
tempo_up_large,1,214,1.180452,1.005682
tempo_up_large,2,469,1.166790,1.000619
tempo_up_large,3,288,1.123709,0.915231
tempo_up_large,4,220,1.074219,0.862517
tempo_up_large,5,174,1.070623,0.872212
tempo_up_large,6,342,1.053063,0.815074
tempo_up_large,7,189,1.052241,0.832051
tempo_up_large,8,286,1.026725,0.831276
tempo_up_large,9,291,1.022716,0.803907
tempo_up_large,10,85,1.011570,0.818649
tempo_up_large,11,205,1.010864,0.817438
tempo_up_large,12,287,1.010623,0.787196
tempo_up_large,13,482,1.008623,0.806858
tempo_up_large,14,10,1.000709,0.826886
tempo_up_large,15,319,0.999525,0.822834
tempo_up_large,16,104,0.995259,0.789220
tempo_up_large,17,258,0.994994,0.793329
tempo_up_large,18,495,0.986571,0.780235
tempo_up_large,19,242,0.986020,0.790757
tempo_up_large,20,147,0.983022,0.762222
tempo_up_large,21,245,0.978569,0.773179
tempo_up_large,22,76,0.978067,0.781254
tempo_up_large,23,264,0.976005,0.751018
tempo_up_large,24,192,0.972021,0.759071
tempo_up_large,25,318,0.971465,0.751492
tempo_up_large,26,415,0.969187,0.753213
tempo_up_large,27,208,0.965390,0.776365
tempo_up_large,28,409,0.963306,0.781935
tempo_up_large,29,162,0.962036,0.777319
tempo_up_large,30,89,0.961853,0.785876
