category,rank,dimension,mean_delta,std_delta
combined,1,469,1.347547,1.054951
combined,2,214,1.294483,0.994802
combined,3,174,1.239103,0.912218
combined,4,189,1.216151,0.872657
combined,5,85,1.193811,0.861229
combined,6,288,1.169505,0.915788
combined,7,10,1.156529,0.885047
combined,8,503,1.153769,0.864966
combined,9,186,1.150992,0.802481
combined,10,242,1.142289,0.844698
combined,11,220,1.140721,0.868104
combined,12,137,1.139319,0.845718
combined,13,287,1.136859,0.777902
combined,14,286,1.135929,0.851296
combined,15,291,1.127080,0.812204
combined,16,482,1.117055,0.807046
combined,17,342,1.112242,0.819910
combined,18,104,1.107614,0.790668
combined,19,245,1.086194,0.795116
combined,20,264,1.079788,0.799330
combined,21,319,1.076672,0.848671
combined,22,409,1.075177,0.808048
combined,23,360,1.074563,0.806340
combined,24,76,1.073435,0.811644
combined,25,96,1.072531,0.789180
combined,26,192,1.066748,0.776460
combined,27,299,1.066680,0.828285
combined,28,470,1.064698,0.757717
combined,29,205,1.062531,0.831051
combined,30,387,1.057657,0.789094
none,1,214,1.165887,0.976832
none,2,483,1.141830,0.871774
none,3,469,1.141341,0.974670
none,4,137,1.086032,0.831939
none,5,283,1.074564,0.851454
none,6,174,1.065559,0.861944
none,7,34,1.051478,0.828577
none,8,387,1.039920,0.846304
none,9,242,1.036645,0.817245
none,10,208,1.035277,0.815856
none,11,201,1.030510,0.806383
none,12,76,1.026965,0.818487
none,13,342,1.023096,0.818577
none,14,10,1.022338,0.859242
none,15,179,1.021050,0.776432
none,16,104,1.015377,0.797491
none,17,288,1.012642,0.828776
none,18,192,1.006580,0.786676
none,19,482,0.998890,0.804636
none,20,371,0.995887,0.817388
none,21,487,0.991583,0.782262
none,22,409,0.990461,0.781644
none,23,417,0.987537,0.769610
none,24,1,0.986874,0.748520
none,25,264,0.985581,0.762870
none,26,503,0.985309,0.848440
none,27,492,0.981133,0.762495
none,28,162,0.977004,0.777632
none,29,85,0.976375,0.827779
none,30,236,0.974050,0.737145
pitch_down_large,1,469,1.324709,1.073246
pitch_down_large,2,214,1.290034,0.945984
pitch_down_large,3,483,1.260077,0.925852
pitch_down_large,4,387,1.259551,0.929980
pitch_down_large,5,137,1.254697,0.851316
pitch_down_large,6,34,1.232906,0.893819
pitch_down_large,7,283,1.224509,0.872637
pitch_down_large,8,10,1.210129,0.940607
pitch_down_large,9,417,1.200219,0.857727
pitch_down_large,10,360,1.193958,0.801427
pitch_down_large,11,1,1.171303,0.799856
pitch_down_large,12,371,1.169673,0.883042
pitch_down_large,13,242,1.169108,0.903115
pitch_down_large,14,448,1.167815,0.829279
pitch_down_large,15,179,1.167189,0.819933
pitch_down_large,16,492,1.157898,0.852966
pitch_down_large,17,343,1.155811,0.825143
pitch_down_large,18,153,1.152207,0.860275
pitch_down_large,19,236,1.148635,0.782380
pitch_down_large,20,201,1.147197,0.867537
pitch_down_large,21,138,1.131204,0.815785
pitch_down_large,22,286,1.130713,0.846943
pitch_down_large,23,208,1.127469,0.809831
pitch_down_large,24,192,1.125633,0.786738
pitch_down_large,25,275,1.124070,0.803677
pitch_down_large,26,116,1.118314,0.778963
pitch_down_large,27,174,1.115458,0.826790
pitch_down_large,28,82,1.110597,0.806818
pitch_down_large,29,264,1.106045,0.768050
pitch_down_large,30,8,1.100870,0.832121
pitch_down_small,1,469,1.317978,1.046737
pitch_down_small,2,214,1.271315,0.960852
pitch_down_small,3,483,1.251894,0.900229
pitch_down_small,4,34,1.232588,0.904935
pitch_down_small,5,137,1.224589,0.877007
pitch_down_small,6,387,1.209541,0.911971
pitch_down_small,7,283,1.201630,0.890968
pitch_down_small,8,371,1.172521,0.895454
pitch_down_small,9,201,1.146834,0.885290
pitch_down_small,10,417,1.141969,0.831683
pitch_down_small,11,360,1.141777,0.766721
pitch_down_small,12,1,1.135128,0.795109
pitch_down_small,13,242,1.134767,0.863886
pitch_down_small,14,179,1.133937,0.849589
pitch_down_small,15,10,1.129358,0.912875
pitch_down_small,16,492,1.127755,0.853662
pitch_down_small,17,208,1.125316,0.813741
pitch_down_small,18,448,1.118568,0.811791
pitch_down_small,19,343,1.115648,0.814558
pitch_down_small,20,153,1.113859,0.809157
pitch_down_small,21,174,1.104165,0.842423
pitch_down_small,22,236,1.099909,0.787497
pitch_down_small,23,275,1.096844,0.790755
pitch_down_small,24,138,1.089941,0.823558
pitch_down_small,25,288,1.085815,0.808596
pitch_down_small,26,192,1.085351,0.825584
pitch_down_small,27,139,1.082975,0.796537
pitch_down_small,28,286,1.076174,0.829075
pitch_down_small,29,342,1.075746,0.812849
pitch_down_small,30,220,1.070618,0.850181
pitch_up_large,1,469,1.313032,1.065698
pitch_up_large,2,137,1.288680,0.896046
pitch_up_large,3,214,1.264708,0.954776
pitch_up_large,4,34,1.251547,0.905235
pitch_up_large,5,283,1.217882,0.879882
pitch_up_large,6,483,1.217526,0.891756
pitch_up_large,7,387,1.206580,0.904500
pitch_up_large,8,174,1.172882,0.910173
pitch_up_large,9,153,1.163453,0.861613
pitch_up_large,10,1,1.150312,0.804560
pitch_up_large,11,371,1.144034,0.874332
pitch_up_large,12,343,1.140695,0.839627
pitch_up_large,13,10,1.127415,0.880921
pitch_up_large,14,242,1.122723,0.859474
pitch_up_large,15,208,1.117215,0.800430
pitch_up_large,16,138,1.116645,0.803143
pitch_up_large,17,201,1.110571,0.855872
pitch_up_large,18,448,1.107475,0.815930
pitch_up_large,19,417,1.106119,0.808257
pitch_up_large,20,8,1.105724,0.863126
pitch_up_large,21,236,1.104490,0.794089
pitch_up_large,22,179,1.091272,0.791338
pitch_up_large,23,35,1.090695,0.809813
pitch_up_large,24,492,1.088480,0.801548
