category,rank,dimension,mean_delta,std_delta
combined,1,214,0.968986,0.859821
combined,2,208,0.947353,0.799882
combined,3,469,0.944779,0.858697
combined,4,342,0.912893,0.789936
combined,5,288,0.902951,0.781780
combined,6,220,0.895740,0.774618
combined,7,483,0.887497,0.751056
combined,8,76,0.876234,0.754527
combined,9,189,0.874590,0.725567
combined,10,482,0.874522,0.747637
combined,11,174,0.870053,0.785285
combined,12,291,0.870014,0.750997
combined,13,85,0.861462,0.758705
combined,14,137,0.858353,0.697265
combined,15,192,0.852149,0.735714
combined,16,258,0.851697,0.738866
combined,17,8,0.849109,0.713396
combined,18,34,0.846123,0.707967
combined,19,10,0.843835,0.773540
combined,20,205,0.842142,0.710051
combined,21,324,0.841508,0.695247
combined,22,487,0.839933,0.691570
combined,23,409,0.839848,0.729177
combined,24,242,0.839582,0.709996
combined,25,2,0.836766,0.698905
combined,26,316,0.836416,0.696554
combined,27,166,0.833944,0.704081
combined,28,104,0.833415,0.721438
combined,29,139,0.833144,0.708420
combined,30,287,0.832960,0.703431
pitch_down_large,1,469,0.890793,0.873741
pitch_down_large,2,34,0.882135,0.796186
pitch_down_large,3,283,0.881815,0.798236
pitch_down_large,4,214,0.876997,0.810296
pitch_down_large,5,137,0.876350,0.777619
pitch_down_large,6,387,0.853981,0.792692
pitch_down_large,7,448,0.844446,0.748387
pitch_down_large,8,192,0.841963,0.774988
pitch_down_large,9,201,0.838689,0.780213
pitch_down_large,10,483,0.838582,0.767425
pitch_down_large,11,208,0.836802,0.747676
pitch_down_large,12,219,0.834714,0.727167
pitch_down_large,13,275,0.832107,0.756362
pitch_down_large,14,242,0.824828,0.738947
pitch_down_large,15,35,0.821457,0.740768
pitch_down_large,16,287,0.821177,0.720669
pitch_down_large,17,174,0.817583,0.757920
pitch_down_large,18,179,0.817090,0.708232
pitch_down_large,19,324,0.814036,0.708528
pitch_down_large,20,291,0.805263,0.710782
pitch_down_large,21,11,0.802154,0.681197
pitch_down_large,22,10,0.801492,0.774849
pitch_down_large,23,1,0.798546,0.693863
pitch_down_large,24,371,0.796963,0.752260
pitch_down_large,25,425,0.791982,0.724120
pitch_down_large,26,288,0.791810,0.715295
pitch_down_large,27,264,0.787482,0.679701
pitch_down_large,28,360,0.784741,0.683265
pitch_down_large,29,432,0.783121,0.684890
pitch_down_large,30,492,0.783092,0.701602
pitch_down_small,1,137,0.745133,0.708677
pitch_down_small,2,283,0.743921,0.712358
pitch_down_small,3,387,0.742981,0.721493
pitch_down_small,4,324,0.738443,0.678438
pitch_down_small,5,214,0.732258,0.717448
pitch_down_small,6,179,0.731530,0.686646
pitch_down_small,7,219,0.729368,0.697652
pitch_down_small,8,483,0.726437,0.714889
pitch_down_small,9,469,0.725676,0.746089
pitch_down_small,10,208,0.724865,0.690370
pitch_down_small,11,192,0.721298,0.708196
pitch_down_small,12,288,0.718708,0.664159
pitch_down_small,13,34,0.716164,0.720532
pitch_down_small,14,201,0.713216,0.718469
pitch_down_small,15,425,0.712926,0.684676
pitch_down_small,16,287,0.708494,0.648721
pitch_down_small,17,76,0.704937,0.651672
pitch_down_small,18,342,0.700957,0.687621
pitch_down_small,19,139,0.700459,0.662205
pitch_down_small,20,1,0.694836,0.650549
pitch_down_small,21,242,0.693896,0.676862
pitch_down_small,22,275,0.692894,0.657019
pitch_down_small,23,99,0.692383,0.646432
pitch_down_small,24,174,0.691883,0.697200
pitch_down_small,25,116,0.691026,0.656402
pitch_down_small,26,440,0.688484,0.639016
pitch_down_small,27,291,0.687272,0.659136
pitch_down_small,28,343,0.683741,0.656404
pitch_down_small,29,2,0.680415,0.626598
pitch_down_small,30,318,0.679582,0.613182
pitch_up_large,1,283,0.728936,0.682496
pitch_up_large,2,324,0.727158,0.681954
