category,rank,dimension,mean_delta,std_delta
combined,1,469,1.341750,1.056016
combined,2,214,1.332413,1.041627
combined,3,288,1.216023,0.963138
combined,4,174,1.198418,0.916217
combined,5,85,1.173956,0.921775
combined,6,242,1.166427,0.874234
combined,7,470,1.162101,0.902588
combined,8,10,1.155387,0.901256
combined,9,189,1.151180,0.860782
combined,10,342,1.150050,0.857131
combined,11,104,1.146649,0.908875
combined,12,482,1.120656,0.830899
combined,13,503,1.117212,0.848039
combined,14,286,1.104977,0.832737
combined,15,220,1.099981,0.839463
combined,16,368,1.095423,0.838685
combined,17,319,1.089049,0.855647
combined,18,76,1.082118,0.810587
combined,19,415,1.076512,0.803854
combined,20,147,1.076091,0.802375
combined,21,291,1.074004,0.805976
combined,22,208,1.072806,0.836083
combined,23,205,1.072361,0.834262
combined,24,409,1.070687,0.809335
combined,25,139,1.065562,0.804465
combined,26,495,1.062430,0.812089
combined,27,293,1.056975,0.793859
combined,28,162,1.052173,0.803970
combined,29,359,1.051383,0.791742
combined,30,371,1.049911,0.797093
none,1,214,1.354492,1.139212
none,2,469,1.314335,1.059556
none,3,288,1.219838,0.989625
none,4,104,1.138853,0.931031
none,5,242,1.131591,0.882792
none,6,10,1.131336,0.919232
none,7,470,1.121896,0.909600
none,8,174,1.111691,0.892859
none,9,482,1.108326,0.862801
none,10,342,1.105459,0.853629
none,11,368,1.102919,0.877579
none,12,85,1.090441,0.908804
none,13,319,1.081016,0.845492
none,14,359,1.076444,0.855964
none,15,415,1.075230,0.851970
none,16,503,1.062758,0.851906
none,17,34,1.062461,0.818193
none,18,409,1.056763,0.830682
none,19,76,1.039480,0.805982
none,20,147,1.039209,0.792517
none,21,220,1.037687,0.815161
none,22,41,1.033363,0.818116
none,23,189,1.032164,0.806946
none,24,139,1.030485,0.820701
none,25,293,1.027976,0.793215
none,26,371,1.027248,0.807581
none,27,8,1.024855,0.799023
none,28,208,1.024766,0.820933
none,29,132,1.017047,0.809603
none,30,492,1.009133,0.774750
pitch_down_large,1,214,1.313119,1.049159
pitch_down_large,2,469,1.302399,1.057095
pitch_down_large,3,242,1.170196,0.892470
pitch_down_large,4,288,1.148154,0.918728
pitch_down_large,5,10,1.143314,0.894284
pitch_down_large,6,342,1.131601,0.857511
pitch_down_large,7,174,1.128101,0.873273
pitch_down_large,8,470,1.126302,0.879308
pitch_down_large,9,85,1.122187,0.902153
pitch_down_large,10,104,1.105073,0.886376
pitch_down_large,11,387,1.103482,0.866521
pitch_down_large,12,137,1.101599,0.848329
pitch_down_large,13,34,1.099215,0.835402
pitch_down_large,14,286,1.095415,0.839961
pitch_down_large,15,368,1.079872,0.831337
pitch_down_large,16,482,1.079185,0.815796
pitch_down_large,17,503,1.079016,0.822868
pitch_down_large,18,371,1.075926,0.822139
pitch_down_large,19,192,1.067916,0.808658
pitch_down_large,20,415,1.065891,0.819235
pitch_down_large,21,208,1.064341,0.832835
pitch_down_large,22,220,1.058806,0.821231
pitch_down_large,23,483,1.056509,0.838306
pitch_down_large,24,189,1.054897,0.812252
pitch_down_large,25,139,1.050537,0.806757
pitch_down_large,26,492,1.049960,0.795570
pitch_down_large,27,76,1.049074,0.781308
pitch_down_large,28,293,1.045017,0.793512
pitch_down_large,29,8,1.033688,0.805568
pitch_down_large,30,41,1.032331,0.801271
pitch_down_small,1,214,1.332706,1.084718
pitch_down_small,2,469,1.319957,1.072096
pitch_down_small,3,288,1.183283,0.953485
pitch_down_small,4,342,1.148224,0.875721
pitch_down_small,5,10,1.137776,0.908745
pitch_down_small,6,242,1.135144,0.889104
pitch_down_small,7,85,1.131365,0.920958
pitch_down_small,8,470,1.129686,0.915131
pitch_down_small,9,174,1.114974,0.874529
pitch_down_small,10,104,1.114670,0.910015
pitch_down_small,11,34,1.093829,0.841567
pitch_down_small,12,482,1.081450,0.827027
pitch_down_small,13,368,1.071644,0.855392
pitch_down_small,14,415,1.071159,0.834837
pitch_down_small,15,139,1.068339,0.829617
pitch_down_small,16,286,1.065328,0.822433
pitch_down_small,17,371,1.059972,0.819811
pitch_down_small,18,503,1.056571,0.837527
pitch_down_small,19,220,1.052027,0.825716
pitch_down_small,20,319,1.051524,0.833522
pitch_down_small,21,189,1.049879,0.815349
pitch_down_small,22,76,1.037415,0.795558
pitch_down_small,23,359,1.037261,0.806668
