category,rank,dimension,mean_delta,std_delta
base,1,214,1.354492,1.139212
base,2,469,1.314335,1.059556
base,3,288,1.219838,0.989625
base,4,104,1.138853,0.931031
base,5,242,1.131591,0.882792
base,6,10,1.131336,0.919232
base,7,470,1.121896,0.909600
base,8,174,1.111691,0.892859
base,9,482,1.108326,0.862801
base,10,342,1.105459,0.853629
base,11,368,1.102919,0.877579
base,12,85,1.090441,0.908804
base,13,319,1.081016,0.845492
base,14,359,1.076444,0.855964
base,15,415,1.075230,0.851970
base,16,503,1.062758,0.851906
base,17,34,1.062461,0.818193
base,18,409,1.056763,0.830682
base,19,76,1.039480,0.805982
base,20,147,1.039209,0.792517
base,21,220,1.037687,0.815161
base,22,41,1.033363,0.818116
base,23,189,1.032164,0.806946
base,24,139,1.030485,0.820701
base,25,293,1.027976,0.793215
base,26,371,1.027248,0.807581
base,27,8,1.024855,0.799023
base,28,208,1.024766,0.820933
base,29,132,1.017047,0.809603
base,30,492,1.009133,0.774750
pitchD2,1,214,1.332706,1.084718
pitchD2,2,469,1.319957,1.072096
pitchD2,3,288,1.183283,0.953485
pitchD2,4,342,1.148224,0.875721
pitchD2,5,10,1.137776,0.908745
pitchD2,6,242,1.135144,0.889104
pitchD2,7,85,1.131365,0.920958
pitchD2,8,470,1.129686,0.915131
pitchD2,9,174,1.114974,0.874529
pitchD2,10,104,1.114670,0.910015
pitchD2,11,34,1.093829,0.841567
pitchD2,12,482,1.081450,0.827027
pitchD2,13,368,1.071644,0.855392
pitchD2,14,415,1.071159,0.834837
pitchD2,15,139,1.068339,0.829617
pitchD2,16,286,1.065328,0.822433
pitchD2,17,371,1.059972,0.819811
pitchD2,18,503,1.056571,0.837527
pitchD2,19,220,1.052027,0.825716
pitchD2,20,319,1.051524,0.833522
pitchD2,21,189,1.049879,0.815349
pitchD2,22,76,1.037415,0.795558
pitchD2,23,359,1.037261,0.806668
pitchD2,24,41,1.030087,0.805208
pitchD2,25,293,1.029722,0.803500
pitchD2,26,387,1.028534,0.823834
pitchD2,27,255,1.027417,0.807848
pitchD2,28,208,1.025750,0.819616
pitchD2,29,409,1.021999,0.797350
pitchD2,30,483,1.020503,0.828141
pitchD4,1,214,1.313119,1.049159
pitchD4,2,469,1.302399,1.057095
pitchD4,3,242,1.170196,0.892470
pitchD4,4,288,1.148154,0.918728
pitchD4,5,10,1.143314,0.894284
pitchD4,6,342,1.131601,0.857511
pitchD4,7,174,1.128101,0.873273
pitchD4,8,470,1.126302,0.879308
pitchD4,9,85,1.122187,0.902153
pitchD4,10,104,1.105073,0.886376
pitchD4,11,387,1.103482,0.866521
pitchD4,12,137,1.101599,0.848329
pitchD4,13,34,1.099215,0.835402
pitchD4,14,286,1.095415,0.839961
pitchD4,15,368,1.079872,0.831337
pitchD4,16,482,1.079185,0.815796
pitchD4,17,503,1.079016,0.822868
pitchD4,18,371,1.075926,0.822139
pitchD4,19,192,1.067916,0.808658
pitchD4,20,415,1.065891,0.819235
pitchD4,21,208,1.064341,0.832835
pitchD4,22,220,1.058806,0.821231
pitchD4,23,483,1.056509,0.838306
pitchD4,24,189,1.054897,0.812252
pitchD4,25,139,1.050537,0.806757
pitchD4,26,492,1.049960,0.795570
pitchD4,27,76,1.049074,0.781308
pitchD4,28,293,1.045017,0.793512
pitchD4,29,8,1.033688,0.805568
pitchD4,30,41,1.032331,0.801271
pitchD4_tempo090,1,469,1.343200,1.047546
pitchD4_tempo090,2,214,1.326922,1.024503
pitchD4_tempo090,3,174,1.233397,0.923644
pitchD4_tempo090,4,288,1.221526,0.964938
pitchD4_tempo090,5,242,1.171270,0.863603
pitchD4_tempo090,6,10,1.170954,0.895056
pitchD4_tempo090,7,470,1.170499,0.892899
pitchD4_tempo090,8,342,1.169500,0.864865
pitchD4_tempo090,9,85,1.168557,0.912828
pitchD4_tempo090,10,189,1.160612,0.867646
pitchD4_tempo090,11,286,1.153642,0.846059
pitchD4_tempo090,12,104,1.141226,0.882732
pitchD4_tempo090,13,503,1.124606,0.849319
pitchD4_tempo090,14,220,1.122379,0.851207
pitchD4_tempo090,15,208,1.117128,0.858929
pitchD4_tempo090,16,482,1.113945,0.819246
pitchD4_tempo090,17,368,1.101620,0.833271
pitchD4_tempo090,18,76,1.100469,0.822907
pitchD4_tempo090,19,319,1.100367,0.857935
pitchD4_tempo090,20,147,1.095203,0.808224
pitchD4_tempo090,21,291,1.089386,0.807517
pitchD4_tempo090,22,205,1.089254,0.847277
pitchD4_tempo090,23,415,1.088138,0.803931
pitchD4_tempo090,24,495,1.077970,0.824194
pitchD4_tempo090,25,371,1.073751,0.804357
pitchD4_tempo090,26,409,1.067367,0.807311
pitchD4_tempo090,27,293,1.063537,0.791043
pitchD4_tempo090,28,255,1.063488,0.802857
pitchD4_tempo090,29,162,1.062680,0.810127
pitchD4_tempo090,30,139,1.061413,0.805285
pitchU2,1,214,1.320242,1.119777
pitchU2,2,469,1.307509,1.087389
pitchU2,3,288,1.172656,0.962272
pitchU2,4,242,1.127440,0.891247
pitchU2,5,342,1.127288,0.883749
pitchU2,6,104,1.122042,0.939837
pitchU2,7,85,1.120848,0.928285
pitchU2,8,10,1.119180,0.909796
pitchU2,9,470,1.098308,0.913939
pitchU2,10,174,1.097854,0.883387
pitchU2,11,34,1.079416,0.835084
pitchU2,12,482,1.078426,0.845699
pitchU2,13,368,1.074321,0.867265
pitchU2,14,139,1.055385,0.820473
pitchU2,15,415,1.045212,0.835727
pitchU2,16,503,1.043946,0.829690
pitchU2,17,319,1.042956,0.834445
pitchU2,18,220,1.039618,0.826416
pitchU2,19,371,1.038314,0.807453
pitchU2,20,409,1.036572,0.808134
pitchU2,21,359,1.028672,0.836568
pitchU2,22,147,1.023348,0.798046
pitchU2,23,293,1.019884,0.797113
pitchU2,24,189,1.019557,0.809098
pitchU2,25,76,1.019534,0.791639
pitchU2,26,205,1.018046,0.816539
pitchU2,27,41,1.010877,0.801357
pitchU2,28,286,1.007629,0.792897
pitchU2,29,492,1.007280,0.789289
pitchU2,30,343,1.003668,0.771269
pitchU4,1,214,1.316119,1.099182
pitchU4,2,469,1.293664,1.080138
pitchU4,3,288,1.166122,0.949372
pitchU4,4,242,1.150323,0.911972
pitchU4,5,85,1.121505,0.938149
pitchU4,6,174,1.120097,0.903123
pitchU4,7,470,1.119507,0.920292
pitchU4,8,10,1.113551,0.902698
pitchU4,9,104,1.113477,0.930224
pitchU4,10,342,1.107869,0.860318
pitchU4,11,482,1.097509,0.847983
pitchU4,12,34,1.092932,0.837494
pitchU4,13,368,1.083882,0.864298
pitchU4,14,139,1.074331,0.837704
pitchU4,15,415,1.062904,0.836560
pitchU4,16,503,1.055546,0.836373
pitchU4,17,371,1.049992,0.807709
pitchU4,18,319,1.042522,0.835636
pitchU4,19,409,1.032894,0.813924
pitchU4,20,359,1.032685,0.831319
pitchU4,21,220,1.030435,0.816113
pitchU4,22,293,1.027918,0.806083
pitchU4,23,76,1.027608,0.790255
pitchU4,24,8,1.024449,0.819134
pitchU4,25,147,1.018099,0.786389
pitchU4,26,387,1.015505,0.832426
pitchU4,27,189,1.015101,0.795389
pitchU4,28,343,1.009424,0.778060
pitchU4,29,205,1.006763,0.808300
pitchU4,30,431,1.003262,0.786396
pitchU4_tempo110,1,469,1.340305,1.064416
pitchU4_tempo110,2,214,1.337899,1.058441
pitchU4_tempo110,3,288,1.210525,0.961309
pitchU4_tempo110,4,85,1.179351,0.930605
pitchU4_tempo110,5,174,1.163443,0.907380
pitchU4_tempo110,6,242,1.161571,0.884709
pitchU4_tempo110,7,470,1.153712,0.912097
