category,rank,dimension,mean_delta,std_delta
base,1,469,1.365563,1.052557
base,2,214,1.316054,1.003545
base,3,288,1.212610,0.969653
base,4,210,1.186983,0.870783
base,5,174,1.173160,0.847336
base,6,318,1.159995,0.856547
base,7,220,1.155644,0.874057
base,8,208,1.153935,0.871152
base,9,242,1.152062,0.857910
base,10,58,1.143338,0.809089
base,11,368,1.133932,0.855339
base,12,387,1.124650,0.840454
base,13,286,1.121901,0.859237
base,14,255,1.113800,0.841695
base,15,342,1.113470,0.827442
base,16,349,1.112651,0.795127
base,17,291,1.108516,0.818839
base,18,104,1.106765,0.820715
base,19,120,1.105963,0.823362
base,20,482,1.101160,0.811238
base,21,371,1.093699,0.833063
base,22,189,1.087300,0.794628
base,23,355,1.085224,0.791041
base,24,139,1.084424,0.812006
base,25,470,1.083287,0.747537
base,26,415,1.081864,0.773152
base,27,94,1.079907,0.772736
base,28,85,1.079551,0.800978
base,29,319,1.079144,0.838731
base,30,192,1.078580,0.809554
pitchD2,1,469,1.373706,1.077221
pitchD2,2,214,1.323606,0.978160
pitchD2,3,210,1.278244,0.870919
pitchD2,4,318,1.219495,0.864103
pitchD2,5,288,1.214939,1.002321
pitchD2,6,220,1.173722,0.874146
pitchD2,7,360,1.169681,0.781094
pitchD2,8,242,1.168353,0.872249
pitchD2,9,208,1.162143,0.882997
pitchD2,10,120,1.162058,0.832599
pitchD2,11,291,1.154370,0.821974
pitchD2,12,371,1.150176,0.809760
pitchD2,13,342,1.134949,0.829416
pitchD2,14,440,1.133023,0.817208
pitchD2,15,174,1.132532,0.809658
pitchD2,16,58,1.131148,0.818120
pitchD2,17,255,1.128406,0.845384
pitchD2,18,286,1.126208,0.830868
pitchD2,19,368,1.118078,0.853529
pitchD2,20,387,1.115471,0.798464
pitchD2,21,139,1.115369,0.823291
pitchD2,22,470,1.114895,0.787823
pitchD2,23,221,1.113678,0.810969
pitchD2,24,104,1.098868,0.807873
pitchD2,25,349,1.096231,0.769047
pitchD2,26,244,1.092441,0.771798
pitchD2,27,482,1.091781,0.779918
pitchD2,28,192,1.091369,0.762621
pitchD2,29,355,1.088533,0.787962
pitchD2,30,264,1.085042,0.768738
pitchD4,1,469,1.401967,1.079862
pitchD4,2,210,1.341049,0.917404
pitchD4,3,214,1.307264,0.933732
pitchD4,4,318,1.230849,0.867243
pitchD4,5,360,1.219835,0.813973
pitchD4,6,288,1.204815,0.981698
pitchD4,7,242,1.188758,0.878529
pitchD4,8,208,1.172437,0.886135
pitchD4,9,440,1.168256,0.828084
pitchD4,10,368,1.160547,0.855423
pitchD4,11,192,1.150680,0.814380
pitchD4,12,255,1.149829,0.848538
pitchD4,13,492,1.144525,0.814139
pitchD4,14,286,1.141581,0.815072
pitchD4,15,244,1.137922,0.767572
pitchD4,16,153,1.136820,0.820513
pitchD4,17,342,1.136580,0.808636
pitchD4,18,387,1.135863,0.828696
pitchD4,19,174,1.122790,0.805447
pitchD4,20,220,1.118925,0.839850
pitchD4,21,104,1.115773,0.801294
pitchD4,22,120,1.110863,0.822776
pitchD4,23,58,1.109108,0.814101
pitchD4,24,371,1.108231,0.802012
pitchD4,25,470,1.107781,0.757678
pitchD4,26,355,1.106381,0.784438
pitchD4,27,349,1.103470,0.748047
pitchD4,28,417,1.103117,0.764332
pitchD4,29,139,1.102111,0.810870
pitchD4,30,89,1.100005,0.844865
pitchD4_tempo090,1,469,1.340282,1.015384
pitchD4_tempo090,2,214,1.338311,0.970880
pitchD4_tempo090,3,245,1.313401,0.882086
pitchD4_tempo090,4,291,1.298822,0.859509
pitchD4_tempo090,5,288,1.285258,1.038412
pitchD4_tempo090,6,189,1.234853,0.902770
pitchD4_tempo090,7,286,1.224181,0.881355
pitchD4_tempo090,8,242,1.203791,0.887495
pitchD4_tempo090,9,208,1.196421,0.886830
pitchD4_tempo090,10,220,1.196155,0.910878
pitchD4_tempo090,11,174,1.192189,0.859786
pitchD4_tempo090,12,287,1.185626,0.796636
pitchD4_tempo090,13,120,1.179990,0.866411
pitchD4_tempo090,14,76,1.175656,0.851456
pitchD4_tempo090,15,318,1.171404,0.846485
pitchD4_tempo090,16,482,1.167237,0.857373
pitchD4_tempo090,17,210,1.165614,0.830745
pitchD4_tempo090,18,147,1.164169,0.818333
pitchD4_tempo090,19,244,1.160222,0.819267
pitchD4_tempo090,20,319,1.157398,0.906550
pitchD4_tempo090,21,264,1.142387,0.798477
pitchD4_tempo090,22,58,1.139571,0.806582
pitchD4_tempo090,23,342,1.139195,0.820412
pitchD4_tempo090,24,355,1.137748,0.817507
pitchD4_tempo090,25,221,1.136759,0.820191
pitchD4_tempo090,26,168,1.135143,0.818916
pitchD4_tempo090,27,409,1.129445,0.817211
pitchD4_tempo090,28,346,1.125837,0.810433
pitchD4_tempo090,29,415,1.119077,0.813173
pitchD4_tempo090,30,368,1.117097,0.821711
pitchU2,1,469,1.435219,1.123428
pitchU2,2,214,1.322409,0.986173
pitchU2,3,210,1.227833,0.868032
pitchU2,4,288,1.196951,0.982030
pitchU2,5,242,1.183123,0.871113
pitchU2,6,368,1.179021,0.889820
pitchU2,7,220,1.176414,0.865792
pitchU2,8,318,1.165556,0.845594
pitchU2,9,174,1.152028,0.821866
pitchU2,10,208,1.149993,0.881126
pitchU2,11,349,1.139806,0.800120
pitchU2,12,371,1.134147,0.813659
pitchU2,13,85,1.130155,0.817327
pitchU2,14,360,1.116495,0.755120
pitchU2,15,139,1.113016,0.801969
pitchU2,16,286,1.112612,0.822852
pitchU2,17,104,1.110617,0.809533
pitchU2,18,387,1.109878,0.799829
pitchU2,19,342,1.109522,0.809293
pitchU2,20,470,1.105399,0.771161
pitchU2,21,120,1.105107,0.814266
pitchU2,22,492,1.098795,0.837184
pitchU2,23,255,1.097986,0.820186
pitchU2,24,58,1.095805,0.798978
pitchU2,25,192,1.092054,0.799292
pitchU2,26,444,1.090722,0.758340
pitchU2,27,409,1.085172,0.774259
pitchU2,28,291,1.083750,0.782322
pitchU2,29,440,1.082740,0.796827
pitchU2,30,221,1.080567,0.813631
pitchU4,1,469,1.439122,1.150581
pitchU4,2,214,1.321006,0.979075
pitchU4,3,210,1.267887,0.902843
pitchU4,4,368,1.215682,0.887936
pitchU4,5,440,1.215473,0.833700
pitchU4,6,288,1.206517,0.991352
pitchU4,7,371,1.178802,0.830158
