category,rank,dimension,mean_delta,std_delta
base,1,214,1.739141,1.275763
base,2,469,1.622592,1.117235
base,3,288,1.476621,1.091055
base,4,470,1.428817,1.039150
base,5,10,1.412677,1.003703
base,6,104,1.389222,1.062126
base,7,368,1.381965,0.958884
base,8,242,1.361010,0.956985
base,9,359,1.351311,0.960772
base,10,482,1.339280,0.914881
base,11,415,1.312072,0.953073
base,12,85,1.305629,1.014686
base,13,319,1.305524,0.889436
base,14,342,1.297302,0.909033
base,15,174,1.272508,0.945975
base,16,503,1.260542,0.890142
base,17,34,1.259751,0.871858
base,18,41,1.253986,0.909883
base,19,409,1.250603,0.892360
base,20,293,1.239962,0.842888
base,21,132,1.213604,0.876868
base,22,147,1.208056,0.835208
base,23,8,1.207593,0.864445
base,24,371,1.201840,0.840005
base,25,239,1.198874,0.872416
base,26,431,1.194011,0.829843
base,27,139,1.190160,0.878620
base,28,255,1.174940,0.843441
base,29,28,1.174767,0.848596
base,30,408,1.168819,0.827899
pitchD2,1,214,1.615780,1.224751
pitchD2,2,469,1.528790,1.113029
pitchD2,3,470,1.436792,1.072224
pitchD2,4,85,1.365795,1.059268
pitchD2,5,10,1.355068,0.975783
pitchD2,6,242,1.353526,0.966775
pitchD2,7,288,1.350993,1.000167
pitchD2,8,104,1.347810,1.065118
pitchD2,9,342,1.342373,0.921084
pitchD2,10,34,1.293191,0.888130
pitchD2,11,415,1.274519,0.926799
pitchD2,12,482,1.269044,0.872932
pitchD2,13,368,1.261052,0.944838
pitchD2,14,359,1.258572,0.903270
pitchD2,15,139,1.249570,0.902124
pitchD2,16,503,1.234414,0.875164
pitchD2,17,293,1.226362,0.854746
pitchD2,18,174,1.226123,0.908310
pitchD2,19,41,1.214569,0.882039
pitchD2,20,239,1.208513,0.875544
pitchD2,21,408,1.195481,0.874722
pitchD2,22,471,1.189642,0.855688
pitchD2,23,319,1.188809,0.874138
pitchD2,24,431,1.187138,0.842571
pitchD2,25,371,1.174232,0.844681
pitchD2,26,8,1.172937,0.856736
pitchD2,27,255,1.171620,0.827272
pitchD2,28,76,1.166612,0.805094
pitchD2,29,409,1.163088,0.825924
pitchD2,30,343,1.140885,0.786060
pitchD4,1,214,1.472829,1.180918
pitchD4,2,469,1.378631,1.067694
pitchD4,3,242,1.356715,0.964890
pitchD4,4,470,1.349648,1.012890
pitchD4,5,85,1.276626,1.031889
pitchD4,6,342,1.258098,0.900093
pitchD4,7,104,1.257056,1.023645
pitchD4,8,10,1.249650,0.926907
pitchD4,9,288,1.229530,0.947771
pitchD4,10,34,1.227132,0.880702
pitchD4,11,387,1.217062,0.910567
pitchD4,12,482,1.207903,0.856768
pitchD4,13,293,1.195075,0.830074
pitchD4,14,431,1.192691,0.836682
pitchD4,15,415,1.189547,0.893584
pitchD4,16,8,1.186375,0.862233
pitchD4,17,41,1.180463,0.880245
pitchD4,18,503,1.178082,0.835316
pitchD4,19,359,1.177730,0.873590
pitchD4,20,368,1.168990,0.881398
pitchD4,21,139,1.162867,0.859563
pitchD4,22,239,1.158410,0.846963
pitchD4,23,408,1.153436,0.859960
pitchD4,24,137,1.145028,0.877520
pitchD4,25,174,1.144878,0.876306
pitchD4,26,76,1.144444,0.783928
pitchD4,27,471,1.132344,0.852055
pitchD4,28,371,1.132095,0.828177
pitchD4,29,324,1.130705,0.846496
pitchD4,30,219,1.129699,0.799207
pitchD4_tempo090,1,469,1.465158,1.104924
pitchD4_tempo090,2,214,1.395298,1.082479
pitchD4_tempo090,3,470,1.347594,1.009112
pitchD4_tempo090,4,242,1.301856,0.912654
pitchD4_tempo090,5,85,1.298684,1.051932
pitchD4_tempo090,6,104,1.273406,1.011007
pitchD4_tempo090,7,174,1.271204,0.948709
pitchD4_tempo090,8,10,1.228568,0.910633
pitchD4_tempo090,9,342,1.223839,0.882121
pitchD4_tempo090,10,288,1.216835,0.940540
pitchD4_tempo090,11,208,1.210981,0.924827
pitchD4_tempo090,12,368,1.197949,0.892536
pitchD4_tempo090,13,293,1.192378,0.857667
pitchD4_tempo090,14,503,1.184674,0.865482
pitchD4_tempo090,15,34,1.183563,0.833377
pitchD4_tempo090,16,139,1.182091,0.861360
pitchD4_tempo090,17,431,1.177218,0.856794
pitchD4_tempo090,18,471,1.174852,0.893072
pitchD4_tempo090,19,408,1.174341,0.858248
pitchD4_tempo090,20,359,1.173599,0.838527
pitchD4_tempo090,21,482,1.164746,0.818796
pitchD4_tempo090,22,8,1.162461,0.845214
pitchD4_tempo090,23,495,1.150354,0.848986
pitchD4_tempo090,24,239,1.145633,0.835990
pitchD4_tempo090,25,371,1.142830,0.839531
pitchD4_tempo090,26,510,1.142611,0.855373
pitchD4_tempo090,27,189,1.141767,0.832411
pitchD4_tempo090,28,147,1.141628,0.841517
pitchD4_tempo090,29,255,1.130707,0.804771
pitchD4_tempo090,30,286,1.130006,0.776215
pitchU2,1,214,1.637375,1.257651
pitchU2,2,469,1.558563,1.131127
pitchU2,3,470,1.399683,1.065109
pitchU2,4,104,1.394832,1.090256
pitchU2,5,10,1.393685,0.998897
pitchU2,6,288,1.378108,1.040177
pitchU2,7,342,1.365012,0.945412
pitchU2,8,242,1.361335,0.970110
pitchU2,9,85,1.353765,1.067044
pitchU2,10,368,1.315833,0.950513
pitchU2,11,482,1.293413,0.892619
pitchU2,12,34,1.281207,0.881597
pitchU2,13,359,1.277913,0.937276
pitchU2,14,415,1.262900,0.932090
pitchU2,15,503,1.251663,0.879930
pitchU2,16,139,1.241711,0.881493
pitchU2,17,293,1.237512,0.856470
pitchU2,18,319,1.235178,0.882046
pitchU2,19,174,1.231243,0.919358
pitchU2,20,41,1.223353,0.885060
pitchU2,21,431,1.218372,0.843200
pitchU2,22,239,1.208496,0.882584
pitchU2,23,371,1.203516,0.846108
pitchU2,24,255,1.202106,0.840706
pitchU2,25,409,1.198397,0.844256
pitchU2,26,408,1.197975,0.860217
pitchU2,27,471,1.186098,0.868278
pitchU2,28,343,1.183558,0.808822
pitchU2,29,8,1.174880,0.871869
pitchU2,30,147,1.173193,0.843483
pitchU4,1,214,1.607755,1.219888
pitchU4,2,469,1.538659,1.113649
pitchU4,3,470,1.406678,1.068835
pitchU4,4,242,1.405851,1.000775
pitchU4,5,104,1.351865,1.077896
pitchU4,6,10,1.351076,0.986626
pitchU4,7,85,1.339395,1.065845
pitchU4,8,288,1.334102,0.994478
pitchU4,9,342,1.307785,0.923562
pitchU4,10,482,1.300548,0.886895
pitchU4,11,34,1.296839,0.892740
pitchU4,12,368,1.293721,0.941084
pitchU4,13,415,1.268299,0.933553
pitchU4,14,139,1.266281,0.898547
pitchU4,15,503,1.245211,0.886319
pitchU4,16,359,1.237887,0.921184
pitchU4,17,174,1.233994,0.932340
pitchU4,18,293,1.217901,0.856118
pitchU4,19,319,1.212199,0.887291
pitchU4,20,431,1.210840,0.856019
pitchU4,21,255,1.205890,0.849432
pitchU4,22,409,1.196959,0.852760
pitchU4,23,371,1.196069,0.840538
pitchU4,24,8,1.190240,0.874094
pitchU4,25,343,1.180787,0.823138
pitchU4,26,41,1.175242,0.886381
pitchU4,27,239,1.174815,0.866021
pitchU4,28,408,1.173028,0.851909
pitchU4,29,471,1.169837,0.868740
pitchU4,30,76,1.162586,0.825586
pitchU4_tempo110,1,214,1.496791,1.106949
pitchU4_tempo110,2,469,1.486031,1.092629
pitchU4_tempo110,3,470,1.351882,1.024663
pitchU4_tempo110,4,104,1.338038,1.074201
pitchU4_tempo110,5,85,1.336012,1.041971
pitchU4_tempo110,6,242,1.308311,0.945253
pitchU4_tempo110,7,10,1.287700,0.973613
pitchU4_tempo110,8,288,1.281209,0.959058
pitchU4_tempo110,9,342,1.244164,0.901657
pitchU4_tempo110,10,174,1.243870,0.928112
pitchU4_tempo110,11,503,1.243647,0.885644
pitchU4_tempo110,12,139,1.239231,0.868345
pitchU4_tempo110,13,482,1.231637,0.861783
pitchU4_tempo110,14,368,1.228680,0.919025
pitchU4_tempo110,15,431,1.205066,0.883206
pitchU4_tempo110,16,359,1.186240,0.856126
pitchU4_tempo110,17,293,1.185055,0.843661
pitchU4_tempo110,18,34,1.175458,0.863974
pitchU4_tempo110,19,495,1.171613,0.862051
pitchU4_tempo110,20,415,1.169243,0.853972
pitchU4_tempo110,21,409,1.167495,0.828209
pitchU4_tempo110,22,471,1.162437,0.855074
pitchU4_tempo110,23,319,1.155473,0.877629
pitchU4_tempo110,24,189,1.153119,0.840973
pitchU4_tempo110,25,408,1.148442,0.836976
pitchU4_tempo110,26,162,1.142856,0.837423
pitchU4_tempo110,27,76,1.141505,0.812411
pitchU4_tempo110,28,41,1.139762,0.871694
pitchU4_tempo110,29,132,1.136482,0.840208
pitchU4_tempo110,30,147,1.135882,0.815873
tempo090,1,214,1.557720,1.181672
tempo090,2,469,1.552761,1.106181
tempo090,3,470,1.444870,1.067658
tempo090,4,104,1.404978,1.068795
