category,rank,dimension,mean_delta,std_delta
Base,1,214,1.354492,1.139212
Base,2,469,1.314335,1.059556
Base,3,288,1.219838,0.989625
Base,4,104,1.138853,0.931031
Base,5,242,1.131591,0.882792
Base,6,10,1.131336,0.919232
Base,7,470,1.121896,0.909600
Base,8,174,1.111691,0.892859
Base,9,482,1.108326,0.862801
Base,10,342,1.105459,0.853629
Base,11,368,1.102919,0.877579
Base,12,85,1.090441,0.908804
Base,13,319,1.081016,0.845492
Base,14,359,1.076444,0.855964
Base,15,415,1.075230,0.851970
Base,16,503,1.062758,0.851906
Base,17,34,1.062461,0.818193
Base,18,409,1.056763,0.830682
Base,19,76,1.039480,0.805982
Base,20,147,1.039209,0.792517
Base,21,220,1.037687,0.815161
Base,22,41,1.033363,0.818116
Base,23,189,1.032164,0.806946
Base,24,139,1.030485,0.820701
Base,25,293,1.027976,0.793215
Base,26,371,1.027248,0.807581
Base,27,8,1.024855,0.799023
Base,28,208,1.024766,0.820933
Base,29,132,1.017047,0.809603
Base,30,492,1.009133,0.774750
Combined (Extreme),1,469,1.341750,1.056016
Combined (Extreme),2,214,1.332413,1.041627
Combined (Extreme),3,288,1.216023,0.963138
Combined (Extreme),4,174,1.198418,0.916217
Combined (Extreme),5,85,1.173956,0.921775
Combined (Extreme),6,242,1.166427,0.874234
Combined (Extreme),7,470,1.162101,0.902588
Combined (Extreme),8,10,1.155387,0.901256
Combined (Extreme),9,189,1.151180,0.860782
Combined (Extreme),10,342,1.150050,0.857131
Combined (Extreme),11,104,1.146649,0.908875
Combined (Extreme),12,482,1.120656,0.830899
Combined (Extreme),13,503,1.117212,0.848039
Combined (Extreme),14,286,1.104977,0.832737
Combined (Extreme),15,220,1.099981,0.839463
Combined (Extreme),16,368,1.095423,0.838685
Combined (Extreme),17,319,1.089049,0.855647
Combined (Extreme),18,76,1.082118,0.810587
Combined (Extreme),19,415,1.076512,0.803854
Combined (Extreme),20,147,1.076091,0.802375
Combined (Extreme),21,291,1.074004,0.805976
Combined (Extreme),22,208,1.072806,0.836083
Combined (Extreme),23,205,1.072361,0.834262
Combined (Extreme),24,409,1.070687,0.809335
Combined (Extreme),25,139,1.065562,0.804465
Combined (Extreme),26,495,1.062430,0.812089
Combined (Extreme),27,293,1.056975,0.793859
Combined (Extreme),28,162,1.052173,0.803970
Combined (Extreme),29,359,1.051383,0.791742
Combined (Extreme),30,371,1.049911,0.797093
Pitch Only,1,214,1.320543,1.088539
Pitch Only,2,469,1.305885,1.074276
Pitch Only,3,288,1.167553,0.946192
Pitch Only,4,242,1.145776,0.896394
Pitch Only,5,342,1.128748,0.869510
Pitch Only,6,10,1.128455,0.903985
Pitch Only,7,85,1.123979,0.922489
Pitch Only,8,470,1.118460,0.907393
Pitch Only,9,174,1.115258,0.883725
Pitch Only,10,104,1.113817,0.916860
Pitch Only,11,34,1.091347,0.837421
Pitch Only,12,482,1.084143,0.834269
Pitch Only,13,368,1.077430,0.854700
Pitch Only,14,139,1.062145,0.823776
Pitch Only,15,415,1.061290,0.831676
Pitch Only,16,503,1.058774,0.831731
Pitch Only,17,371,1.056050,0.814421
Pitch Only,18,220,1.045223,0.822449
Pitch Only,19,319,1.041942,0.831657
Pitch Only,20,286,1.039454,0.808239
Pitch Only,21,387,1.036305,0.834857
Pitch Only,22,189,1.034857,0.808253
Pitch Only,23,76,1.033413,0.789785
Pitch Only,24,359,1.030732,0.815562
Pitch Only,25,293,1.030635,0.800117
Pitch Only,26,409,1.028067,0.803598
Pitch Only,27,208,1.022461,0.817864
Pitch Only,28,137,1.020209,0.808115
Pitch Only,29,147,1.019521,0.788739
Pitch Only,30,492,1.019277,0.785789
Tempo Only,1,214,1.301340,1.085011
Tempo Only,2,469,1.295645,1.054736
Tempo Only,3,288,1.180398,0.960275
Tempo Only,4,174,1.144054,0.912113
Tempo Only,5,104,1.131200,0.923803
Tempo Only,6,85,1.119062,0.922364
Tempo Only,7,10,1.116331,0.912551
Tempo Only,8,470,1.115844,0.912661
Tempo Only,9,342,1.111642,0.868367
Tempo Only,10,242,1.109713,0.873646
Tempo Only,11,482,1.092047,0.843906
Tempo Only,12,368,1.079855,0.866742
Tempo Only,13,189,1.069409,0.830780
Tempo Only,14,319,1.066620,0.859656
Tempo Only,15,503,1.063339,0.847012
Tempo Only,16,220,1.063207,0.839860
Tempo Only,17,409,1.057744,0.828584
Tempo Only,18,147,1.047379,0.805591
Tempo Only,19,76,1.042001,0.804983
Tempo Only,20,286,1.041487,0.815354
Tempo Only,21,205,1.038823,0.827517
Tempo Only,22,415,1.035409,0.807825
Tempo Only,23,359,1.034537,0.815986
Tempo Only,24,371,1.033000,0.807467
Tempo Only,25,208,1.029411,0.838753
Tempo Only,26,139,1.026490,0.807699
Tempo Only,27,34,1.021908,0.791324
Tempo Only,28,291,1.019755,0.802639
Tempo Only,29,162,1.019305,0.809310
Tempo Only,30,471,1.009373,0.803570
