category,rank,dimension,mean_delta,std_delta
base,1,432,4.209439,0.000000
base,2,437,3.290897,0.000000
base,3,192,3.067337,0.000000
base,4,425,2.816099,0.000000
base,5,347,2.765402,0.000000
base,6,372,2.755418,0.000000
base,7,34,2.603240,0.000000
base,8,267,2.592176,0.000000
base,9,250,2.580720,0.000000
base,10,35,2.558060,0.000000
base,11,456,2.523451,0.000000
base,12,223,2.515670,0.000000
base,13,160,2.331910,0.000000
base,14,172,2.319865,0.000000
base,15,236,2.319356,0.000000
base,16,294,2.298451,0.000000
base,17,179,2.263753,0.000000
base,18,42,2.147747,0.000000
base,19,219,2.136003,0.000000
base,20,316,2.133079,0.000000
base,21,280,2.086328,0.000000
base,22,128,2.082995,0.000000
base,23,50,2.067173,0.000000
base,24,203,2.012061,0.000000
base,25,96,2.011143,0.000000
base,26,360,1.993261,0.000000
base,27,438,1.944007,0.000000
base,28,300,1.916105,0.000000
base,29,511,1.860369,0.000000
base,30,60,1.858987,0.000000
pitchD2,1,236,5.002878,0.000000
pitchD2,2,179,4.337805,0.000000
pitchD2,3,208,3.966694,0.000000
pitchD2,4,487,3.708892,0.000000
pitchD2,5,316,3.550827,0.000000
pitchD2,6,129,3.509651,0.000000
pitchD2,7,430,3.495746,0.000000
pitchD2,8,250,3.335756,0.000000
pitchD2,9,34,3.260752,0.000000
pitchD2,10,156,3.228455,0.000000
pitchD2,11,306,3.112546,0.000000
pitchD2,12,473,3.091624,0.000000
pitchD2,13,122,3.012033,0.000000
pitchD2,14,258,2.972356,0.000000
pitchD2,15,425,2.878670,0.000000
pitchD2,16,192,2.834517,0.000000
pitchD2,17,343,2.829576,0.000000
pitchD2,18,300,2.783218,0.000000
pitchD2,19,264,2.778746,0.000000
pitchD2,20,221,2.708439,0.000000
pitchD2,21,480,2.699753,0.000000
pitchD2,22,123,2.673962,0.000000
pitchD2,23,307,2.654267,0.000000
pitchD2,24,483,2.639784,0.000000
pitchD2,25,333,2.637348,0.000000
pitchD2,26,432,2.636248,0.000000
pitchD2,27,102,2.604445,0.000000
pitchD2,28,502,2.592981,0.000000
pitchD2,29,167,2.574790,0.000000
pitchD2,30,345,2.550708,0.000000
pitchD4,1,306,3.610661,0.000000
pitchD4,2,312,3.434232,0.000000
pitchD4,3,432,3.323077,0.000000
pitchD4,4,403,3.223532,0.000000
pitchD4,5,264,3.142764,0.000000
pitchD4,6,447,3.124737,0.000000
pitchD4,7,179,3.052504,0.000000
pitchD4,8,483,2.931167,0.000000
pitchD4,9,236,2.844704,0.000000
pitchD4,10,1,2.806786,0.000000
pitchD4,11,106,2.750542,0.000000
pitchD4,12,315,2.737792,0.000000
pitchD4,13,307,2.725285,0.000000
pitchD4,14,104,2.720494,0.000000
pitchD4,15,192,2.708986,0.000000
pitchD4,16,78,2.691670,0.000000
pitchD4,17,34,2.673271,0.000000
pitchD4,18,229,2.648946,0.000000
pitchD4,19,294,2.541462,0.000000
pitchD4,20,208,2.477163,0.000000
pitchD4,21,129,2.392361,0.000000
pitchD4,22,60,2.369656,0.000000
pitchD4,23,130,2.367852,0.000000
pitchD4,24,115,2.337155,0.000000
pitchD4,25,142,2.321505,0.000000
pitchD4,26,111,2.309022,0.000000
pitchD4,27,440,2.292190,0.000000
pitchD4,28,333,2.270840,0.000000
pitchD4,29,210,2.260316,0.000000
pitchD4,30,318,2.244521,0.000000
pitchD4_tempo090,1,236,5.129745,0.000000
pitchD4_tempo090,2,179,4.593602,0.000000
pitchD4_tempo090,3,443,4.136137,0.000000
pitchD4_tempo090,4,272,4.092998,0.000000
pitchD4_tempo090,5,98,3.970675,0.000000
pitchD4_tempo090,6,407,3.857991,0.000000
pitchD4_tempo090,7,425,3.784134,0.000000
pitchD4_tempo090,8,403,3.767365,0.000000
pitchD4_tempo090,9,7,3.721894,0.000000
pitchD4_tempo090,10,406,3.604055,0.000000
pitchD4_tempo090,11,299,3.587539,0.000000
pitchD4_tempo090,12,92,3.570521,0.000000
pitchD4_tempo090,13,194,3.569066,0.000000
pitchD4_tempo090,14,507,3.506481,0.000000
pitchD4_tempo090,15,123,3.476276,0.000000
pitchD4_tempo090,16,268,3.413942,0.000000
pitchD4_tempo090,17,190,3.399897,0.000000
pitchD4_tempo090,18,129,3.399879,0.000000
pitchD4_tempo090,19,439,3.370192,0.000000
pitchD4_tempo090,20,306,3.346843,0.000000
pitchD4_tempo090,21,34,3.330672,0.000000
pitchD4_tempo090,22,221,3.304918,0.000000
pitchD4_tempo090,23,487,3.254585,0.000000
pitchD4_tempo090,24,84,3.236657,0.000000
pitchD4_tempo090,25,355,3.225036,0.000000
pitchD4_tempo090,26,249,3.220639,0.000000
pitchD4_tempo090,27,54,3.210841,0.000000
pitchD4_tempo090,28,208,3.151754,0.000000
pitchD4_tempo090,29,458,3.143215,0.000000
pitchD4_tempo090,30,342,3.114834,0.000000
pitchU2,1,316,3.815358,0.000000
pitchU2,2,487,3.503707,0.000000
pitchU2,3,179,3.376600,0.000000
pitchU2,4,425,3.259845,0.000000
pitchU2,5,344,3.249041,0.000000
pitchU2,6,307,3.118480,0.000000
pitchU2,7,227,3.104039,0.000000
pitchU2,8,174,3.069376,0.000000
pitchU2,9,440,2.991710,0.000000
pitchU2,10,250,2.968851,0.000000
pitchU2,11,236,2.961072,0.000000
